Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Killian Hayes,2022-23,Regular,Sun 4/9,@CHI,L103-81,39.0,8-18,44.4,3-8,37.5,7-8,87.5,8.0,7.0,1.0,0.0,0.0,5.0,26.0,3.0,8.0
Killian Hayes,2022-23,Regular,Fri 4/7,@IND,W122-115,40.0,9-19,47.4,3-7,42.9,7-7,100.0,4.0,6.0,1.0,4.0,4.0,1.0,28.0,3.0,7.0
Killian Hayes,2022-23,Regular,Wed 4/5,vsBKN,L123-108,35.0,2-8,25.0,0-2,0.0,0-0,0.0,4.0,6.0,1.0,2.0,3.0,3.0,4.0,0.0,2.0
Killian Hayes,2022-23,Regular,Tue 4/4,vsMIA,L118-105,42.0,3-8,37.5,0-3,0.0,1-1,100.0,1.0,8.0,0.0,0.0,3.0,4.0,7.0,0.0,3.0
Killian Hayes,2022-23,Regular,Sun 4/2,@ORL,L128-102,34.0,6-12,50.0,0-3,0.0,8-8,100.0,2.0,7.0,0.0,0.0,4.0,5.0,20.0,0.0,3.0
Killian Hayes,2022-23,Regular,Fri 3/31,@HOU,L121-115,28.0,3-8,37.5,1-3,33.3,3-4,75.0,5.0,6.0,1.0,0.0,3.0,2.0,10.0,1.0,3.0
Killian Hayes,2022-23,Regular,Wed 3/29,@OKC,L107-106,32.0,5-14,35.7,1-4,25.0,0-0,0.0,6.0,5.0,0.0,0.0,3.0,1.0,11.0,1.0,4.0
Killian Hayes,2022-23,Regular,Mon 3/27,vsMIL,L126-117,37.0,6-17,35.3,0-3,0.0,2-5,40.0,3.0,5.0,0.0,2.0,4.0,0.0,14.0,0.0,3.0
Killian Hayes,2022-23,Regular,Fri 3/24,@TOR,L118-97,28.0,1-6,16.7,1-3,33.3,3-3,100.0,5.0,7.0,0.0,4.0,2.0,3.0,6.0,1.0,3.0
Killian Hayes,2022-23,Regular,Tue 3/21,@ATL,L129-107,34.0,7-17,41.2,2-6,33.3,5-5,100.0,2.0,6.0,0.0,0.0,3.0,3.0,21.0,2.0,6.0
Killian Hayes,2022-23,Regular,Sun 3/19,vsMIA,L112-100,38.0,6-14,42.9,1-3,33.3,0-0,0.0,4.0,11.0,0.0,2.0,3.0,4.0,13.0,1.0,3.0
Killian Hayes,2022-23,Regular,Thu 3/16,vsDEN,L119-100,34.0,5-12,41.7,0-3,0.0,0-0,0.0,1.0,7.0,2.0,1.0,4.0,4.0,10.0,0.0,3.0
Killian Hayes,2022-23,Regular,Tue 3/14,@WSH,L117-97,35.0,10-21,47.6,0-2,0.0,0-0,0.0,3.0,7.0,0.0,3.0,3.0,5.0,20.0,0.0,2.0
