Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kira Lewis Jr,2022-23,Regular,Tue 4/4,vsSAC,L121-103,3.0,0-0,0.0,0-0,0.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kira Lewis Jr,2022-23,Regular,Mon 3/27,@POR,W124-90,7.0,2-2,100.0,2-2,100.0,0-0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0
Kira Lewis Jr,2022-23,Regular,Thu 3/23,vsCHA,W115-96,2.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kira Lewis Jr,2022-23,Regular,Tue 3/21,vsSA,W119-84,4.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kira Lewis Jr,2022-23,Regular,Tue 3/14,vsLAL,L123-108,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kira Lewis Jr,2022-23,Regular,Sun 3/12,vsPOR,W127-110,11.0,2-6,33.3,0-1,0.0,0-0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0
Kira Lewis Jr,2022-23,Regular,Sat 3/11,vsOKC,L110-96,7.0,0-3,0.0,0-1,0.0,1-2,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Kira Lewis Jr,2022-23,Regular,Mon 3/6,@SAC,L123-108,19.0,1-7,14.3,0-3,0.0,1-2,50.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0
Kira Lewis Jr,2022-23,Regular,Fri 3/3,@GS,L108-99,10.0,3-3,100.0,2-2,100.0,1-1,100.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,2.0,2.0
Kira Lewis Jr,2022-23,Regular,Wed 3/1,@POR,W121-110,12.0,1-3,33.3,1-1,100.0,0-0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0
Kira Lewis Jr,2022-23,Regular,Sat 2/25,@NY,L128-106,4.0,2-2,100.0,2-2,100.0,2-2,100.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,2.0
Kira Lewis Jr,2022-23,Regular,Wed 2/15,@LAL,L120-102,4.0,0-2,0.0,0-0,0.0,1-2,50.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kira Lewis Jr,2022-23,Regular,Mon 2/13,@OKC,W103-100,19.0,2-5,40.0,1-3,33.3,2-2,100.0,2.0,2.0,0.0,2.0,0.0,1.0,7.0,1.0,3.0
Kira Lewis Jr,2022-23,Regular,Fri 2/10,vsCLE,L118-107,10.0,3-4,75.0,2-3,66.7,0-0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,3.0
Kira Lewis Jr,2022-23,Regular,Tue 2/7,vsATL,W116-107,10.0,1-4,25.0,0-1,0.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Kira Lewis Jr,2022-23,Regular,Sun 2/5,vsSAC,W136-104,22.0,4-7,57.1,2-2,100.0,1-1,100.0,4.0,4.0,0.0,0.0,3.0,0.0,11.0,2.0,2.0
Kira Lewis Jr,2022-23,Regular,Sat 2/4,vsLAL,W131-126,6.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Kira Lewis Jr,2022-23,Regular,Thu 2/2,@DAL,L111-106,11.0,1-6,16.7,0-2,0.0,0-0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0
Kira Lewis Jr,2022-23,Regular,Sun 1/29,@MIL,L135-110,27.0,7-11,63.6,1-3,33.3,0-0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,15.0,1.0,3.0
Kira Lewis Jr,2022-23,Regular,Wed 1/18,vsMIA,L124-98,6.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
Kira Lewis Jr,2022-23,Regular,Wed 1/11,@BOS,L125-114,3.0,0-0,0.0,0-0,0.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Kira Lewis Jr,2022-23,Regular,Mon 1/9,@WSH,W132-112,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kira Lewis Jr,2022-23,Regular,Sat 1/7,@DAL,L127-117,13.0,4-6,66.7,0-1,0.0,4-4,100.0,3.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,1.0
Kira Lewis Jr,2022-23,Regular,Mon 12/26,vsIND,W113-93,17.0,3-7,42.9,1-2,50.0,0-0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,7.0,1.0,2.0
Kira Lewis Jr,2022-23,Regular,Tue 12/13,@UTAH,L121-100,6.0,1-4,25.0,0-1,0.0,2-2,100.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Kira Lewis Jr,2022-23,Preseason,Wed 4/12,vsOKC,L123-118,5.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
