Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Klay Thompson,2022-23,Postseason,Fri 5/12,@LAL,L122-101,38.0,3-19,15.8,2-12,16.7,0-0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,8.0,2.0,12.0
Klay Thompson,2022-23,Postseason,Wed 5/10,vsLAL,W121-106,37.0,3-12,25.0,2-6,33.3,2-2,100.0,6.0,2.0,2.0,1.0,1.0,2.0,10.0,2.0,6.0
Klay Thompson,2022-23,Postseason,Mon 5/8,@LAL,L104-101,41.0,3-11,27.3,3-9,33.3,0-0,0.0,5.0,2.0,0.0,1.0,2.0,1.0,9.0,3.0,9.0
Klay Thompson,2022-23,Postseason,Sat 5/6,@LAL,L127-97,33.0,5-14,35.7,3-9,33.3,2-2,100.0,7.0,0.0,1.0,1.0,3.0,6.0,15.0,3.0,9.0
Klay Thompson,2022-23,Postseason,Thu 5/4,vsLAL,W127-100,31.0,11-18,61.1,8-11,72.7,0-0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,30.0,8.0,11.0
Klay Thompson,2022-23,Postseason,Tue 5/2,vsLAL,L117-112,37.0,9-25,36.0,6-16,37.5,1-2,50.0,3.0,4.0,0.0,0.0,3.0,0.0,25.0,6.0,16.0
Klay Thompson,2022-23,Postseason,Sun 4/30,@SAC,W120-100,35.0,4-19,21.1,2-10,20.0,6-8,75.0,5.0,1.0,0.0,0.0,2.0,2.0,16.0,2.0,10.0
Klay Thompson,2022-23,Postseason,Fri 4/28,vsSAC,L118-99,35.0,8-20,40.0,2-9,22.2,4-4,100.0,2.0,0.0,0.0,0.0,3.0,3.0,22.0,2.0,9.0
Klay Thompson,2022-23,Postseason,Wed 4/26,@SAC,W123-116,32.0,10-19,52.6,5-11,45.5,0-0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,25.0,5.0,11.0
Klay Thompson,2022-23,Postseason,Sun 4/23,vsSAC,W126-125,39.0,9-15,60.0,4-9,44.4,4-4,100.0,2.0,3.0,0.0,1.0,1.0,2.0,26.0,4.0,9.0
Klay Thompson,2022-23,Postseason,Thu 4/20,vsSAC,W114-97,35.0,5-15,33.3,3-10,30.0,0-0,0.0,5.0,2.0,1.0,1.0,0.0,2.0,13.0,3.0,10.0
Klay Thompson,2022-23,Postseason,Mon 4/17,@SAC,L114-106,38.0,7-13,53.8,5-10,50.0,2-2,100.0,5.0,3.0,0.0,1.0,2.0,2.0,21.0,5.0,10.0
Klay Thompson,2022-23,Postseason,Sat 4/15,@SAC,L126-123,37.0,8-19,42.1,5-14,35.7,0-0,0.0,6.0,5.0,0.0,1.0,2.0,1.0,21.0,5.0,14.0
Klay Thompson,2022-23,Regular,Sun 4/9,@POR,W157-101,22.0,7-14,50.0,6-11,54.5,0-0,0.0,5.0,1.0,0.0,0.0,2.0,3.0,20.0,6.0,11.0
Klay Thompson,2022-23,Regular,Fri 4/7,@SAC,W119-97,35.0,11-19,57.9,5-8,62.5,2-2,100.0,2.0,2.0,2.0,0.0,1.0,2.0,29.0,5.0,8.0
Klay Thompson,2022-23,Regular,Sun 4/2,@DEN,L112-110,39.0,9-28,32.1,5-16,31.3,2-2,100.0,5.0,4.0,0.0,1.0,3.0,1.0,25.0,5.0,16.0
Klay Thompson,2022-23,Regular,Fri 3/31,vsSA,W130-115,34.0,11-18,61.1,7-14,50.0,2-2,100.0,2.0,2.0,0.0,1.0,1.0,1.0,31.0,7.0,14.0
Klay Thompson,2022-23,Regular,Tue 3/28,vsNO,W120-109,34.0,6-16,37.5,5-11,45.5,0-0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,17.0,5.0,11.0
