Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kris Dunn,2022-23,Regular,Sun 4/9,@LAL,L128-117,40.0,11-18,61.1,2-3,66.7,2-2,100.0,10.0,8.0,0.0,1.0,2.0,3.0,26.0,2.0,3.0
Kris Dunn,2022-23,Regular,Sat 4/8,vsDEN,W118-114,37.0,6-13,46.2,0-0,0.0,7-8,87.5,8.0,14.0,1.0,3.0,2.0,3.0,19.0,0.0,0.0
Kris Dunn,2022-23,Regular,Thu 4/6,vsOKC,L114-98,35.0,9-10,90.0,2-2,100.0,2-2,100.0,7.0,8.0,0.0,1.0,4.0,3.0,22.0,2.0,2.0
Kris Dunn,2022-23,Regular,Tue 4/4,vsLAL,L135-133 OT,27.0,4-8,50.0,0-1,0.0,2-2,100.0,4.0,4.0,0.0,1.0,5.0,1.0,10.0,0.0,1.0
Kris Dunn,2022-23,Regular,Sun 4/2,@BKN,L111-110,28.0,5-7,71.4,1-1,100.0,2-3,66.7,1.0,3.0,1.0,1.0,2.0,1.0,13.0,1.0,1.0
Kris Dunn,2022-23,Regular,Fri 3/31,@BOS,L122-114,23.0,8-13,61.5,0-0,0.0,0-1,0.0,4.0,4.0,2.0,0.0,2.0,2.0,16.0,0.0,0.0
Kris Dunn,2022-23,Regular,Wed 3/29,@SA,W128-117,28.0,6-11,54.5,1-1,100.0,4-5,80.0,4.0,5.0,0.0,2.0,2.0,2.0,17.0,1.0,1.0
Kris Dunn,2022-23,Regular,Mon 3/27,vsPHX,L117-103,22.0,4-6,66.7,0-0,0.0,1-2,50.0,3.0,5.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0
Kris Dunn,2022-23,Regular,Sat 3/25,@SAC,L121-113,26.0,5-11,45.5,1-2,50.0,1-3,33.3,4.0,5.0,0.0,0.0,1.0,3.0,12.0,1.0,2.0
Kris Dunn,2022-23,Regular,Fri 3/24,vsMIL,L144-116,27.0,1-8,12.5,0-3,0.0,0-0,0.0,2.0,6.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0
Kris Dunn,2022-23,Regular,Wed 3/22,vsPOR,L127-115,23.0,5-11,45.5,0-1,0.0,5-7,71.4,6.0,3.0,0.0,1.0,1.0,1.0,15.0,0.0,1.0
Kris Dunn,2022-23,Regular,Mon 3/20,vsSAC,W128-120,31.0,7-12,58.3,2-2,100.0,2-2,100.0,2.0,10.0,1.0,1.0,5.0,0.0,18.0,2.0,2.0
Kris Dunn,2022-23,Regular,Sat 3/18,vsBOS,W118-117,20.0,2-7,28.6,1-1,100.0,2-2,100.0,2.0,6.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0
Kris Dunn,2022-23,Regular,Mon 3/13,@MIA,L119-115,21.0,3-5,60.0,0-0,0.0,3-4,75.0,6.0,8.0,0.0,0.0,4.0,2.0,9.0,0.0,0.0
Kris Dunn,2022-23,Regular,Sat 3/11,@CHA,W119-111,16.0,3-8,37.5,0-2,0.0,1-1,100.0,3.0,5.0,1.0,1.0,1.0,2.0,7.0,0.0,2.0
Kris Dunn,2022-23,Regular,Thu 3/9,@ORL,W131-124,23.0,5-9,55.6,0-1,0.0,2-2,100.0,9.0,4.0,1.0,3.0,4.0,2.0,12.0,0.0,1.0
Kris Dunn,2022-23,Regular,Tue 3/7,@DAL,L120-116,24.0,4-8,50.0,1-2,50.0,2-2,100.0,8.0,5.0,0.0,1.0,4.0,2.0,11.0,1.0,2.0
Kris Dunn,2022-23,Regular,Sun 3/5,@OKC,L129-119,27.0,7-11,63.6,3-4,75.0,0-0,0.0,2.0,3.0,1.0,1.0,5.0,2.0,17.0,3.0,4.0
Kris Dunn,2022-23,Regular,Fri 3/3,@OKC,L130-103,23.0,5-10,50.0,1-3,33.3,0-0,0.0,6.0,6.0,1.0,3.0,1.0,2.0,11.0,1.0,3.0
Kris Dunn,2022-23,Regular,Tue 2/28,vsSA,L102-94,26.0,4-7,57.1,0-0,0.0,3-3,100.0,1.0,3.0,0.0,2.0,2.0,1.0,11.0,0.0,0.0
Kris Dunn,2022-23,Regular,Sat 2/25,vsSA,W118-102,23.0,7-13,53.8,1-3,33.3,0-2,0.0,7.0,8.0,1.0,1.0,3.0,0.0,15.0,1.0,3.0
Kris Dunn,2022-23,Regular,Thu 2/23,vsOKC,W120-119 OT,17.0,5-10,50.0,1-4,25.0,0-0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,11.0,1.0,4.0
