Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kristaps Porzingis,2022-23,Regular,Tue 3/28,vsBOS,W130-111,34.0,14-21,66.7,3-5,60.0,1-1,100.0,13.0,6.0,1.0,1.0,1.0,0.0,32.0,3.0,5.0
Kristaps Porzingis,2022-23,Regular,Sun 3/26,@TOR,L114-104,34.0,9-17,52.9,4-7,57.1,4-5,80.0,6.0,2.0,0.0,2.0,2.0,3.0,26.0,4.0,7.0
Kristaps Porzingis,2022-23,Regular,Fri 3/24,vsSA,W136-124,28.0,7-11,63.6,2-3,66.7,7-7,100.0,9.0,5.0,3.0,0.0,0.0,1.0,23.0,2.0,3.0
Kristaps Porzingis,2022-23,Regular,Wed 3/22,vsDEN,L118-104,22.0,11-17,64.7,1-3,33.3,2-2,100.0,3.0,2.0,0.0,0.0,3.0,1.0,25.0,1.0,3.0
Kristaps Porzingis,2022-23,Regular,Tue 3/21,@ORL,L122-112,38.0,12-22,54.5,3-7,42.9,3-3,100.0,6.0,3.0,2.0,1.0,3.0,2.0,30.0,3.0,7.0
Kristaps Porzingis,2022-23,Regular,Fri 3/17,@CLE,L117-94,32.0,7-16,43.8,1-5,20.0,5-5,100.0,9.0,3.0,2.0,2.0,1.0,4.0,20.0,1.0,5.0
Kristaps Porzingis,2022-23,Regular,Tue 3/14,vsDET,W117-97,31.0,5-15,33.3,0-6,0.0,8-8,100.0,7.0,4.0,4.0,3.0,2.0,1.0,18.0,0.0,6.0
Kristaps Porzingis,2022-23,Regular,Sun 3/12,@PHI,L112-93,25.0,4-15,26.7,0-3,0.0,1-2,50.0,6.0,1.0,2.0,1.0,4.0,1.0,9.0,0.0,3.0
Kristaps Porzingis,2022-23,Regular,Fri 3/10,vsATL,L114-107,32.0,8-18,44.4,3-7,42.9,3-5,60.0,9.0,0.0,2.0,1.0,4.0,2.0,22.0,3.0,7.0
Kristaps Porzingis,2022-23,Regular,Wed 3/8,vsATL,L122-120,38.0,17-22,77.3,7-10,70.0,2-3,66.7,5.0,5.0,0.0,0.0,5.0,1.0,43.0,7.0,10.0
Kristaps Porzingis,2022-23,Regular,Tue 3/7,@DET,W119-117,32.0,8-15,53.3,3-7,42.9,5-6,83.3,7.0,2.0,0.0,0.0,6.0,1.0,24.0,3.0,7.0
Kristaps Porzingis,2022-23,Regular,Sun 3/5,vsMIL,L117-111,36.0,11-29,37.9,1-8,12.5,1-1,100.0,13.0,5.0,2.0,0.0,4.0,1.0,24.0,1.0,8.0
Kristaps Porzingis,2022-23,Regular,Sat 3/4,vsTOR,L116-109 OT,40.0,9-14,64.3,2-2,100.0,2-3,66.7,11.0,4.0,2.0,2.0,1.0,3.0,22.0,2.0,2.0
Kristaps Porzingis,2022-23,Regular,Thu 3/2,vsTOR,W119-108,36.0,8-12,66.7,2-4,50.0,7-7,100.0,5.0,2.0,2.0,1.0,4.0,4.0,25.0,2.0,4.0
Kristaps Porzingis,2022-23,Regular,Fri 2/24,vsNY,L115-109,35.0,5-10,50.0,5-9,55.6,8-8,100.0,6.0,3.0,2.0,0.0,2.0,3.0,23.0,5.0,9.0
Kristaps Porzingis,2022-23,Regular,Thu 2/16,@MIN,W114-106,32.0,4-12,33.3,1-3,33.3,5-7,71.4,5.0,2.0,2.0,2.0,3.0,0.0,14.0,1.0,3.0
Kristaps Porzingis,2022-23,Regular,Tue 2/14,@POR,W126-101,30.0,10-15,66.7,1-3,33.3,7-7,100.0,12.0,5.0,1.0,0.0,5.0,4.0,28.0,1.0,3.0
Kristaps Porzingis,2022-23,Regular,Mon 2/13,@GS,L135-126,36.0,12-16,75.0,2-3,66.7,8-8,100.0,7.0,2.0,0.0,1.0,1.0,4.0,34.0,2.0,3.0
Kristaps Porzingis,2022-23,Regular,Sat 2/11,vsIND,W127-113,32.0,4-8,50.0,1-3,33.3,8-8,100.0,10.0,5.0,1.0,0.0,2.0,0.0,17.0,1.0,3.0
Kristaps Porzingis,2022-23,Regular,Wed 2/8,vsCHA,W118-104,35.0,13-22,59.1,8-14,57.1,2-3,66.7,9.0,2.0,2.0,0.0,2.0,1.0,36.0,8.0,14.0
Kristaps Porzingis,2022-23,Regular,Mon 2/6,vsCLE,L114-91,26.0,7-13,53.8,1-6,16.7,3-3,100.0,7.0,1.0,1.0,0.0,3.0,2.0,18.0,1.0,6.0
Kristaps Porzingis,2022-23,Regular,Sat 2/4,@BKN,L125-123,33.0,11-20,55.0,4-5,80.0,12-13,92.3,5.0,2.0,2.0,0.0,6.0,5.0,38.0,4.0,5.0
Kristaps Porzingis,2022-23,Regular,Fri 2/3,vsPOR,L124-116,35.0,9-15,60.0,3-6,50.0,11-12,91.7,8.0,4.0,1.0,0.0,5.0,1.0,32.0,3.0,6.0
Kristaps Porzingis,2022-23,Regular,Mon 1/30,@SA,W127-106,30.0,7-13,53.8,1-3,33.3,2-2,100.0,9.0,7.0,5.0,3.0,5.0,2.0,17.0,1.0,3.0
Kristaps Porzingis,2022-23,Regular,Sat 1/21,vsORL,W138-118,23.0,3-10,30.0,1-3,33.3,10-10,100.0,6.0,0.0,1.0,0.0,2.0,2.0,17.0,1.0,3.0
Kristaps Porzingis,2022-23,Regular,Wed 1/18,@NY,W116-105,33.0,6-17,35.3,4-9,44.4,6-6,100.0,11.0,5.0,2.0,0.0,6.0,3.0,22.0,4.0,9.0
Kristaps Porzingis,2022-23,Regular,Mon 1/16,vsGS,L127-118,37.0,9-15,60.0,3-7,42.9,11-12,91.7,5.0,3.0,2.0,1.0,3.0,1.0,32.0,3.0,7.0
Kristaps Porzingis,2022-23,Regular,Fri 1/13,vsNY,L112-108,35.0,6-19,31.6,4-8,50.0,5-6,83.3,4.0,1.0,0.0,0.0,4.0,2.0,21.0,4.0,8.0
Kristaps Porzingis,2022-23,Regular,Mon 1/9,vsNO,L132-112,34.0,8-16,50.0,3-5,60.0,4-4,100.0,10.0,1.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0
Kristaps Porzingis,2022-23,Regular,Fri 1/6,@OKC,L127-110,25.0,3-11,27.3,0-2,0.0,8-10,80.0,10.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,2.0
Kristaps Porzingis,2022-23,Regular,Tue 1/3,@MIL,L123-113,35.0,7-13,53.8,2-5,40.0,6-6,100.0,9.0,4.0,1.0,1.0,5.0,3.0,22.0,2.0,5.0
Kristaps Porzingis,2022-23,Regular,Sun 1/1,@MIL,W118-95,29.0,9-16,56.3,0-5,0.0,4-4,100.0,5.0,0.0,2.0,2.0,3.0,2.0,22.0,0.0,5.0
Kristaps Porzingis,2022-23,Regular,Fri 12/30,@ORL,W119-100,35.0,9-13,69.2,3-6,50.0,9-11,81.8,13.0,2.0,4.0,1.0,4.0,5.0,30.0,3.0,6.0
Kristaps Porzingis,2022-23,Regular,Wed 12/28,vsPHX,W127-102,34.0,8-15,53.3,2-6,33.3,4-4,100.0,6.0,2.0,1.0,1.0,2.0,3.0,22.0,2.0,6.0
Kristaps Porzingis,2022-23,Regular,Tue 12/27,vsPHI,W116-111,35.0,7-15,46.7,3-5,60.0,7-9,77.8,10.0,1.0,3.0,2.0,2.0,2.0,24.0,3.0,5.0
Kristaps Porzingis,2022-23,Regular,Fri 12/23,@SAC,W125-111,34.0,2-11,18.2,0-3,0.0,3-5,60.0,13.0,1.0,2.0,1.0,3.0,0.0,7.0,0.0,3.0
Kristaps Porzingis,2022-23,Regular,Sun 12/18,@LAL,L119-117,38.0,7-18,38.9,2-9,22.2,5-7,71.4,11.0,5.0,1.0,2.0,2.0,2.0,21.0,2.0,9.0
Kristaps Porzingis,2022-23,Regular,Sat 12/17,@LAC,L102-93,35.0,8-19,42.1,0-3,0.0,3-4,75.0,7.0,2.0,0.0,4.0,2.0,2.0,19.0,0.0,3.0
Kristaps Porzingis,2022-23,Regular,Mon 12/12,vsBKN,L112-100,24.0,7-11,63.6,0-1,0.0,6-6,100.0,3.0,1.0,1.0,2.0,2.0,5.0,20.0,0.0,1.0
Kristaps Porzingis,2022-23,Regular,Sat 12/10,vsLAC,L114-107,37.0,8-20,40.0,2-4,50.0,12-13,92.3,15.0,5.0,2.0,0.0,3.0,3.0,30.0,2.0,4.0
Kristaps Porzingis,2022-23,Regular,Fri 12/9,@IND,L121-111,35.0,11-13,84.6,1-2,50.0,6-8,75.0,9.0,2.0,2.0,0.0,1.0,4.0,29.0,1.0,2.0
Kristaps Porzingis,2022-23,Regular,Wed 12/7,@CHI,L115-111,35.0,8-17,47.1,0-6,0.0,12-16,75.0,9.0,4.0,2.0,2.0,4.0,5.0,28.0,0.0,6.0
Kristaps Porzingis,2022-23,Regular,Sun 12/4,vsLAL,L130-119,34.0,11-25,44.0,1-6,16.7,4-6,66.7,9.0,3.0,1.0,2.0,2.0,0.0,27.0,1.0,6.0
Kristaps Porzingis,2022-23,Regular,Fri 12/2,@CHA,L117-116,36.0,5-14,35.7,0-6,0.0,11-13,84.6,11.0,3.0,1.0,1.0,3.0,4.0,21.0,0.0,6.0
