Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kyle Anderson,2022-23,Postseason,Sun 4/23,vsDEN,W114-108 OT,22.0,5-7,71.4,1-2,50.0,0-0,0.0,6.0,5.0,1.0,2.0,3.0,2.0,11.0,1.0,2.0
Kyle Anderson,2022-23,Postseason,Fri 4/21,vsDEN,L120-111,29.0,1-7,14.3,0-1,0.0,0-0,0.0,2.0,6.0,0.0,2.0,5.0,2.0,2.0,0.0,1.0
Kyle Anderson,2022-23,Postseason,Wed 4/19,@DEN,L122-113,27.0,4-5,80.0,0-0,0.0,2-2,100.0,7.0,4.0,0.0,1.0,4.0,2.0,10.0,0.0,0.0
Kyle Anderson,2022-23,Postseason,Sun 4/16,@DEN,L109-80,26.0,5-11,45.5,1-3,33.3,0-0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,11.0,1.0,3.0
Kyle Anderson,2022-23,Regular,Sun 4/9,vsNO,W113-108,37.0,4-7,57.1,0-1,0.0,0-0,0.0,9.0,4.0,2.0,1.0,0.0,2.0,8.0,0.0,1.0
Kyle Anderson,2022-23,Regular,Sat 4/8,@SA,W151-131,24.0,3-7,42.9,1-3,33.3,0-0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,7.0,1.0,3.0
Kyle Anderson,2022-23,Regular,Tue 4/4,@BKN,W107-102,32.0,4-9,44.4,0-1,0.0,0-0,0.0,1.0,10.0,0.0,1.0,3.0,0.0,8.0,0.0,1.0
Kyle Anderson,2022-23,Regular,Sun 4/2,vsPOR,L107-105,33.0,6-9,66.7,1-2,50.0,0-0,0.0,8.0,7.0,1.0,0.0,3.0,1.0,13.0,1.0,2.0
Kyle Anderson,2022-23,Regular,Fri 3/31,vsLAL,L123-111,31.0,8-11,72.7,1-2,50.0,0-0,0.0,4.0,6.0,3.0,2.0,0.0,1.0,17.0,1.0,2.0
Kyle Anderson,2022-23,Regular,Wed 3/29,@PHX,L107-100,30.0,3-9,33.3,0-1,0.0,0-0,0.0,10.0,2.0,2.0,0.0,4.0,5.0,6.0,0.0,1.0
