Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kyle Kuzma,2022-23,Regular,Sat 3/18,vsSAC,L132-118,32.0,12-23,52.2,4-11,36.4,5-6,83.3,7.0,3.0,0.0,1.0,1.0,0.0,33.0,4.0,11.0
Kyle Kuzma,2022-23,Regular,Fri 3/17,@CLE,L117-94,25.0,3-7,42.9,1-3,33.3,0-0,0.0,2.0,1.0,1.0,1.0,5.0,4.0,7.0,1.0,3.0
Kyle Kuzma,2022-23,Regular,Sun 3/12,@PHI,L112-93,30.0,4-14,28.6,1-5,20.0,3-4,75.0,11.0,4.0,0.0,1.0,1.0,2.0,12.0,1.0,5.0
Kyle Kuzma,2022-23,Regular,Fri 3/10,vsATL,L114-107,40.0,7-12,58.3,1-3,33.3,2-4,50.0,5.0,3.0,0.0,0.0,1.0,4.0,17.0,1.0,3.0
Kyle Kuzma,2022-23,Regular,Wed 3/8,vsATL,L122-120,35.0,10-15,66.7,2-7,28.6,3-4,75.0,10.0,6.0,0.0,2.0,1.0,4.0,25.0,2.0,7.0
Kyle Kuzma,2022-23,Regular,Tue 3/7,@DET,W119-117,35.0,9-20,45.0,3-8,37.5,2-2,100.0,3.0,2.0,1.0,2.0,0.0,3.0,23.0,3.0,8.0
Kyle Kuzma,2022-23,Regular,Sat 3/4,vsTOR,L116-109 OT,42.0,5-12,41.7,2-5,40.0,4-4,100.0,6.0,1.0,0.0,0.0,4.0,5.0,16.0,2.0,5.0
Kyle Kuzma,2022-23,Regular,Thu 3/2,vsTOR,W119-108,35.0,10-24,41.7,4-9,44.4,6-8,75.0,5.0,5.0,0.0,1.0,0.0,3.0,30.0,4.0,9.0
Kyle Kuzma,2022-23,Regular,Tue 2/28,@ATL,W119-116,37.0,10-26,38.5,2-7,28.6,6-7,85.7,3.0,1.0,1.0,1.0,2.0,2.0,28.0,2.0,7.0
Kyle Kuzma,2022-23,Regular,Sun 2/26,@CHI,L102-82,38.0,4-18,22.2,1-8,12.5,1-2,50.0,4.0,3.0,0.0,0.0,4.0,3.0,10.0,1.0,8.0
Kyle Kuzma,2022-23,Regular,Fri 2/24,vsNY,L115-109,41.0,10-23,43.5,3-12,25.0,0-0,0.0,5.0,3.0,0.0,1.0,3.0,4.0,23.0,3.0,12.0
Kyle Kuzma,2022-23,Regular,Thu 2/16,@MIN,W114-106,35.0,6-21,28.6,4-13,30.8,0-0,0.0,7.0,1.0,1.0,1.0,1.0,4.0,16.0,4.0,13.0
Kyle Kuzma,2022-23,Regular,Tue 2/14,@POR,W126-101,36.0,11-20,55.0,6-10,60.0,5-6,83.3,9.0,2.0,1.0,0.0,1.0,3.0,33.0,6.0,10.0
Kyle Kuzma,2022-23,Regular,Sat 2/4,@BKN,L125-123,11.0,0-6,0.0,0-1,0.0,2-2,100.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
