Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kyrie Irving,2022-23,Regular,Wed 4/5,vsSAC,W123-119,43.0,12-23,52.2,6-10,60.0,1-1,100.0,4.0,8.0,0.0,2.0,3.0,3.0,31.0,6.0,10.0
Kyrie Irving,2022-23,Regular,Sun 4/2,@ATL,L132-130 OT,44.0,16-27,59.3,1-6,16.7,8-8,100.0,5.0,4.0,1.0,2.0,3.0,1.0,41.0,1.0,6.0
Kyrie Irving,2022-23,Regular,Sat 4/1,@MIA,L129-122,43.0,10-17,58.8,1-4,25.0,2-2,100.0,3.0,8.0,0.0,0.0,3.0,1.0,23.0,1.0,4.0
Kyrie Irving,2022-23,Regular,Wed 3/29,@PHI,L116-108,40.0,8-17,47.1,3-7,42.9,4-4,100.0,6.0,5.0,0.0,2.0,1.0,1.0,23.0,3.0,7.0
Kyrie Irving,2022-23,Regular,Mon 3/27,@IND,W127-104,30.0,7-11,63.6,1-2,50.0,1-1,100.0,3.0,6.0,3.0,2.0,2.0,0.0,16.0,1.0,2.0
Kyrie Irving,2022-23,Regular,Sun 3/26,@CHA,L110-104,36.0,5-15,33.3,2-6,33.3,6-6,100.0,4.0,3.0,1.0,2.0,3.0,2.0,18.0,2.0,6.0
Kyrie Irving,2022-23,Regular,Fri 3/24,vsCHA,L117-109,38.0,6-16,37.5,1-8,12.5,5-7,71.4,9.0,7.0,1.0,1.0,0.0,1.0,18.0,1.0,8.0
Kyrie Irving,2022-23,Regular,Mon 3/20,@MEM,L112-108,33.0,10-24,41.7,2-9,22.2,6-6,100.0,4.0,0.0,2.0,1.0,2.0,2.0,28.0,2.0,9.0
Kyrie Irving,2022-23,Regular,Fri 3/17,@LAL,W111-110,39.0,14-23,60.9,5-9,55.6,5-5,100.0,6.0,6.0,0.0,0.0,5.0,2.0,38.0,5.0,9.0
Kyrie Irving,2022-23,Regular,Wed 3/8,@NO,L113-106,41.0,10-24,41.7,4-11,36.4,3-3,100.0,6.0,4.0,0.0,1.0,3.0,2.0,27.0,4.0,11.0
Kyrie Irving,2022-23,Regular,Tue 3/7,vsUTAH,W120-116,39.0,10-18,55.6,3-7,42.9,10-10,100.0,6.0,8.0,0.0,2.0,2.0,3.0,33.0,3.0,7.0
Kyrie Irving,2022-23,Regular,Sun 3/5,vsPHX,L130-126,37.0,10-19,52.6,3-8,37.5,7-7,100.0,4.0,7.0,0.0,0.0,3.0,3.0,30.0,3.0,8.0
Kyrie Irving,2022-23,Regular,Thu 3/2,vsPHI,W133-126,42.0,15-22,68.2,6-8,75.0,4-6,66.7,4.0,6.0,0.0,3.0,3.0,2.0,40.0,6.0,8.0
Kyrie Irving,2022-23,Regular,Tue 2/28,vsIND,L124-122,36.0,7-18,38.9,0-4,0.0,2-3,66.7,5.0,9.0,1.0,1.0,4.0,0.0,16.0,0.0,4.0
Kyrie Irving,2022-23,Regular,Sun 2/26,vsLAL,L111-108,38.0,8-22,36.4,2-10,20.0,3-3,100.0,11.0,5.0,0.0,0.0,4.0,3.0,21.0,2.0,10.0
Kyrie Irving,2022-23,Regular,Thu 2/23,vsSA,W142-116,30.0,8-13,61.5,3-4,75.0,4-4,100.0,1.0,6.0,0.0,1.0,3.0,1.0,23.0,3.0,4.0
Kyrie Irving,2022-23,Regular,Sun 2/19,vsGIA*,L184-175,29.0,14-21,66.7,4-8,50.0,0-0,0.0,6.0,15.0,0.0,0.0,2.0,3.0,32.0,4.0,8.0
Kyrie Irving,2022-23,Regular,Mon 2/13,vsMIN,L124-121,40.0,15-23,65.2,4-9,44.4,2-2,100.0,5.0,6.0,1.0,2.0,2.0,2.0,36.0,4.0,9.0
