Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Lamar Stevens,2022-23,Postseason,Wed 4/26,vsNY,L106-95,5.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Lamar Stevens,2022-23,Postseason,Fri 4/21,@NY,L99-79,4.0,0-1,0.0,0-0,0.0,2-2,100.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Lamar Stevens,2022-23,Regular,Sun 4/9,vsCHA,L106-95,19.0,1-3,33.3,0-0,0.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Lamar Stevens,2022-23,Regular,Thu 4/6,@ORL,W118-94,31.0,5-14,35.7,2-5,40.0,1-2,50.0,6.0,1.0,1.0,2.0,1.0,1.0,13.0,2.0,5.0
Lamar Stevens,2022-23,Regular,Tue 4/4,@ORL,W117-113,10.0,1-3,33.3,1-2,50.0,2-2,100.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0
Lamar Stevens,2022-23,Regular,Sun 4/2,vsIND,W115-105,12.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
Lamar Stevens,2022-23,Regular,Fri 3/31,vsNY,L130-116,24.0,1-6,16.7,0-3,0.0,0-0,0.0,7.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,3.0
Lamar Stevens,2022-23,Regular,Tue 3/28,@ATL,L120-118,41.0,2-6,33.3,0-0,0.0,0-2,0.0,9.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0
Lamar Stevens,2022-23,Regular,Sun 3/26,vsHOU,W108-91,10.0,1-3,33.3,0-1,0.0,0-0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Lamar Stevens,2022-23,Regular,Thu 3/23,@BKN,W116-114,4.0,1-2,50.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
