Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Landry Shamet,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,37.0,3-11,27.3,3-9,33.3,0-0,0.0,6.0,4.0,0.0,0.0,3.0,2.0,9.0,3.0,9.0
Landry Shamet,2022-23,Postseason,Tue 5/9,@DEN,L118-102,23.0,2-6,33.3,1-3,33.3,1-2,50.0,5.0,3.0,1.0,0.0,4.0,0.0,6.0,1.0,3.0
Landry Shamet,2022-23,Postseason,Sun 5/7,vsDEN,W129-124,30.0,6-9,66.7,5-8,62.5,2-2,100.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,5.0,8.0
Landry Shamet,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,25.0,2-4,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0
Landry Shamet,2022-23,Postseason,Sat 4/29,@DEN,L125-107,14.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0
Landry Shamet,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,9.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Landry Shamet,2022-23,Postseason,Sat 4/22,@LAC,W112-100,5.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Landry Shamet,2022-23,Postseason,Thu 4/20,@LAC,W129-124,4.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Landry Shamet,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,14.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Landry Shamet,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,24.0,2-5,40.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Landry Shamet,2022-23,Regular,Sun 4/9,vsLAC,L119-114,18.0,5-10,50.0,3-6,50.0,1-1,100.0,3.0,6.0,0.0,0.0,1.0,0.0,14.0,3.0,6.0
Landry Shamet,2022-23,Regular,Fri 4/7,@LAL,L121-107,22.0,2-9,22.2,2-5,40.0,1-1,100.0,4.0,5.0,0.0,3.0,2.0,1.0,7.0,2.0,5.0
Landry Shamet,2022-23,Regular,Thu 4/6,vsDEN,W119-115,7.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Landry Shamet,2022-23,Regular,Tue 4/4,vsSA,W115-94,13.0,0-4,0.0,0-2,0.0,0-0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Landry Shamet,2022-23,Regular,Sun 4/2,@OKC,W128-118,12.0,2-5,40.0,2-5,40.0,1-2,50.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,5.0
Landry Shamet,2022-23,Regular,Mon 3/27,@UTAH,W117-103,14.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Landry Shamet,2022-23,Regular,Sat 3/25,vsPHI,W125-105,13.0,0-4,0.0,0-3,0.0,0-0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0
Landry Shamet,2022-23,Regular,Fri 3/24,@SAC,L135-127,16.0,2-4,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0
Landry Shamet,2022-23,Regular,Wed 3/22,@LAL,L122-111,29.0,6-13,46.2,3-8,37.5,0-0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,15.0,3.0,8.0
Landry Shamet,2022-23,Regular,Sun 3/19,@OKC,L124-120,20.0,3-4,75.0,3-4,75.0,1-2,50.0,0.0,2.0,0.0,1.0,2.0,2.0,10.0,3.0,4.0
Landry Shamet,2022-23,Regular,Mon 1/16,@MEM,L136-106,26.0,2-9,22.2,1-6,16.7,4-4,100.0,4.0,6.0,0.0,0.0,2.0,1.0,9.0,1.0,6.0
Landry Shamet,2022-23,Regular,Sun 1/8,vsCLE,L112-98,33.0,4-14,28.6,3-7,42.9,0-0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,11.0,3.0,7.0
Landry Shamet,2022-23,Regular,Fri 1/6,vsMIA,L104-96,33.0,4-9,44.4,1-3,33.3,2-3,66.7,2.0,3.0,0.0,0.0,1.0,3.0,11.0,1.0,3.0
Landry Shamet,2022-23,Regular,Wed 1/4,@CLE,L90-88,36.0,4-12,33.3,2-6,33.3,4-4,100.0,4.0,3.0,0.0,1.0,5.0,0.0,14.0,2.0,6.0
Landry Shamet,2022-23,Regular,Mon 1/2,@NY,L102-83,25.0,2-9,22.2,2-6,33.3,0-0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,6.0,2.0,6.0
Landry Shamet,2022-23,Regular,Sun 12/25,@DEN,L128-125 OT,39.0,10-20,50.0,7-17,41.2,4-4,100.0,2.0,6.0,1.0,0.0,5.0,2.0,31.0,7.0,17.0
Landry Shamet,2022-23,Regular,Fri 12/23,vsMEM,L125-100,31.0,6-16,37.5,3-10,30.0,0-0,0.0,5.0,3.0,0.0,1.0,0.0,2.0,15.0,3.0,10.0
Landry Shamet,2022-23,Regular,Tue 12/20,vsWSH,L113-110,35.0,10-21,47.6,9-16,56.3,2-2,100.0,2.0,5.0,0.0,0.0,2.0,1.0,31.0,9.0,16.0
Landry Shamet,2022-23,Regular,Mon 12/19,vsLAL,W130-104,29.0,4-12,33.3,3-7,42.9,2-2,100.0,3.0,2.0,1.0,1.0,0.0,0.0,13.0,3.0,7.0
Landry Shamet,2022-23,Regular,Sat 12/17,vsNO,W118-114,15.0,1-6,16.7,0-2,0.0,2-2,100.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0
Landry Shamet,2022-23,Regular,Thu 12/15,@LAC,W111-95,20.0,1-7,14.3,0-3,0.0,4-4,100.0,1.0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0
Landry Shamet,2022-23,Regular,Tue 12/13,@HOU,L111-97,32.0,5-13,38.5,3-11,27.3,0-0,0.0,4.0,3.0,0.0,2.0,3.0,0.0,13.0,3.0,11.0
Landry Shamet,2022-23,Regular,Sun 12/11,@NO,L129-124 OT,13.0,2-3,66.7,1-2,50.0,0-1,0.0,0.0,3.0,1.0,3.0,1.0,0.0,5.0,1.0,2.0
Landry Shamet,2022-23,Regular,Fri 12/9,@NO,L128-117,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Landry Shamet,2022-23,Regular,Wed 12/7,vsBOS,L125-98,21.0,2-5,40.0,2-4,50.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0
