Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Larry Nance Jr,2022-23,Regular,Sun 4/9,@MIN,L113-108,17.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Fri 4/7,vsNY,W113-105,23.0,4-4,100.0,0-0,0.0,0-0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,34.0,2-3,66.7,0-0,0.0,0-0,0.0,9.0,5.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Tue 4/4,vsSAC,L121-103,18.0,2-3,66.7,0-0,0.0,3-4,75.0,3.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sat 4/1,vsLAC,W122-114,20.0,1-6,16.7,0-0,0.0,0-0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Thu 3/30,@DEN,W107-88,23.0,1-1,100.0,0-0,0.0,2-2,100.0,4.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Tue 3/28,@GS,L120-109,25.0,4-8,50.0,0-2,0.0,0-0,0.0,6.0,2.0,0.0,1.0,2.0,1.0,8.0,0.0,2.0
Larry Nance Jr,2022-23,Regular,Mon 3/27,@POR,W124-90,11.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sat 3/25,@LAC,W131-110,13.0,1-4,25.0,0-1,0.0,0-0,0.0,5.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0
Larry Nance Jr,2022-23,Regular,Thu 3/23,vsCHA,W115-96,12.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Tue 3/21,vsSA,W119-84,15.0,1-1,100.0,0-0,0.0,2-2,100.0,5.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sun 3/19,@HOU,W117-107,12.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Fri 3/17,@HOU,L114-112,14.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Tue 3/14,vsLAL,L123-108,22.0,3-5,60.0,1-1,100.0,0-0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,7.0,1.0,1.0
Larry Nance Jr,2022-23,Regular,Sun 3/12,vsPOR,W127-110,8.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sat 2/25,@NY,L128-106,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Thu 2/23,@TOR,L115-110,19.0,1-3,33.3,0-1,0.0,1-2,50.0,6.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
Larry Nance Jr,2022-23,Regular,Mon 2/13,@OKC,W103-100,21.0,2-3,66.7,0-1,0.0,0-0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0
Larry Nance Jr,2022-23,Regular,Fri 2/10,vsCLE,L118-107,27.0,4-5,80.0,0-1,0.0,3-4,75.0,6.0,2.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0
Larry Nance Jr,2022-23,Regular,Tue 2/7,vsATL,W116-107,23.0,3-6,50.0,0-0,0.0,1-3,33.3,6.0,2.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sun 2/5,vsSAC,W136-104,20.0,4-6,66.7,0-0,0.0,2-4,50.0,9.0,1.0,1.0,1.0,2.0,0.0,10.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sat 2/4,vsLAL,W131-126,24.0,3-6,50.0,1-2,50.0,3-4,75.0,9.0,4.0,0.0,0.0,1.0,0.0,10.0,1.0,2.0
Larry Nance Jr,2022-23,Regular,Thu 2/2,@DAL,L111-106,26.0,5-6,83.3,0-0,0.0,0-0,0.0,12.0,1.0,1.0,0.0,1.0,2.0,10.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Tue 1/31,@DEN,L122-113,21.0,6-7,85.7,0-0,0.0,1-2,50.0,11.0,1.0,0.0,2.0,5.0,1.0,13.0,0.0,0.0
Larry Nance Jr,2022-23,Regular,Sun 1/29,@MIL,L135-110,24.0,4-10,40.0,1-4,25.0,1-2,50.0,12.0,1.0,0.0,1.0,3.0,2.0,10.0,1.0,4.0
Larry Nance Jr,2022-23,Regular,Sat 1/28,vsWSH,L113-103,28.0,4-6,66.7,0-1,0.0,0-0,0.0,8.0,3.0,1.0,0.0,4.0,0.0,8.0,0.0,1.0
