Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Lindell Wigginton,2022-23,Regular,Sun 4/9,@TOR,L121-105,27.0,5-8,62.5,2-4,50.0,5-6,83.3,1.0,1.0,1.0,0.0,2.0,5.0,17.0,2.0,4.0
Lindell Wigginton,2022-23,Regular,Fri 4/7,vsMEM,L137-114,41.0,10-20,50.0,4-10,40.0,1-1,100.0,5.0,11.0,1.0,0.0,3.0,5.0,25.0,4.0,10.0
Lindell Wigginton,2022-23,Regular,Mon 3/27,@DET,W126-117,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lindell Wigginton,2022-23,Regular,Fri 3/24,@UTAH,W144-116,8.0,1-4,25.0,0-2,0.0,2-2,100.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0
Lindell Wigginton,2022-23,Regular,Wed 3/22,vsSA,W130-94,6.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
Lindell Wigginton,2022-23,Regular,Thu 3/16,vsIND,L139-123,2.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Lindell Wigginton,2022-23,Regular,Tue 3/7,@ORL,W134-123,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindell Wigginton,2022-23,Preseason,Wed 10/12,vsBKN,L107-97,1.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Lindell Wigginton,2022-23,Preseason,Tue 10/11,@CHI,L127-104,30.0,2-10,20.0,0-2,0.0,0-2,0.0,2.0,5.0,0.0,2.0,3.0,2.0,4.0,0.0,2.0
Lindell Wigginton,2022-23,Preseason,Sat 10/8,vsATL,L118-109,10.0,4-6,66.7,3-4,75.0,5-6,83.3,1.0,1.0,0.0,1.0,2.0,1.0,16.0,3.0,4.0
Lindell Wigginton,2022-23,Preseason,Thu 10/6,vsATL,L123-113,4.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lindell Wigginton,2022-23,Preseason,Sat 10/1,vsMEM,L107-102,13.0,3-5,60.0,1-2,50.0,1-2,50.0,3.0,3.0,0.0,2.0,2.0,3.0,8.0,1.0,2.0
