Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Luka Doncic,2022-23,Regular,Fri 4/7,vsCHI,L115-112,13.0,4-11,36.4,0-5,0.0,5-7,71.4,5.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,5.0
Luka Doncic,2022-23,Regular,Wed 4/5,vsSAC,W123-119,39.0,9-19,47.4,3-11,27.3,8-10,80.0,10.0,6.0,0.0,1.0,3.0,1.0,29.0,3.0,11.0
Luka Doncic,2022-23,Regular,Sun 4/2,@ATL,L132-130 OT,44.0,8-21,38.1,3-12,25.0,3-4,75.0,7.0,7.0,1.0,0.0,2.0,5.0,22.0,3.0,12.0
Luka Doncic,2022-23,Regular,Sat 4/1,@MIA,L129-122,45.0,17-25,68.0,2-6,33.3,6-7,85.7,10.0,8.0,0.0,2.0,4.0,3.0,42.0,2.0,6.0
Luka Doncic,2022-23,Regular,Wed 3/29,@PHI,L116-108,37.0,9-20,45.0,4-9,44.4,2-2,100.0,10.0,8.0,1.0,0.0,3.0,4.0,24.0,4.0,9.0
Luka Doncic,2022-23,Regular,Mon 3/27,@IND,W127-104,28.0,8-17,47.1,4-10,40.0,5-5,100.0,7.0,6.0,0.0,1.0,0.0,0.0,25.0,4.0,10.0
Luka Doncic,2022-23,Regular,Sun 3/26,@CHA,L110-104,40.0,12-29,41.4,7-16,43.8,9-10,90.0,12.0,8.0,2.0,2.0,2.0,4.0,40.0,7.0,16.0
Luka Doncic,2022-23,Regular,Fri 3/24,vsCHA,L117-109,37.0,12-23,52.2,2-9,22.2,8-10,80.0,10.0,8.0,1.0,0.0,0.0,5.0,34.0,2.0,9.0
Luka Doncic,2022-23,Regular,Wed 3/22,vsGS,L127-125,41.0,11-27,40.7,2-10,20.0,6-10,60.0,7.0,17.0,0.0,1.0,3.0,5.0,30.0,2.0,10.0
Luka Doncic,2022-23,Regular,Wed 3/8,@NO,L113-106,28.0,4-14,28.6,1-5,20.0,6-8,75.0,3.0,8.0,0.0,1.0,0.0,1.0,15.0,1.0,5.0
