Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Luke Kennard,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,18.0,2-3,66.7,2-3,66.7,0-0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,6.0,2.0,3.0
Luke Kennard,2022-23,Postseason,Mon 4/24,@LAL,L117-111 OT,14.0,2-4,50.0,2-4,50.0,0-0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0
Luke Kennard,2022-23,Postseason,Sat 4/22,@LAL,L111-101,25.0,2-4,50.0,0-1,0.0,0-0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0
Luke Kennard,2022-23,Postseason,Wed 4/19,vsLAL,W103-93,24.0,4-7,57.1,3-4,75.0,2-2,100.0,6.0,1.0,0.0,1.0,0.0,0.0,13.0,3.0,4.0
Luke Kennard,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,26.0,2-5,40.0,1-4,25.0,2-2,100.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,4.0
Luke Kennard,2022-23,Regular,Fri 4/7,@MIL,W137-114,32.0,7-9,77.8,5-7,71.4,0-0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,19.0,5.0,7.0
Luke Kennard,2022-23,Regular,Tue 4/4,vsPOR,W119-109,34.0,6-11,54.5,6-10,60.0,2-2,100.0,5.0,2.0,0.0,2.0,0.0,1.0,20.0,6.0,10.0
Luke Kennard,2022-23,Regular,Sun 4/2,@CHI,L128-107,28.0,2-7,28.6,2-7,28.6,0-0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,6.0,2.0,7.0
Luke Kennard,2022-23,Regular,Fri 3/31,vsLAC,W108-94,33.0,6-11,54.5,5-10,50.0,0-0,0.0,6.0,1.0,0.0,0.0,3.0,3.0,17.0,5.0,10.0
Luke Kennard,2022-23,Regular,Wed 3/29,vsLAC,L141-132,33.0,5-9,55.6,1-3,33.3,1-1,100.0,4.0,2.0,1.0,0.0,1.0,0.0,12.0,1.0,3.0
Luke Kennard,2022-23,Regular,Tue 3/28,vsORL,W113-108,28.0,6-8,75.0,4-5,80.0,0-0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,16.0,4.0,5.0
Luke Kennard,2022-23,Regular,Sun 3/26,@ATL,W123-119,23.0,5-10,50.0,4-9,44.4,0-0,0.0,7.0,2.0,0.0,1.0,1.0,1.0,14.0,4.0,9.0
Luke Kennard,2022-23,Regular,Fri 3/24,vsHOU,W151-114,24.0,10-11,90.9,10-11,90.9,0-0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,30.0,10.0,11.0
Luke Kennard,2022-23,Regular,Wed 3/22,vsHOU,W130-125,25.0,3-6,50.0,3-5,60.0,4-4,100.0,4.0,1.0,0.0,0.0,0.0,1.0,13.0,3.0,5.0
Luke Kennard,2022-23,Regular,Mon 3/20,vsDAL,W112-108,25.0,4-9,44.4,2-6,33.3,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,10.0,2.0,6.0
Luke Kennard,2022-23,Regular,Sat 3/18,vsGS,W133-119,23.0,5-10,50.0,4-8,50.0,0-0,0.0,4.0,5.0,0.0,0.0,3.0,1.0,14.0,4.0,8.0
Luke Kennard,2022-23,Regular,Fri 3/17,@SA,W126-120 OT,32.0,4-7,57.1,4-7,57.1,1-2,50.0,2.0,3.0,0.0,4.0,2.0,3.0,13.0,4.0,7.0
Luke Kennard,2022-23,Regular,Wed 3/15,@MIA,L138-119,20.0,4-6,66.7,4-5,80.0,2-2,100.0,2.0,1.0,0.0,1.0,2.0,0.0,14.0,4.0,5.0
Luke Kennard,2022-23,Regular,Mon 3/13,@DAL,W104-88,17.0,1-5,20.0,0-3,0.0,0-0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
Luke Kennard,2022-23,Regular,Sat 3/11,vsDAL,W112-108,21.0,3-7,42.9,2-6,33.3,0-0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,8.0,2.0,6.0
Luke Kennard,2022-23,Regular,Thu 3/9,vsGS,W131-110,17.0,2-3,66.7,2-3,66.7,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0
Luke Kennard,2022-23,Regular,Tue 3/7,@LAL,L112-103,19.0,1-4,25.0,0-2,0.0,4-4,100.0,7.0,5.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0
Luke Kennard,2022-23,Regular,Sun 3/5,@LAC,L135-129,29.0,5-7,71.4,5-5,100.0,0-0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,15.0,5.0,5.0
Luke Kennard,2022-23,Regular,Fri 3/3,@DEN,L113-97,18.0,2-5,40.0,2-4,50.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0
Luke Kennard,2022-23,Regular,Wed 3/1,@HOU,W113-99,20.0,0-4,0.0,0-4,0.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
Luke Kennard,2022-23,Regular,Tue 2/28,vsLAL,W121-109,23.0,2-7,28.6,2-6,33.3,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,6.0
Luke Kennard,2022-23,Regular,Sat 2/25,vsDEN,W112-94,25.0,4-7,57.1,4-5,80.0,0-0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,4.0,5.0
Luke Kennard,2022-23,Regular,Wed 2/15,vsUTAH,W117-111,21.0,2-4,50.0,2-4,50.0,3-3,100.0,1.0,2.0,0.0,0.0,3.0,0.0,9.0,2.0,4.0
Luke Kennard,2022-23,Regular,Sun 2/12,@BOS,L119-109,22.0,1-4,25.0,1-2,50.0,1-1,100.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0
Luke Kennard,2022-23,Regular,Wed 2/8,vsDAL,L110-104,6.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Luke Kennard,2022-23,Regular,Mon 2/6,@BKN,W124-116,15.0,1-6,16.7,1-4,25.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0
Luke Kennard,2022-23,Regular,Tue 1/31,@CHI,W108-103,17.0,0-6,0.0,0-5,0.0,0-0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
Luke Kennard,2022-23,Regular,Sun 1/29,@CLE,L122-99,10.0,1-4,25.0,0-2,0.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0
Luke Kennard,2022-23,Regular,Sat 1/28,@ATL,W120-113,21.0,4-7,57.1,3-3,100.0,0-0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,11.0,3.0,3.0
Luke Kennard,2022-23,Regular,Thu 1/26,vsSA,W138-100,17.0,2-3,66.7,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0
Luke Kennard,2022-23,Regular,Fri 1/6,@MIN,L128-115,21.0,4-8,50.0,1-2,50.0,2-2,100.0,4.0,1.0,1.0,0.0,2.0,2.0,11.0,1.0,2.0
Luke Kennard,2022-23,Regular,Thu 1/5,@DEN,L122-91,24.0,2-9,22.2,0-5,0.0,0-0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,5.0
Luke Kennard,2022-23,Regular,Mon 1/2,vsMIA,L110-100,18.0,3-4,75.0,2-2,100.0,3-3,100.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,2.0,2.0
Luke Kennard,2022-23,Regular,Sat 12/31,@IND,L131-130,20.0,2-5,40.0,2-5,40.0,1-1,100.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,2.0,5.0
Luke Kennard,2022-23,Regular,Thu 12/29,@BOS,L116-110,17.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Luke Kennard,2022-23,Regular,Tue 12/27,@TOR,W124-113,18.0,0-4,0.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Luke Kennard,2022-23,Regular,Mon 12/26,@DET,W142-131 OT,32.0,6-12,50.0,4-8,50.0,2-2,100.0,5.0,1.0,0.0,1.0,2.0,0.0,18.0,4.0,8.0
Luke Kennard,2022-23,Regular,Fri 12/23,@PHI,L119-114,21.0,2-6,33.3,2-4,50.0,2-2,100.0,2.0,3.0,1.0,1.0,3.0,0.0,8.0,2.0,4.0
Luke Kennard,2022-23,Regular,Wed 12/21,vsCHA,W126-105,24.0,4-8,50.0,4-8,50.0,0-0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,12.0,4.0,8.0
Luke Kennard,2022-23,Regular,Sat 12/17,vsWSH,W102-93,29.0,7-12,58.3,4-6,66.7,2-3,66.7,4.0,2.0,0.0,0.0,0.0,2.0,20.0,4.0,6.0
Luke Kennard,2022-23,Regular,Wed 12/14,vsMIN,W99-88,23.0,5-8,62.5,4-7,57.1,2-2,100.0,0.0,0.0,1.0,0.0,2.0,0.0,16.0,4.0,7.0
Luke Kennard,2022-23,Regular,Mon 12/12,vsBOS,W113-93,26.0,5-9,55.6,2-5,40.0,0-0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,12.0,2.0,5.0
Luke Kennard,2022-23,Regular,Sat 12/10,@WSH,W114-107,24.0,3-7,42.9,3-6,50.0,1-1,100.0,3.0,5.0,1.0,1.0,1.0,2.0,10.0,3.0,6.0
Luke Kennard,2022-23,Regular,Thu 12/8,@MIA,L115-110,24.0,3-7,42.9,1-5,20.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,5.0
Luke Kennard,2022-23,Regular,Mon 12/5,@CHA,W119-117,20.0,3-5,60.0,2-3,66.7,1-1,100.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0
Luke Kennard,2022-23,Regular,Tue 11/15,@DAL,L103-101,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Luke Kennard,2022-23,Regular,Mon 11/14,@HOU,W122-106,28.0,3-6,50.0,2-4,50.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,8.0,2.0,4.0
Luke Kennard,2022-23,Regular,Sat 11/12,vsBKN,L110-95,24.0,3-5,60.0,2-4,50.0,1-1,100.0,3.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,4.0
Luke Kennard,2022-23,Regular,Wed 11/9,vsLAL,W114-101,25.0,5-9,55.6,3-6,50.0,0-0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,13.0,3.0,6.0
Luke Kennard,2022-23,Regular,Mon 11/7,vsCLE,W119-117,13.0,2-4,50.0,2-4,50.0,0-0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,4.0
Luke Kennard,2022-23,Regular,Fri 11/4,@SA,W113-106,9.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Luke Kennard,2022-23,Regular,Wed 11/2,@HOU,W109-101,24.0,2-3,66.7,2-3,66.7,0-0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,3.0
Luke Kennard,2022-23,Regular,Mon 10/31,vsHOU,W95-93,34.0,3-8,37.5,2-6,33.3,0-0,0.0,10.0,2.0,0.0,0.0,3.0,2.0,8.0,2.0,6.0
Luke Kennard,2022-23,Regular,Sun 10/30,vsNO,L112-91,23.0,3-5,60.0,1-3,33.3,0-0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,3.0
Luke Kennard,2022-23,Regular,Thu 10/27,@OKC,L118-110,17.0,4-5,80.0,2-3,66.7,0-0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,10.0,2.0,3.0
Luke Kennard,2022-23,Regular,Tue 10/25,@OKC,L108-94,29.0,6-13,46.2,3-7,42.9,0-0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,15.0,3.0,7.0
Luke Kennard,2022-23,Regular,Sun 10/23,vsPHX,L112-95,18.0,1-4,25.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0
Luke Kennard,2022-23,Regular,Sat 10/22,@SAC,W111-109,28.0,4-11,36.4,1-4,25.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0
Luke Kennard,2022-23,Regular,Thu 10/20,@LAL,W103-97,24.0,4-6,66.7,3-3,100.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,11.0,3.0,3.0
Luke Kennard,2022-23,Preseason,Wed 10/12,vsDEN,L126-115,17.0,5-6,83.3,1-2,50.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,1.0,2.0
Luke Kennard,2022-23,Preseason,Sun 10/9,vsMIN,L119-117,19.0,3-4,75.0,3-3,100.0,0-0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,9.0,3.0,3.0
Luke Kennard,2022-23,Preseason,Mon 10/3,vsPOR,W102-97,4.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Luke Kennard,2022-23,Preseason,Fri 9/30,vsMRC,W121-81,16.0,5-7,71.4,4-5,80.0,2-3,66.7,1.0,0.0,0.0,0.0,2.0,1.0,16.0,4.0,5.0
