Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Malcolm Brogdon,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,7.0,0-3,0.0,0-2,0.0,0-0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
Malcolm Brogdon,2022-23,Postseason,Thu 5/25,vsMIA,W110-97,8.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Malcolm Brogdon,2022-23,Postseason,Tue 5/23,@MIA,W116-99,17.0,1-5,20.0,0-2,0.0,0-0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
Malcolm Brogdon,2022-23,Postseason,Sun 5/21,@MIA,L128-102,18.0,0-6,0.0,0-3,0.0,0-0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Malcolm Brogdon,2022-23,Postseason,Fri 5/19,vsMIA,L111-105,26.0,4-9,44.4,1-5,20.0,4-4,100.0,4.0,2.0,2.0,1.0,2.0,2.0,13.0,1.0,5.0
Malcolm Brogdon,2022-23,Postseason,Wed 5/17,vsMIA,L123-116,37.0,7-14,50.0,2-4,50.0,3-5,60.0,2.0,1.0,0.0,0.0,4.0,1.0,19.0,2.0,4.0
Malcolm Brogdon,2022-23,Postseason,Sun 5/14,vsPHI,W112-88,29.0,5-14,35.7,2-6,33.3,0-0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,12.0,2.0,6.0
Malcolm Brogdon,2022-23,Postseason,Thu 5/11,@PHI,W95-86,30.0,6-11,54.5,4-6,66.7,0-0,0.0,6.0,2.0,0.0,1.0,2.0,4.0,16.0,4.0,6.0
Malcolm Brogdon,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,26.0,3-9,33.3,1-2,50.0,0-0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0
Malcolm Brogdon,2022-23,Postseason,Sun 5/7,@PHI,L116-115 OT,36.0,6-13,46.2,5-8,62.5,2-2,100.0,8.0,2.0,0.0,0.0,5.0,2.0,19.0,5.0,8.0
Malcolm Brogdon,2022-23,Postseason,Fri 5/5,@PHI,W114-102,26.0,4-12,33.3,3-6,50.0,4-4,100.0,3.0,6.0,0.0,0.0,0.0,1.0,15.0,3.0,6.0
Malcolm Brogdon,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,24.0,7-15,46.7,6-10,60.0,3-4,75.0,6.0,2.0,1.0,0.0,2.0,0.0,23.0,6.0,10.0
Malcolm Brogdon,2022-23,Postseason,Mon 5/1,vsPHI,L119-115,34.0,9-16,56.3,2-6,33.3,0-0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,20.0,2.0,6.0
Malcolm Brogdon,2022-23,Postseason,Thu 4/27,@ATL,W128-120,30.0,6-13,46.2,1-5,20.0,4-4,100.0,2.0,4.0,0.0,0.0,1.0,0.0,17.0,1.0,5.0
Malcolm Brogdon,2022-23,Postseason,Tue 4/25,vsATL,L119-117,26.0,6-12,50.0,1-5,20.0,1-1,100.0,3.0,3.0,0.0,0.0,2.0,0.0,14.0,1.0,5.0
Malcolm Brogdon,2022-23,Postseason,Sun 4/23,@ATL,W129-121,23.0,6-10,60.0,1-2,50.0,1-2,50.0,4.0,4.0,0.0,0.0,1.0,3.0,14.0,1.0,2.0
Malcolm Brogdon,2022-23,Postseason,Fri 4/21,@ATL,L130-122,29.0,7-15,46.7,3-6,50.0,0-1,0.0,1.0,5.0,0.0,0.0,1.0,2.0,17.0,3.0,6.0
Malcolm Brogdon,2022-23,Postseason,Tue 4/18,vsATL,W119-106,28.0,4-11,36.4,1-4,25.0,4-4,100.0,7.0,8.0,1.0,1.0,2.0,1.0,13.0,1.0,4.0
Malcolm Brogdon,2022-23,Postseason,Sat 4/15,vsATL,W112-99,21.0,1-6,16.7,0-3,0.0,3-4,75.0,5.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0
Malcolm Brogdon,2022-23,Regular,Wed 4/5,vsTOR,W97-93,35.0,10-19,52.6,4-6,66.7,5-6,83.3,5.0,3.0,0.0,0.0,2.0,3.0,29.0,4.0,6.0
Malcolm Brogdon,2022-23,Regular,Tue 4/4,@PHI,L103-101,28.0,7-16,43.8,2-4,50.0,2-4,50.0,4.0,3.0,0.0,0.0,0.0,1.0,18.0,2.0,4.0
Malcolm Brogdon,2022-23,Regular,Fri 3/31,vsUTAH,W122-114,32.0,7-14,50.0,3-8,37.5,2-2,100.0,3.0,7.0,1.0,1.0,0.0,1.0,19.0,3.0,8.0
Malcolm Brogdon,2022-23,Regular,Thu 3/30,@MIL,W140-99,27.0,6-13,46.2,0-4,0.0,2-2,100.0,3.0,5.0,0.0,4.0,4.0,2.0,14.0,0.0,4.0
Malcolm Brogdon,2022-23,Regular,Tue 3/28,@WSH,L130-111,23.0,6-11,54.5,1-4,25.0,0-0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,13.0,1.0,4.0
Malcolm Brogdon,2022-23,Regular,Sun 3/26,vsSA,W137-93,26.0,6-12,50.0,1-3,33.3,7-8,87.5,5.0,9.0,1.0,1.0,2.0,0.0,20.0,1.0,3.0
Malcolm Brogdon,2022-23,Regular,Tue 3/21,@SAC,W132-109,22.0,2-8,25.0,0-3,0.0,0-0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0
Malcolm Brogdon,2022-23,Regular,Sat 3/18,@UTAH,L118-117,31.0,6-12,50.0,2-4,50.0,2-3,66.7,5.0,4.0,0.0,0.0,1.0,0.0,16.0,2.0,4.0
