Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Malik Beasley,2022-23,Postseason,Sat 5/20,vsDEN,L119-108,1.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Malik Beasley,2022-23,Postseason,Fri 5/12,vsGS,W122-101,4.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Malik Beasley,2022-23,Postseason,Wed 5/10,@GS,L121-106,3.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Malik Beasley,2022-23,Postseason,Sat 5/6,vsGS,W127-97,6.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Beasley,2022-23,Postseason,Thu 5/4,@GS,L127-100,12.0,1-4,25.0,0-3,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0
Malik Beasley,2022-23,Postseason,Fri 4/28,vsMEM,W125-85,9.0,2-6,33.3,1-4,25.0,4-4,100.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0
Malik Beasley,2022-23,Postseason,Wed 4/26,@MEM,L116-99,11.0,2-6,33.3,2-6,33.3,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,6.0
Malik Beasley,2022-23,Postseason,Mon 4/24,vsMEM,W117-111 OT,9.0,1-4,25.0,1-3,33.3,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
Malik Beasley,2022-23,Postseason,Sat 4/22,vsMEM,W111-101,13.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Malik Beasley,2022-23,Postseason,Wed 4/19,@MEM,L103-93,13.0,2-4,50.0,1-3,33.3,2-2,100.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,3.0
Malik Beasley,2022-23,Postseason,Sun 4/16,@MEM,W128-112,10.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Malik Beasley,2022-23,Regular,Sun 4/9,vsUTAH,W128-117,27.0,4-10,40.0,3-9,33.3,2-4,50.0,6.0,3.0,0.0,0.0,1.0,0.0,13.0,3.0,9.0
Malik Beasley,2022-23,Regular,Fri 4/7,vsPHX,W121-107,25.0,7-14,50.0,4-10,40.0,3-3,100.0,2.0,2.0,0.0,2.0,3.0,0.0,21.0,4.0,10.0
