Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Marcus Morris Sr,2022-23,Postseason,Tue 4/25,@PHX,L136-130,24.0,5-11,45.5,0-1,0.0,2-2,100.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
Marcus Morris Sr,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,25.0,3-13,23.1,1-8,12.5,2-2,100.0,3.0,0.0,1.0,1.0,2.0,1.0,9.0,1.0,8.0
Marcus Morris Sr,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,20.0,2-5,40.0,1-3,33.3,0-0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,3.0
Marcus Morris Sr,2022-23,Regular,Sat 3/25,vsNO,L131-110,22.0,1-3,33.3,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Marcus Morris Sr,2022-23,Regular,Thu 3/23,vsOKC,W127-105,25.0,3-10,30.0,0-4,0.0,0-0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,6.0,0.0,4.0
Marcus Morris Sr,2022-23,Regular,Tue 3/21,vsOKC,L101-100,30.0,3-10,30.0,1-6,16.7,0-0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,7.0,1.0,6.0
Marcus Morris Sr,2022-23,Regular,Sun 3/19,@POR,W117-102,24.0,3-8,37.5,1-4,25.0,0-0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,4.0
Marcus Morris Sr,2022-23,Regular,Sat 3/18,vsORL,L113-108,31.0,5-8,62.5,1-2,50.0,2-3,66.7,3.0,1.0,0.0,2.0,4.0,0.0,13.0,1.0,2.0
Marcus Morris Sr,2022-23,Regular,Wed 3/15,vsGS,W134-126,15.0,1-4,25.0,0-0,0.0,0-0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
Marcus Morris Sr,2022-23,Regular,Sat 3/11,vsNY,W106-95,31.0,4-7,57.1,3-4,75.0,0-0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,11.0,3.0,4.0
