Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Matisse Thybulle,2022-23,Regular,Sun 4/2,@MIN,W107-105,30.0,1-6,16.7,0-2,0.0,0-0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,2.0
Matisse Thybulle,2022-23,Regular,Fri 3/31,vsSAC,L138-114,24.0,2-4,50.0,2-3,66.7,2-2,100.0,2.0,1.0,2.0,1.0,2.0,2.0,8.0,2.0,3.0
Matisse Thybulle,2022-23,Regular,Wed 3/29,vsSAC,L120-80,37.0,2-6,33.3,2-4,50.0,2-2,100.0,5.0,3.0,1.0,2.0,0.0,1.0,8.0,2.0,4.0
Matisse Thybulle,2022-23,Regular,Mon 3/27,vsNO,L124-90,14.0,1-4,25.0,0-2,0.0,1-2,50.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0
Matisse Thybulle,2022-23,Regular,Sun 3/26,vsOKC,L118-112,33.0,3-8,37.5,2-4,50.0,0-0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,8.0,2.0,4.0
Matisse Thybulle,2022-23,Regular,Fri 3/24,vsCHI,L124-96,14.0,2-3,66.7,1-2,50.0,0-2,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0
Matisse Thybulle,2022-23,Regular,Wed 3/22,@UTAH,W127-115,28.0,2-5,40.0,1-4,25.0,1-2,50.0,4.0,2.0,1.0,2.0,3.0,1.0,6.0,1.0,4.0
Matisse Thybulle,2022-23,Regular,Sun 3/19,vsLAC,L117-102,23.0,3-7,42.9,0-3,0.0,0-0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0
Matisse Thybulle,2022-23,Regular,Fri 3/17,vsBOS,L126-112,21.0,4-9,44.4,2-6,33.3,2-2,100.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,6.0
Matisse Thybulle,2022-23,Regular,Tue 3/14,vsNY,L123-107,38.0,6-11,54.5,2-5,40.0,1-2,50.0,8.0,3.0,1.0,3.0,4.0,1.0,15.0,2.0,5.0
Matisse Thybulle,2022-23,Regular,Sun 3/12,@NO,L127-110,24.0,4-6,66.7,2-3,66.7,0-0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,10.0,2.0,3.0
Matisse Thybulle,2022-23,Regular,Fri 3/10,@PHI,L120-119,19.0,2-4,50.0,1-3,33.3,0-0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,3.0
Matisse Thybulle,2022-23,Regular,Wed 3/8,@BOS,L115-93,20.0,1-6,16.7,0-4,0.0,0-0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
Matisse Thybulle,2022-23,Regular,Mon 3/6,@DET,W110-104,37.0,1-3,33.3,1-3,33.3,0-0,0.0,3.0,2.0,0.0,1.0,4.0,1.0,3.0,1.0,3.0
