Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Matt Ryan,2022-23,Regular,Sat 4/8,@SA,W151-131,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Matt Ryan,2022-23,Regular,Sat 3/18,@TOR,L122-107,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ryan,2022-23,Regular,Wed 2/8,@UTAH,W143-118,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ryan,2022-23,Regular,Tue 2/7,@DEN,L146-112,22.0,4-8,50.0,3-7,42.9,0-0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,11.0,3.0,7.0
Matt Ryan,2022-23,Regular,Sun 2/5,vsDEN,W128-98,14.0,3-6,50.0,2-5,40.0,2-3,66.7,0.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,5.0
Matt Ryan,2022-23,Regular,Fri 2/3,vsORL,L127-120,15.0,3-6,50.0,2-5,40.0,0-0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,2.0,5.0
Matt Ryan,2022-23,Regular,Mon 1/30,vsSAC,L118-111 OT,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ryan,2022-23,Regular,Wed 1/25,@NO,W111-102,9.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Matt Ryan,2022-23,Regular,Mon 1/23,@HOU,L119-114,7.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
Matt Ryan,2022-23,Regular,Thu 1/19,vsTOR,W128-126,6.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Matt Ryan,2022-23,Regular,Wed 1/11,@DET,L135-118,10.0,2-3,66.7,2-2,100.0,2-2,100.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,2.0
Matt Ryan,2022-23,Regular,Fri 1/6,vsLAC,W128-115,3.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Matt Ryan,2022-23,Regular,Mon 1/2,vsDEN,W124-111,21.0,2-5,40.0,1-4,25.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0
Matt Ryan,2022-23,Regular,Sat 12/31,vsDET,L116-104,11.0,1-4,25.0,0-3,0.0,0-0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0
Matt Ryan,2022-23,Regular,Fri 12/30,@MIL,L123-114,17.0,3-10,30.0,2-6,33.3,2-2,100.0,4.0,0.0,0.0,0.0,1.0,1.0,10.0,2.0,6.0
Matt Ryan,2022-23,Regular,Mon 12/26,@MIA,L113-110,14.0,2-4,50.0,2-4,50.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,4.0
Matt Ryan,2022-23,Regular,Fri 12/23,@BOS,L121-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ryan,2022-23,Regular,Mon 12/19,vsDAL,W116-106,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ryan,2022-23,Regular,Sun 12/18,vsCHI,W150-126,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ryan,2022-23,Regular,Fri 12/16,@OKC,W112-110,7.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
