Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Max Strus,2022-23,Postseason,Mon 6/12,@DEN,L94-89,32.0,5-12,41.7,1-6,16.7,1-1,100.0,8.0,1.0,1.0,0.0,3.0,1.0,12.0,1.0,6.0
Max Strus,2022-23,Postseason,Fri 6/9,vsDEN,L108-95,19.0,0-4,0.0,0-3,0.0,0-0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Max Strus,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,24.0,1-7,14.3,1-4,25.0,0-0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0
Max Strus,2022-23,Postseason,Sun 6/4,@DEN,W111-108,29.0,4-10,40.0,4-10,40.0,2-3,66.7,2.0,6.0,1.0,0.0,3.0,0.0,14.0,4.0,10.0
Max Strus,2022-23,Postseason,Thu 6/1,@DEN,L104-93,21.0,0-10,0.0,0-9,0.0,0-0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Max Strus,2022-23,Postseason,Mon 5/29,@BOS,W103-84,28.0,3-8,37.5,2-6,33.3,0-0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,8.0,2.0,6.0
Max Strus,2022-23,Postseason,Sat 5/27,vsBOS,L104-103,25.0,3-8,37.5,2-5,40.0,2-3,66.7,1.0,3.0,0.0,0.0,2.0,0.0,10.0,2.0,5.0
Max Strus,2022-23,Postseason,Thu 5/25,@BOS,L110-97,24.0,1-5,20.0,1-4,25.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
Max Strus,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,36.0,4-9,44.4,1-5,20.0,0-0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,5.0
Max Strus,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,25.0,3-9,33.3,2-8,25.0,2-2,100.0,3.0,1.0,0.0,1.0,1.0,0.0,10.0,2.0,8.0
Max Strus,2022-23,Postseason,Fri 5/19,@BOS,W111-105,27.0,3-6,50.0,2-5,40.0,3-4,75.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,5.0
Max Strus,2022-23,Postseason,Wed 5/17,@BOS,W123-116,34.0,6-10,60.0,3-5,60.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,15.0,3.0,5.0
Max Strus,2022-23,Postseason,Fri 5/12,vsNY,W96-92,34.0,4-11,36.4,1-6,16.7,5-6,83.3,6.0,3.0,0.0,0.0,1.0,0.0,14.0,1.0,6.0
Max Strus,2022-23,Postseason,Wed 5/10,@NY,L112-103,26.0,5-11,45.5,4-10,40.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,4.0,10.0
Max Strus,2022-23,Postseason,Mon 5/8,vsNY,W109-101,37.0,6-13,46.2,4-10,40.0,0-0,0.0,6.0,2.0,1.0,1.0,4.0,2.0,16.0,4.0,10.0
Max Strus,2022-23,Postseason,Sat 5/6,vsNY,W105-86,30.0,7-14,50.0,3-10,30.0,2-2,100.0,3.0,0.0,1.0,1.0,2.0,0.0,19.0,3.0,10.0
