Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Maxi Kleber,2022-23,Regular,Wed 4/5,vsSAC,W123-119,15.0,1-3,33.3,0-2,0.0,1-1,100.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
Maxi Kleber,2022-23,Regular,Sun 4/2,@ATL,L132-130 OT,8.0,1-4,25.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Maxi Kleber,2022-23,Regular,Sat 4/1,@MIA,L129-122,27.0,3-4,75.0,2-3,66.7,0-0,0.0,5.0,3.0,0.0,1.0,3.0,3.0,8.0,2.0,3.0
Maxi Kleber,2022-23,Regular,Wed 3/29,@PHI,L116-108,26.0,1-4,25.0,1-4,25.0,2-2,100.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,1.0,4.0
Maxi Kleber,2022-23,Regular,Sun 3/26,@CHA,L110-104,32.0,4-9,44.4,4-7,57.1,2-2,100.0,4.0,1.0,2.0,1.0,5.0,0.0,14.0,4.0,7.0
Maxi Kleber,2022-23,Regular,Fri 3/24,vsCHA,L117-109,20.0,2-5,40.0,0-3,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0
Maxi Kleber,2022-23,Regular,Wed 3/22,vsGS,L127-125,29.0,1-3,33.3,1-3,33.3,1-1,100.0,3.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Mon 3/20,@MEM,L112-108,33.0,0-3,0.0,0-2,0.0,2-2,100.0,8.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0
Maxi Kleber,2022-23,Regular,Fri 3/17,@LAL,W111-110,29.0,2-4,50.0,1-3,33.3,5-6,83.3,4.0,2.0,0.0,0.0,4.0,0.0,10.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Wed 3/15,@SA,W137-128 OT,28.0,1-4,25.0,1-3,33.3,0-0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Mon 3/13,vsMEM,L104-88,25.0,0-3,0.0,0-2,0.0,1-2,50.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Maxi Kleber,2022-23,Regular,Sat 3/11,@MEM,L112-108,26.0,1-3,33.3,1-3,33.3,1-2,50.0,8.0,4.0,1.0,0.0,3.0,0.0,4.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Tue 3/7,vsUTAH,W120-116,26.0,2-5,40.0,1-4,25.0,0-0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0
Maxi Kleber,2022-23,Regular,Thu 3/2,vsPHI,W133-126,20.0,3-5,60.0,2-4,50.0,1-4,25.0,6.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,4.0
Maxi Kleber,2022-23,Regular,Tue 2/28,vsIND,L124-122,24.0,4-6,66.7,1-2,50.0,0-2,0.0,0.0,2.0,1.0,0.0,2.0,0.0,9.0,1.0,2.0
Maxi Kleber,2022-23,Regular,Mon 12/12,vsOKC,W121-114,31.0,3-6,50.0,2-4,50.0,0-0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,8.0,2.0,4.0
Maxi Kleber,2022-23,Regular,Fri 12/9,vsMIL,L106-105,28.0,3-5,60.0,2-4,50.0,0-0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,8.0,2.0,4.0
Maxi Kleber,2022-23,Regular,Tue 12/6,@DEN,W116-115,26.0,4-6,66.7,1-3,33.3,0-0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,9.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Mon 12/5,vsPHX,W130-111,25.0,3-6,50.0,2-4,50.0,0-0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,8.0,2.0,4.0
Maxi Kleber,2022-23,Regular,Sat 12/3,@NY,W121-100,23.0,5-8,62.5,3-5,60.0,0-0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,13.0,3.0,5.0
Maxi Kleber,2022-23,Regular,Thu 12/1,@DET,L131-125 OT,32.0,4-8,50.0,2-5,40.0,0-0,0.0,3.0,1.0,4.0,0.0,3.0,1.0,10.0,2.0,5.0
Maxi Kleber,2022-23,Regular,Tue 11/29,vsGS,W116-113,25.0,2-3,66.7,0-1,0.0,2-2,100.0,1.0,1.0,1.0,0.0,3.0,1.0,6.0,0.0,1.0
Maxi Kleber,2022-23,Regular,Sun 11/27,@MIL,L124-115,24.0,2-3,66.7,2-3,66.7,0-0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,6.0,2.0,3.0
Maxi Kleber,2022-23,Regular,Sat 11/26,@TOR,L105-100,29.0,5-7,71.4,1-3,33.3,0-0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,11.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Tue 11/15,vsLAC,W103-101,10.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
Maxi Kleber,2022-23,Regular,Sat 11/12,vsPOR,W117-112,23.0,2-5,40.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0
Maxi Kleber,2022-23,Regular,Thu 11/10,@WSH,L113-105,21.0,1-6,16.7,0-5,0.0,0-0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0
Maxi Kleber,2022-23,Regular,Wed 11/9,@ORL,L94-87,33.0,3-6,50.0,2-5,40.0,0-0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,8.0,2.0,5.0
Maxi Kleber,2022-23,Regular,Mon 11/7,vsBKN,W96-94,29.0,2-3,66.7,1-1,100.0,0-0,0.0,5.0,1.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0
Maxi Kleber,2022-23,Regular,Fri 11/4,vsTOR,W111-110,17.0,1-4,25.0,0-1,0.0,0-0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0
Maxi Kleber,2022-23,Regular,Wed 11/2,vsUTAH,W103-100,25.0,0-0,0.0,0-0,0.0,0-0,0.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Maxi Kleber,2022-23,Regular,Sun 10/30,vsORL,W114-105,25.0,1-3,33.3,0-2,0.0,0-0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
Maxi Kleber,2022-23,Regular,Sat 10/29,vsOKC,L117-111 OT,28.0,1-8,12.5,0-6,0.0,0-0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,6.0
Maxi Kleber,2022-23,Regular,Thu 10/27,@BKN,W129-125 OT,33.0,4-5,80.0,3-4,75.0,4-6,66.7,1.0,1.0,0.0,0.0,2.0,1.0,15.0,3.0,4.0
Maxi Kleber,2022-23,Regular,Tue 10/25,@NO,L113-111,28.0,1-3,33.3,1-3,33.3,4-4,100.0,5.0,0.0,2.0,0.0,2.0,2.0,7.0,1.0,3.0
Maxi Kleber,2022-23,Regular,Sat 10/22,vsMEM,W137-96,21.0,3-5,60.0,2-3,66.7,1-2,50.0,8.0,0.0,0.0,2.0,1.0,1.0,9.0,2.0,3.0
Maxi Kleber,2022-23,Regular,Wed 10/19,@PHX,L107-105,26.0,1-3,33.3,0-1,0.0,0-0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
Maxi Kleber,2022-23,Preseason,Fri 10/14,@UTAH,W115-101,18.0,1-4,25.0,1-3,33.3,3-4,75.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0
Maxi Kleber,2022-23,Preseason,Fri 10/7,vsORL,L110-105,12.0,2-3,66.7,1-2,50.0,0-0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,5.0,1.0,2.0
