Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Mikal Bridges,2022-23,Postseason,Sat 4/22,vsPHI,L96-88,39.0,6-18,33.3,2-6,33.3,3-6,50.0,5.0,3.0,0.0,0.0,2.0,1.0,17.0,2.0,6.0
Mikal Bridges,2022-23,Postseason,Thu 4/20,vsPHI,L102-97,43.0,9-26,34.6,4-7,57.1,4-4,100.0,6.0,5.0,1.0,1.0,1.0,1.0,26.0,4.0,7.0
Mikal Bridges,2022-23,Postseason,Mon 4/17,@PHI,L96-84,41.0,6-15,40.0,2-8,25.0,7-9,77.8,5.0,7.0,0.0,1.0,2.0,3.0,21.0,2.0,8.0
Mikal Bridges,2022-23,Postseason,Sat 4/15,@PHI,L121-101,34.0,12-18,66.7,2-4,50.0,4-4,100.0,5.0,1.0,1.0,0.0,0.0,3.0,30.0,2.0,4.0
Mikal Bridges,2022-23,Regular,Sun 4/9,vsPHI,L134-105,0.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mikal Bridges,2022-23,Regular,Fri 4/7,vsORL,W101-84,37.0,7-24,29.2,1-12,8.3,7-9,77.8,5.0,2.0,0.0,2.0,1.0,3.0,22.0,1.0,12.0
Mikal Bridges,2022-23,Regular,Wed 4/5,@DET,W123-108,38.0,10-26,38.5,2-11,18.2,4-5,80.0,3.0,6.0,1.0,0.0,0.0,1.0,26.0,2.0,11.0
Mikal Bridges,2022-23,Regular,Tue 4/4,vsMIN,L107-102,40.0,9-24,37.5,1-5,20.0,5-6,83.3,5.0,2.0,1.0,2.0,2.0,3.0,24.0,1.0,5.0
Mikal Bridges,2022-23,Regular,Sun 4/2,vsUTAH,W111-110,39.0,9-25,36.0,1-8,12.5,11-13,84.6,7.0,2.0,0.0,3.0,2.0,1.0,30.0,1.0,8.0
Mikal Bridges,2022-23,Regular,Fri 3/31,vsATL,W124-107,36.0,16-24,66.7,5-8,62.5,5-5,100.0,4.0,3.0,0.0,1.0,1.0,3.0,42.0,5.0,8.0
Mikal Bridges,2022-23,Regular,Wed 3/29,vsHOU,W123-114,40.0,8-17,47.1,4-6,66.7,7-8,87.5,6.0,6.0,1.0,0.0,3.0,3.0,27.0,4.0,6.0
Mikal Bridges,2022-23,Regular,Sun 3/26,@ORL,L119-106,34.0,13-22,59.1,6-9,66.7,12-12,100.0,6.0,1.0,1.0,1.0,1.0,2.0,44.0,6.0,9.0
Mikal Bridges,2022-23,Regular,Sat 3/25,@MIA,W129-100,38.0,7-19,36.8,3-9,33.3,10-11,90.9,3.0,7.0,0.0,2.0,1.0,2.0,27.0,3.0,9.0
Mikal Bridges,2022-23,Regular,Thu 3/23,vsCLE,L116-114,34.0,11-19,57.9,2-7,28.6,8-8,100.0,6.0,1.0,0.0,0.0,3.0,1.0,32.0,2.0,7.0
Mikal Bridges,2022-23,Regular,Tue 3/21,vsCLE,L115-109,37.0,9-21,42.9,0-8,0.0,0-0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,18.0,0.0,8.0
Mikal Bridges,2022-23,Regular,Sun 3/19,vsDEN,L108-102,31.0,8-18,44.4,3-8,37.5,4-4,100.0,1.0,1.0,0.0,0.0,2.0,4.0,23.0,3.0,8.0
Mikal Bridges,2022-23,Regular,Thu 3/16,vsSAC,L101-96,35.0,7-17,41.2,2-7,28.6,7-8,87.5,4.0,2.0,0.0,1.0,3.0,1.0,23.0,2.0,7.0
