Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Mike Muscala,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,2.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Mike Muscala,2022-23,Postseason,Tue 5/23,@MIA,W116-99,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Muscala,2022-23,Postseason,Sun 5/21,@MIA,L128-102,8.0,0-2,0.0,0-2,0.0,3-4,75.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
Mike Muscala,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Muscala,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,5.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
Mike Muscala,2022-23,Postseason,Sun 4/23,@ATL,W129-121,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Muscala,2022-23,Regular,Sun 4/9,vsATL,W120-114,33.0,9-13,69.2,4-7,57.1,5-7,71.4,8.0,2.0,0.0,0.0,3.0,2.0,27.0,4.0,7.0
Mike Muscala,2022-23,Regular,Fri 4/7,vsTOR,W121-102,22.0,4-8,50.0,1-5,20.0,2-2,100.0,7.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,5.0
Mike Muscala,2022-23,Regular,Wed 4/5,vsTOR,W97-93,32.0,4-6,66.7,3-5,60.0,1-2,50.0,6.0,2.0,1.0,0.0,3.0,1.0,12.0,3.0,5.0
Mike Muscala,2022-23,Regular,Tue 4/4,@PHI,L103-101,13.0,0-1,0.0,0-1,0.0,0-0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mike Muscala,2022-23,Regular,Fri 3/31,vsUTAH,W122-114,12.0,0-3,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Mike Muscala,2022-23,Regular,Thu 3/30,@MIL,W140-99,7.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Mike Muscala,2022-23,Regular,Tue 3/28,@WSH,L130-111,9.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mike Muscala,2022-23,Regular,Sun 3/26,vsSA,W137-93,12.0,3-4,75.0,3-4,75.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,4.0
Mike Muscala,2022-23,Regular,Fri 3/24,vsIND,W120-95,5.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Mike Muscala,2022-23,Regular,Tue 3/21,@SAC,W132-109,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mike Muscala,2022-23,Regular,Sat 3/18,@UTAH,L118-117,22.0,3-5,60.0,2-3,66.7,0-0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0
Mike Muscala,2022-23,Regular,Wed 3/8,vsPOR,W115-93,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Muscala,2022-23,Regular,Mon 3/6,@CLE,L118-114 OT,35.0,2-6,33.3,1-5,20.0,0-0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,5.0,1.0,5.0
Mike Muscala,2022-23,Regular,Sun 3/5,vsNY,L131-129 2OT,12.0,1-3,33.3,1-3,33.3,0-0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,3.0
Mike Muscala,2022-23,Regular,Fri 3/3,vsBKN,L115-105,4.0,0-0,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mike Muscala,2022-23,Regular,Wed 3/1,vsCLE,W117-113,11.0,0-3,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Mike Muscala,2022-23,Regular,Mon 2/27,@NY,L109-94,11.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0
Mike Muscala,2022-23,Regular,Tue 2/14,@MIL,L131-125 OT,44.0,7-16,43.8,3-10,30.0,1-2,50.0,8.0,0.0,0.0,1.0,3.0,1.0,18.0,3.0,10.0
Mike Muscala,2022-23,Regular,Sun 2/12,vsMEM,W119-109,17.0,4-7,57.1,2-5,40.0,0-0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,10.0,2.0,5.0
Mike Muscala,2022-23,Regular,Fri 2/10,vsCHA,W127-116,16.0,4-8,50.0,4-8,50.0,0-0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,12.0,4.0,8.0
Mike Muscala,2022-23,Regular,Tue 2/7,@LAL,W133-130,17.0,6-10,60.0,4-7,57.1,0-0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,16.0,4.0,7.0
Mike Muscala,2022-23,Regular,Mon 2/6,@GS,L141-114,15.0,0-3,0.0,0-2,0.0,0-0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
Mike Muscala,2022-23,Regular,Sat 2/4,vsHOU,W153-121,18.0,7-10,70.0,5-8,62.5,0-0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,19.0,5.0,8.0
Mike Muscala,2022-23,Regular,Wed 2/1,@HOU,L112-106,12.0,2-5,40.0,1-4,25.0,1-2,50.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,4.0
Mike Muscala,2022-23,Regular,Mon 1/30,vsGS,L128-120,14.0,2-3,66.7,2-2,100.0,2-2,100.0,2.0,1.0,0.0,1.0,2.0,0.0,8.0,2.0,2.0
Mike Muscala,2022-23,Regular,Fri 1/27,vsCLE,W112-100,20.0,1-2,50.0,1-2,50.0,2-2,100.0,6.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,2.0
