Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Monte Morris,2022-23,Regular,Fri 3/31,vsORL,L116-109,13.0,1-5,20.0,1-3,33.3,1-1,100.0,3.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0
Monte Morris,2022-23,Regular,Tue 3/28,vsBOS,W130-111,29.0,9-15,60.0,1-6,16.7,0-0,0.0,3.0,9.0,2.0,1.0,0.0,0.0,19.0,1.0,6.0
Monte Morris,2022-23,Regular,Fri 3/24,vsSA,W136-124,19.0,5-8,62.5,0-1,0.0,0-0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0
Monte Morris,2022-23,Regular,Wed 3/22,vsDEN,L118-104,24.0,4-10,40.0,0-3,0.0,0-0,0.0,2.0,5.0,0.0,2.0,0.0,1.0,8.0,0.0,3.0
Monte Morris,2022-23,Regular,Tue 3/21,@ORL,L122-112,32.0,5-10,50.0,2-5,40.0,2-2,100.0,2.0,8.0,0.0,0.0,0.0,1.0,14.0,2.0,5.0
Monte Morris,2022-23,Regular,Sat 3/18,vsSAC,L132-118,20.0,2-6,33.3,1-2,50.0,2-2,100.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0
Monte Morris,2022-23,Regular,Fri 3/17,@CLE,L117-94,29.0,3-10,30.0,2-4,50.0,2-2,100.0,2.0,5.0,0.0,0.0,0.0,1.0,10.0,2.0,4.0
Monte Morris,2022-23,Regular,Tue 3/14,vsDET,W117-97,28.0,6-10,60.0,0-3,0.0,1-1,100.0,8.0,4.0,0.0,0.0,0.0,2.0,13.0,0.0,3.0
Monte Morris,2022-23,Regular,Sun 3/12,@PHI,L112-93,25.0,5-8,62.5,1-2,50.0,0-0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,11.0,1.0,2.0
Monte Morris,2022-23,Regular,Fri 3/10,vsATL,L114-107,26.0,2-6,33.3,0-2,0.0,2-2,100.0,5.0,8.0,1.0,2.0,3.0,3.0,6.0,0.0,2.0
Monte Morris,2022-23,Regular,Wed 3/8,vsATL,L122-120,16.0,2-7,28.6,1-3,33.3,0-0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0
Monte Morris,2022-23,Regular,Fri 2/24,vsNY,L115-109,27.0,5-8,62.5,2-3,66.7,0-0,0.0,2.0,2.0,0.0,1.0,4.0,1.0,12.0,2.0,3.0
Monte Morris,2022-23,Regular,Thu 2/16,@MIN,W114-106,21.0,2-5,40.0,0-1,0.0,1-1,100.0,4.0,6.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0
Monte Morris,2022-23,Regular,Tue 2/14,@POR,W126-101,28.0,2-5,40.0,2-3,66.7,0-0,0.0,7.0,4.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0
Monte Morris,2022-23,Regular,Mon 2/13,@GS,L135-126,29.0,3-6,50.0,2-3,66.7,0-0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,8.0,2.0,3.0
Monte Morris,2022-23,Regular,Sat 2/11,vsIND,W127-113,27.0,7-10,70.0,0-2,0.0,3-3,100.0,6.0,4.0,0.0,1.0,0.0,1.0,17.0,0.0,2.0
Monte Morris,2022-23,Regular,Mon 2/6,vsCLE,L114-91,22.0,4-8,50.0,2-4,50.0,0-0,0.0,3.0,7.0,0.0,1.0,0.0,2.0,10.0,2.0,4.0
Monte Morris,2022-23,Regular,Sat 2/4,@BKN,L125-123,33.0,7-14,50.0,2-5,40.0,2-4,50.0,5.0,8.0,0.0,2.0,4.0,2.0,18.0,2.0,5.0
Monte Morris,2022-23,Regular,Fri 2/3,vsPOR,L124-116,27.0,3-5,60.0,1-3,33.3,0-0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,7.0,1.0,3.0
Monte Morris,2022-23,Regular,Mon 1/30,@SA,W127-106,24.0,4-6,66.7,3-4,75.0,0-0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,11.0,3.0,4.0
Monte Morris,2022-23,Regular,Sat 1/28,@NO,W113-103,28.0,2-7,28.6,0-3,0.0,6-6,100.0,3.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,3.0
Monte Morris,2022-23,Regular,Tue 1/24,@DAL,W127-126,27.0,5-9,55.6,1-3,33.3,2-2,100.0,3.0,5.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0
Monte Morris,2022-23,Regular,Sat 1/21,vsORL,W138-118,24.0,4-5,80.0,2-3,66.7,0-0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,10.0,2.0,3.0
Monte Morris,2022-23,Regular,Wed 1/18,@NY,W116-105,31.0,5-10,50.0,3-6,50.0,0-0,0.0,7.0,5.0,1.0,0.0,3.0,0.0,13.0,3.0,6.0
Monte Morris,2022-23,Regular,Mon 1/16,vsGS,L127-118,31.0,6-13,46.2,3-4,75.0,2-2,100.0,4.0,10.0,0.0,2.0,4.0,1.0,17.0,3.0,4.0
Monte Morris,2022-23,Regular,Wed 1/11,vsCHI,W100-97,29.0,7-13,53.8,1-3,33.3,2-2,100.0,2.0,3.0,0.0,0.0,0.0,1.0,17.0,1.0,3.0
Monte Morris,2022-23,Regular,Mon 1/9,vsNO,L132-112,27.0,6-8,75.0,1-2,50.0,0-0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,13.0,1.0,2.0
Monte Morris,2022-23,Regular,Fri 1/6,@OKC,L127-110,26.0,4-8,50.0,1-3,33.3,1-2,50.0,2.0,3.0,0.0,0.0,1.0,2.0,10.0,1.0,3.0
Monte Morris,2022-23,Regular,Tue 1/3,@MIL,L123-113,30.0,3-9,33.3,1-3,33.3,1-1,100.0,8.0,6.0,0.0,1.0,1.0,0.0,8.0,1.0,3.0
Monte Morris,2022-23,Regular,Sun 1/1,@MIL,W118-95,25.0,3-7,42.9,1-5,20.0,0-0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,7.0,1.0,5.0
Monte Morris,2022-23,Regular,Fri 12/30,@ORL,W119-100,28.0,4-5,80.0,1-2,50.0,3-4,75.0,3.0,10.0,0.0,1.0,1.0,2.0,12.0,1.0,2.0
Monte Morris,2022-23,Regular,Wed 12/28,vsPHX,W127-102,31.0,4-8,50.0,1-2,50.0,3-3,100.0,6.0,8.0,0.0,0.0,2.0,0.0,12.0,1.0,2.0
Monte Morris,2022-23,Regular,Tue 12/27,vsPHI,W116-111,30.0,3-9,33.3,0-3,0.0,2-2,100.0,4.0,7.0,0.0,0.0,4.0,1.0,8.0,0.0,3.0
Monte Morris,2022-23,Regular,Fri 12/23,@SAC,W125-111,33.0,4-7,57.1,2-5,40.0,6-6,100.0,2.0,5.0,0.0,3.0,1.0,0.0,16.0,2.0,5.0
Monte Morris,2022-23,Regular,Thu 12/22,@UTAH,L120-112,30.0,2-5,40.0,1-3,33.3,0-1,0.0,4.0,4.0,0.0,0.0,1.0,2.0,5.0,1.0,3.0
Monte Morris,2022-23,Regular,Tue 12/20,@PHX,W113-110,36.0,4-10,40.0,1-2,50.0,0-1,0.0,2.0,3.0,1.0,3.0,0.0,0.0,9.0,1.0,2.0
Monte Morris,2022-23,Regular,Sun 12/18,@LAL,L119-117,29.0,3-10,30.0,1-5,20.0,0-0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,7.0,1.0,5.0
Monte Morris,2022-23,Regular,Sat 12/17,@LAC,L102-93,32.0,5-9,55.6,2-2,100.0,0-0,0.0,3.0,5.0,0.0,1.0,2.0,1.0,12.0,2.0,2.0
Monte Morris,2022-23,Regular,Wed 12/14,@DEN,L141-128,28.0,7-11,63.6,4-7,57.1,2-3,66.7,0.0,7.0,0.0,1.0,3.0,0.0,20.0,4.0,7.0
Monte Morris,2022-23,Regular,Fri 12/9,@IND,L121-111,34.0,3-9,33.3,1-4,25.0,0-0,0.0,2.0,5.0,0.0,0.0,3.0,1.0,7.0,1.0,4.0
Monte Morris,2022-23,Regular,Wed 12/7,@CHI,L115-111,37.0,7-13,53.8,2-6,33.3,1-1,100.0,2.0,8.0,1.0,0.0,3.0,3.0,17.0,2.0,6.0
Monte Morris,2022-23,Regular,Sun 12/4,vsLAL,L130-119,31.0,6-14,42.9,2-6,33.3,0-0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,14.0,2.0,6.0
Monte Morris,2022-23,Regular,Fri 12/2,@CHA,L117-116,26.0,4-6,66.7,2-3,66.7,2-2,100.0,6.0,6.0,0.0,0.0,1.0,1.0,12.0,2.0,3.0
Monte Morris,2022-23,Regular,Wed 11/30,@BKN,L113-107,29.0,2-6,33.3,0-1,0.0,0-0,0.0,4.0,3.0,0.0,1.0,3.0,2.0,4.0,0.0,1.0
Monte Morris,2022-23,Regular,Mon 11/28,vsMIN,W142-127,22.0,3-6,50.0,1-2,50.0,0-0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,7.0,1.0,2.0
Monte Morris,2022-23,Regular,Sun 11/27,@BOS,L130-121,24.0,6-8,75.0,4-5,80.0,0-0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,16.0,4.0,5.0
Monte Morris,2022-23,Regular,Fri 11/18,vsMIA,W107-106 OT,26.0,3-8,37.5,0-5,0.0,0-0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,6.0,0.0,5.0
