Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Moritz Wagner,2022-23,Regular,Thu 4/6,vsCLE,L118-94,21.0,3-11,27.3,2-5,40.0,1-2,50.0,4.0,2.0,1.0,0.0,3.0,3.0,9.0,2.0,5.0
Moritz Wagner,2022-23,Regular,Tue 4/4,vsCLE,L117-113,10.0,0-1,0.0,0-1,0.0,0-0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Moritz Wagner,2022-23,Regular,Sun 4/2,vsDET,W128-102,18.0,4-4,100.0,1-1,100.0,2-2,100.0,0.0,1.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0
Moritz Wagner,2022-23,Regular,Fri 3/31,@WSH,W116-109,7.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Moritz Wagner,2022-23,Regular,Tue 3/28,@MEM,L113-108,6.0,0-0,0.0,0-0,0.0,0-0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
Moritz Wagner,2022-23,Regular,Sun 3/26,vsBKN,W119-106,17.0,4-5,80.0,0-1,0.0,4-5,80.0,4.0,1.0,0.0,1.0,2.0,1.0,12.0,0.0,1.0
Moritz Wagner,2022-23,Regular,Thu 3/23,vsNY,W111-106,17.0,2-6,33.3,0-3,0.0,7-8,87.5,7.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0
Moritz Wagner,2022-23,Regular,Tue 3/21,vsWSH,W122-112,14.0,5-10,50.0,1-2,50.0,4-4,100.0,3.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,2.0
Moritz Wagner,2022-23,Regular,Thu 3/16,@PHX,L116-113,7.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Moritz Wagner,2022-23,Regular,Tue 3/14,@SA,L132-114,19.0,3-4,75.0,1-1,100.0,5-7,71.4,7.0,1.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0
Moritz Wagner,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,11.0,3-8,37.5,1-4,25.0,1-1,100.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,4.0
Moritz Wagner,2022-23,Regular,Thu 3/9,vsUTAH,L131-124,23.0,4-8,50.0,0-1,0.0,3-4,75.0,6.0,1.0,0.0,1.0,1.0,0.0,11.0,0.0,1.0
Moritz Wagner,2022-23,Regular,Tue 3/7,vsMIL,L134-123,21.0,6-7,85.7,2-3,66.7,4-4,100.0,8.0,3.0,0.0,2.0,3.0,3.0,18.0,2.0,3.0
Moritz Wagner,2022-23,Regular,Sun 3/5,vsPOR,L122-119,33.0,5-11,45.5,1-6,16.7,4-7,57.1,7.0,1.0,0.0,1.0,3.0,0.0,15.0,1.0,6.0
Moritz Wagner,2022-23,Regular,Fri 3/3,@CHA,W117-106,16.0,6-11,54.5,1-4,25.0,0-0,0.0,6.0,0.0,1.0,2.0,4.0,1.0,13.0,1.0,4.0
Moritz Wagner,2022-23,Regular,Wed 3/1,@MIL,L139-117,12.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0
Moritz Wagner,2022-23,Regular,Mon 2/27,@NO,W101-93,23.0,4-9,44.4,2-4,50.0,4-6,66.7,3.0,2.0,0.0,0.0,2.0,3.0,14.0,2.0,4.0
