Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Myles Turner,2022-23,Regular,Fri 3/24,@BOS,L120-95,24.0,9-13,69.2,1-4,25.0,1-3,33.3,6.0,0.0,1.0,0.0,2.0,1.0,20.0,1.0,4.0
Myles Turner,2022-23,Regular,Wed 3/22,@TOR,W118-114,29.0,6-9,66.7,0-0,0.0,4-6,66.7,7.0,3.0,1.0,0.0,6.0,2.0,16.0,0.0,0.0
Myles Turner,2022-23,Regular,Mon 3/20,@CHA,L115-109,28.0,5-9,55.6,0-2,0.0,10-11,90.9,7.0,5.0,0.0,0.0,2.0,3.0,20.0,0.0,2.0
Myles Turner,2022-23,Regular,Sat 3/18,vsPHI,L141-121,30.0,7-12,58.3,0-2,0.0,6-6,100.0,5.0,2.0,1.0,0.0,5.0,1.0,20.0,0.0,2.0
Myles Turner,2022-23,Regular,Thu 3/16,@MIL,W139-123,25.0,4-11,36.4,2-7,28.6,1-2,50.0,8.0,3.0,0.0,0.0,4.0,1.0,11.0,2.0,7.0
Myles Turner,2022-23,Regular,Thu 3/9,vsHOU,W134-125 OT,27.0,8-15,53.3,0-2,0.0,5-5,100.0,5.0,1.0,7.0,1.0,6.0,1.0,21.0,0.0,2.0
Myles Turner,2022-23,Regular,Mon 3/6,vsPHI,L147-143,17.0,4-9,44.4,0-3,0.0,2-4,50.0,0.0,0.0,1.0,1.0,6.0,3.0,10.0,0.0,3.0
Myles Turner,2022-23,Regular,Sun 3/5,@CHI,W125-122,28.0,8-13,61.5,0-4,0.0,0-1,0.0,3.0,1.0,3.0,0.0,2.0,0.0,16.0,0.0,4.0
Myles Turner,2022-23,Regular,Thu 3/2,@SA,L110-99,31.0,5-12,41.7,1-4,25.0,3-4,75.0,2.0,4.0,3.0,2.0,3.0,4.0,14.0,1.0,4.0
Myles Turner,2022-23,Regular,Tue 2/28,@DAL,W124-122,32.0,10-13,76.9,1-2,50.0,3-4,75.0,7.0,1.0,4.0,1.0,5.0,1.0,24.0,1.0,2.0
Myles Turner,2022-23,Regular,Sat 2/25,@ORL,W121-108,28.0,11-19,57.9,2-4,50.0,0-0,0.0,8.0,1.0,1.0,1.0,4.0,0.0,24.0,2.0,4.0
Myles Turner,2022-23,Regular,Thu 2/23,vsBOS,L142-138 OT,37.0,13-15,86.7,8-10,80.0,6-7,85.7,10.0,2.0,1.0,0.0,5.0,5.0,40.0,8.0,10.0
Myles Turner,2022-23,Regular,Wed 2/15,vsCHI,W117-113,36.0,6-15,40.0,1-6,16.7,4-4,100.0,9.0,1.0,3.0,0.0,3.0,3.0,17.0,1.0,6.0
Myles Turner,2022-23,Regular,Sat 2/11,@WSH,L127-113,26.0,7-10,70.0,0-2,0.0,6-8,75.0,3.0,2.0,0.0,1.0,3.0,0.0,20.0,0.0,2.0
