Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Naji Marshall,2022-23,Regular,Sun 4/9,@MIN,L113-108,12.0,1-3,33.3,0-2,0.0,2-2,100.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0
Naji Marshall,2022-23,Regular,Fri 4/7,vsNY,W113-105,14.0,3-5,60.0,1-1,100.0,0-0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,7.0,1.0,1.0
Naji Marshall,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,8.0,1-4,25.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Naji Marshall,2022-23,Regular,Tue 4/4,vsSAC,L121-103,14.0,1-5,20.0,0-1,0.0,2-3,66.7,2.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0
Naji Marshall,2022-23,Regular,Sat 4/1,vsLAC,W122-114,13.0,1-2,50.0,0-0,0.0,1-2,50.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Naji Marshall,2022-23,Regular,Thu 3/30,@DEN,W107-88,15.0,2-5,40.0,0-1,0.0,3-5,60.0,4.0,1.0,0.0,3.0,2.0,1.0,7.0,0.0,1.0
Naji Marshall,2022-23,Regular,Tue 3/28,@GS,L120-109,13.0,3-7,42.9,0-1,0.0,0-0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0
Naji Marshall,2022-23,Regular,Mon 3/27,@POR,W124-90,19.0,3-7,42.9,0-1,0.0,2-2,100.0,5.0,4.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0
Naji Marshall,2022-23,Regular,Sat 3/25,@LAC,W131-110,22.0,3-7,42.9,1-2,50.0,1-2,50.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,1.0,2.0
Naji Marshall,2022-23,Regular,Thu 3/23,vsCHA,W115-96,21.0,6-10,60.0,1-3,33.3,3-4,75.0,4.0,3.0,0.0,1.0,0.0,3.0,16.0,1.0,3.0
Naji Marshall,2022-23,Regular,Tue 3/21,vsSA,W119-84,19.0,4-8,50.0,0-2,0.0,0-0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,8.0,0.0,2.0
