Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Nassir Little,2022-23,Regular,Fri 3/31,vsSAC,L138-114,12.0,2-4,50.0,2-2,100.0,1-2,50.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,2.0
Nassir Little,2022-23,Regular,Wed 3/29,vsSAC,L120-80,40.0,4-17,23.5,0-8,0.0,2-2,100.0,2.0,0.0,1.0,0.0,1.0,4.0,10.0,0.0,8.0
Nassir Little,2022-23,Regular,Mon 3/27,vsNO,L124-90,20.0,3-10,30.0,1-5,20.0,0-0,0.0,2.0,3.0,0.0,2.0,2.0,1.0,7.0,1.0,5.0
Nassir Little,2022-23,Regular,Sun 3/26,vsOKC,L118-112,31.0,11-21,52.4,3-6,50.0,3-3,100.0,6.0,0.0,0.0,0.0,5.0,2.0,28.0,3.0,6.0
Nassir Little,2022-23,Regular,Fri 3/24,vsCHI,L124-96,17.0,2-5,40.0,0-3,0.0,0-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0
Nassir Little,2022-23,Regular,Sun 3/19,vsLAC,L117-102,25.0,1-4,25.0,0-3,0.0,2-2,100.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,0.0,3.0
Nassir Little,2022-23,Regular,Tue 3/14,vsNY,L123-107,10.0,0-5,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nassir Little,2022-23,Regular,Sun 3/12,@NO,L127-110,26.0,4-8,50.0,0-2,0.0,2-2,100.0,6.0,4.0,0.0,0.0,2.0,0.0,10.0,0.0,2.0
Nassir Little,2022-23,Regular,Fri 3/10,@PHI,L120-119,9.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
Nassir Little,2022-23,Regular,Wed 3/8,@BOS,L115-93,24.0,1-5,20.0,1-4,25.0,0-0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,4.0
Nassir Little,2022-23,Regular,Mon 3/6,@DET,W110-104,15.0,4-6,66.7,1-2,50.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,9.0,1.0,2.0
Nassir Little,2022-23,Regular,Sun 3/5,@ORL,W122-119,27.0,4-6,66.7,3-5,60.0,0-0,0.0,5.0,3.0,1.0,0.0,1.0,1.0,11.0,3.0,5.0
Nassir Little,2022-23,Regular,Fri 3/3,@ATL,L129-111,15.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Nassir Little,2022-23,Regular,Wed 3/1,vsNO,L121-110,17.0,0-4,0.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0
Nassir Little,2022-23,Regular,Tue 2/28,@GS,L123-105,15.0,3-8,37.5,1-4,25.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0
Nassir Little,2022-23,Regular,Sun 2/26,vsHOU,W131-114,20.0,3-3,100.0,3-3,100.0,2-2,100.0,9.0,2.0,1.0,0.0,2.0,0.0,11.0,3.0,3.0
Nassir Little,2022-23,Regular,Thu 2/23,@SAC,L133-116,34.0,10-19,52.6,5-9,55.6,1-1,100.0,3.0,2.0,1.0,4.0,1.0,0.0,26.0,5.0,9.0
Nassir Little,2022-23,Regular,Tue 2/14,vsWSH,L126-101,17.0,0-5,0.0,0-5,0.0,1-2,50.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
Nassir Little,2022-23,Regular,Mon 2/13,vsLAL,W127-115,28.0,4-7,57.1,3-5,60.0,0-0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,11.0,3.0,5.0
Nassir Little,2022-23,Regular,Fri 2/10,vsOKC,L138-129,25.0,2-4,50.0,2-4,50.0,2-2,100.0,5.0,1.0,1.0,0.0,3.0,3.0,8.0,2.0,4.0
Nassir Little,2022-23,Regular,Wed 2/8,vsGS,W125-122,26.0,4-6,66.7,1-3,33.3,0-0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,9.0,1.0,3.0
Nassir Little,2022-23,Regular,Mon 2/6,vsMIL,L127-108,12.0,3-6,50.0,1-3,33.3,1-2,50.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0
Nassir Little,2022-23,Regular,Sat 2/4,@CHI,L129-121,11.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
