Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Nicolas Batum,2022-23,Postseason,Tue 4/25,@PHX,L136-130,27.0,7-10,70.0,5-8,62.5,0-0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,19.0,5.0,8.0
Nicolas Batum,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Nicolas Batum,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,19.0,0-1,0.0,0-1,0.0,0-0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0
Nicolas Batum,2022-23,Postseason,Tue 4/18,@PHX,L123-109,19.0,0-4,0.0,0-4,0.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
Nicolas Batum,2022-23,Postseason,Sun 4/16,@PHX,W115-110,21.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0
Nicolas Batum,2022-23,Regular,Sun 4/9,@PHX,W119-114,21.0,0-2,0.0,0-2,0.0,0-0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0
Nicolas Batum,2022-23,Regular,Sat 4/8,vsPOR,W136-125,24.0,3-5,60.0,3-5,60.0,0-0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,9.0,3.0,5.0
Nicolas Batum,2022-23,Regular,Wed 4/5,vsLAL,W125-118,30.0,1-7,14.3,1-7,14.3,2-2,100.0,2.0,1.0,1.0,2.0,2.0,0.0,5.0,1.0,7.0
Nicolas Batum,2022-23,Regular,Sat 4/1,@NO,L122-114,24.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Nicolas Batum,2022-23,Regular,Fri 3/31,@MEM,L108-94,23.0,0-4,0.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
Nicolas Batum,2022-23,Regular,Wed 3/29,@MEM,W141-132,19.0,1-5,20.0,1-5,20.0,1-1,100.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0
Nicolas Batum,2022-23,Regular,Mon 3/27,vsCHI,W124-112,31.0,8-10,80.0,8-10,80.0,0-0,0.0,3.0,5.0,0.0,2.0,2.0,1.0,24.0,8.0,10.0
Nicolas Batum,2022-23,Regular,Sat 3/25,vsNO,L131-110,20.0,4-6,66.7,4-6,66.7,1-1,100.0,1.0,1.0,0.0,1.0,0.0,1.0,13.0,4.0,6.0
Nicolas Batum,2022-23,Regular,Thu 3/23,vsOKC,W127-105,19.0,4-6,66.7,4-6,66.7,0-0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,12.0,4.0,6.0
Nicolas Batum,2022-23,Regular,Tue 3/21,vsOKC,L101-100,24.0,2-4,50.0,1-3,33.3,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0
Nicolas Batum,2022-23,Regular,Sun 3/19,@POR,W117-102,16.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0
Nicolas Batum,2022-23,Regular,Sat 3/18,vsORL,L113-108,17.0,1-4,25.0,1-3,33.3,0-0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
Nicolas Batum,2022-23,Regular,Wed 3/15,vsGS,W134-126,20.0,2-5,40.0,2-4,50.0,0-0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,6.0,2.0,4.0
Nicolas Batum,2022-23,Regular,Sat 3/11,vsNY,W106-95,16.0,1-4,25.0,0-3,0.0,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
Nicolas Batum,2022-23,Regular,Wed 3/8,vsTOR,W108-100,15.0,0-1,0.0,0-1,0.0,2-2,100.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Nicolas Batum,2022-23,Regular,Sun 3/5,vsMEM,W135-129,17.0,0-4,0.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Nicolas Batum,2022-23,Regular,Fri 3/3,@SAC,L128-127,37.0,4-6,66.7,3-5,60.0,0-0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,11.0,3.0,5.0
Nicolas Batum,2022-23,Regular,Thu 3/2,@GS,L115-91,20.0,2-5,40.0,1-4,25.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0
