Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Nikola Jokic,2022-23,Postseason,Mon 6/12,vsMIA,W94-89,42.0,12-16,75.0,1-3,33.3,3-5,60.0,16.0,4.0,1.0,0.0,3.0,4.0,28.0,1.0,3.0
Nikola Jokic,2022-23,Postseason,Fri 6/9,@MIA,W108-95,37.0,8-19,42.1,3-7,42.9,4-4,100.0,12.0,4.0,3.0,3.0,5.0,3.0,23.0,3.0,7.0
Nikola Jokic,2022-23,Postseason,Wed 6/7,@MIA,W109-94,44.0,12-21,57.1,1-2,50.0,7-8,87.5,21.0,10.0,2.0,0.0,5.0,3.0,32.0,1.0,2.0
Nikola Jokic,2022-23,Postseason,Sun 6/4,vsMIA,L111-108,42.0,16-28,57.1,2-5,40.0,7-8,87.5,11.0,4.0,0.0,0.0,3.0,5.0,41.0,2.0,5.0
Nikola Jokic,2022-23,Postseason,Thu 6/1,vsMIA,W104-93,40.0,8-12,66.7,1-2,50.0,10-12,83.3,10.0,14.0,1.0,1.0,1.0,2.0,27.0,1.0,2.0
Nikola Jokic,2022-23,Postseason,Mon 5/22,@LAL,W113-111,45.0,11-24,45.8,3-6,50.0,5-6,83.3,14.0,13.0,3.0,1.0,5.0,3.0,30.0,3.0,6.0
Nikola Jokic,2022-23,Postseason,Sat 5/20,@LAL,W119-108,38.0,9-19,47.4,2-5,40.0,4-7,57.1,6.0,8.0,0.0,1.0,4.0,2.0,24.0,2.0,5.0
Nikola Jokic,2022-23,Postseason,Thu 5/18,vsLAL,W108-103,42.0,9-21,42.9,0-3,0.0,5-6,83.3,17.0,12.0,0.0,3.0,3.0,5.0,23.0,0.0,3.0
Nikola Jokic,2022-23,Postseason,Tue 5/16,vsLAL,W132-126,42.0,12-17,70.6,3-3,100.0,7-8,87.5,21.0,14.0,2.0,0.0,4.0,5.0,34.0,3.0,3.0
Nikola Jokic,2022-23,Postseason,Thu 5/11,@PHX,W125-100,38.0,13-18,72.2,0-1,0.0,6-6,100.0,10.0,12.0,1.0,3.0,4.0,2.0,32.0,0.0,1.0
