Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Nikola Vucevic,2022-23,Regular,Sun 4/9,vsDET,W103-81,17.0,4-9,44.4,0-0,0.0,0-0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0
Nikola Vucevic,2022-23,Regular,Fri 4/7,@DAL,W115-112,28.0,7-11,63.6,1-3,33.3,5-5,100.0,10.0,4.0,0.0,0.0,1.0,1.0,20.0,1.0,3.0
Nikola Vucevic,2022-23,Regular,Wed 4/5,@MIL,L105-92,34.0,9-21,42.9,1-6,16.7,2-2,100.0,11.0,4.0,0.0,0.0,2.0,3.0,21.0,1.0,6.0
Nikola Vucevic,2022-23,Regular,Tue 4/4,vsATL,L123-105,34.0,8-15,53.3,0-2,0.0,3-3,100.0,10.0,3.0,0.0,0.0,1.0,1.0,19.0,0.0,2.0
Nikola Vucevic,2022-23,Regular,Sun 4/2,vsMEM,W128-107,32.0,6-10,60.0,1-2,50.0,0-1,0.0,10.0,2.0,1.0,1.0,0.0,0.0,13.0,1.0,2.0
Nikola Vucevic,2022-23,Regular,Fri 3/31,@CHA,W121-91,30.0,9-14,64.3,0-3,0.0,3-4,75.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0
Nikola Vucevic,2022-23,Regular,Wed 3/29,vsLAL,L121-110,36.0,12-16,75.0,3-4,75.0,2-2,100.0,12.0,6.0,0.0,0.0,4.0,2.0,29.0,3.0,4.0
Nikola Vucevic,2022-23,Regular,Mon 3/27,@LAC,L124-112,30.0,9-13,69.2,2-3,66.7,0-0,0.0,8.0,5.0,0.0,0.0,3.0,3.0,20.0,2.0,3.0
Nikola Vucevic,2022-23,Regular,Sun 3/26,@LAL,W118-108,15.0,2-5,40.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0
Nikola Vucevic,2022-23,Regular,Fri 3/24,@POR,W124-96,30.0,10-13,76.9,1-1,100.0,2-2,100.0,15.0,4.0,0.0,1.0,3.0,5.0,23.0,1.0,1.0
Nikola Vucevic,2022-23,Regular,Wed 3/22,vsPHI,L116-91,25.0,4-10,40.0,0-2,0.0,0-0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,8.0,0.0,2.0
Nikola Vucevic,2022-23,Regular,Mon 3/20,@PHI,W109-105 2OT,46.0,8-12,66.7,1-2,50.0,4-4,100.0,12.0,2.0,0.0,4.0,2.0,1.0,21.0,1.0,2.0
Nikola Vucevic,2022-23,Regular,Sat 3/18,vsMIA,W113-99,39.0,6-8,75.0,0-0,0.0,1-1,100.0,10.0,2.0,1.0,0.0,3.0,1.0,13.0,0.0,0.0
Nikola Vucevic,2022-23,Regular,Fri 3/17,vsMIN,W139-131 2OT,46.0,9-20,45.0,2-3,66.7,1-1,100.0,11.0,4.0,3.0,2.0,5.0,4.0,21.0,2.0,3.0
Nikola Vucevic,2022-23,Regular,Wed 3/15,vsSAC,L117-114,35.0,8-22,36.4,0-7,0.0,4-5,80.0,14.0,3.0,0.0,0.0,4.0,2.0,20.0,0.0,7.0
Nikola Vucevic,2022-23,Regular,Sat 3/11,@HOU,W119-111,33.0,7-15,46.7,4-7,57.1,0-0,0.0,12.0,6.0,0.0,1.0,1.0,2.0,18.0,4.0,7.0
Nikola Vucevic,2022-23,Regular,Wed 3/8,@DEN,W117-96,35.0,9-17,52.9,2-4,50.0,5-5,100.0,15.0,3.0,0.0,0.0,3.0,1.0,25.0,2.0,4.0
Nikola Vucevic,2022-23,Regular,Sun 3/5,vsIND,L125-122,36.0,6-10,60.0,0-2,0.0,0-0,0.0,9.0,5.0,2.0,3.0,3.0,1.0,12.0,0.0,2.0
Nikola Vucevic,2022-23,Regular,Fri 3/3,vsPHX,L125-104,31.0,6-15,40.0,1-3,33.3,0-0,0.0,9.0,2.0,0.0,1.0,3.0,2.0,13.0,1.0,3.0
Nikola Vucevic,2022-23,Regular,Wed 3/1,@DET,W117-115,35.0,5-15,33.3,0-5,0.0,2-4,50.0,9.0,2.0,0.0,1.0,1.0,1.0,12.0,0.0,5.0
Nikola Vucevic,2022-23,Regular,Tue 2/28,@TOR,L104-98,31.0,9-14,64.3,4-6,66.7,1-1,100.0,5.0,4.0,0.0,0.0,2.0,6.0,23.0,4.0,6.0
Nikola Vucevic,2022-23,Regular,Sun 2/26,vsWSH,W102-82,32.0,7-16,43.8,0-6,0.0,2-2,100.0,13.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,6.0
Nikola Vucevic,2022-23,Regular,Fri 2/24,vsBKN,W131-87,29.0,5-9,55.6,0-0,0.0,3-4,75.0,10.0,2.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0
Nikola Vucevic,2022-23,Regular,Thu 2/16,vsMIL,L112-100,31.0,8-20,40.0,2-6,33.3,4-4,100.0,16.0,3.0,0.0,0.0,4.0,2.0,22.0,2.0,6.0
Nikola Vucevic,2022-23,Regular,Wed 2/15,@IND,L117-113,37.0,8-18,44.4,3-5,60.0,0-2,0.0,7.0,3.0,2.0,0.0,3.0,4.0,19.0,3.0,5.0
Nikola Vucevic,2022-23,Regular,Mon 2/13,vsORL,L100-91,34.0,5-11,45.5,1-2,50.0,2-2,100.0,13.0,1.0,0.0,2.0,4.0,1.0,13.0,1.0,2.0
Nikola Vucevic,2022-23,Regular,Sat 2/11,@CLE,L97-89,36.0,7-13,53.8,0-4,0.0,0-0,0.0,14.0,4.0,1.0,0.0,2.0,0.0,14.0,0.0,4.0
Nikola Vucevic,2022-23,Regular,Thu 2/9,@BKN,L116-105,37.0,7-15,46.7,1-6,16.7,0-0,0.0,17.0,1.0,0.0,0.0,4.0,0.0,15.0,1.0,6.0
Nikola Vucevic,2022-23,Regular,Tue 2/7,@MEM,L104-89,37.0,12-26,46.2,3-7,42.9,1-2,50.0,17.0,6.0,0.0,3.0,1.0,1.0,28.0,3.0,7.0
Nikola Vucevic,2022-23,Regular,Mon 2/6,vsSA,W128-104,24.0,10-18,55.6,2-6,33.3,0-0,0.0,12.0,4.0,2.0,1.0,2.0,3.0,22.0,2.0,6.0
