Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Norman Powell,2022-23,Postseason,Tue 4/25,@PHX,L136-130,39.0,8-17,47.1,3-7,42.9,8-10,80.0,2.0,3.0,0.0,0.0,5.0,1.0,27.0,3.0,7.0
Norman Powell,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,37.0,4-15,26.7,2-6,33.3,4-6,66.7,4.0,1.0,0.0,1.0,5.0,3.0,14.0,2.0,6.0
Norman Powell,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,41.0,15-23,65.2,7-12,58.3,5-7,71.4,5.0,3.0,1.0,0.0,3.0,4.0,42.0,7.0,12.0
Norman Powell,2022-23,Postseason,Tue 4/18,@PHX,L123-109,28.0,4-11,36.4,0-3,0.0,4-4,100.0,4.0,2.0,1.0,2.0,3.0,0.0,12.0,0.0,3.0
Norman Powell,2022-23,Postseason,Sun 4/16,@PHX,W115-110,23.0,5-10,50.0,1-4,25.0,3-4,75.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,1.0,4.0
Norman Powell,2022-23,Regular,Sun 4/9,@PHX,W119-114,32.0,12-22,54.5,0-3,0.0,5-7,71.4,5.0,0.0,0.0,1.0,1.0,1.0,29.0,0.0,3.0
Norman Powell,2022-23,Regular,Sat 4/8,vsPOR,W136-125,27.0,7-14,50.0,0-2,0.0,9-11,81.8,3.0,5.0,0.0,2.0,3.0,0.0,23.0,0.0,2.0
Norman Powell,2022-23,Regular,Wed 4/5,vsLAL,W125-118,35.0,8-15,53.3,1-4,25.0,10-10,100.0,2.0,4.0,1.0,2.0,5.0,1.0,27.0,1.0,4.0
Norman Powell,2022-23,Regular,Sat 4/1,@NO,L122-114,32.0,4-9,44.4,0-4,0.0,4-4,100.0,5.0,2.0,0.0,1.0,4.0,6.0,12.0,0.0,4.0
Norman Powell,2022-23,Regular,Fri 3/31,@MEM,L108-94,25.0,6-11,54.5,2-2,100.0,2-2,100.0,1.0,2.0,0.0,0.0,2.0,0.0,16.0,2.0,2.0
Norman Powell,2022-23,Regular,Wed 3/29,@MEM,W141-132,24.0,4-9,44.4,2-6,33.3,3-4,75.0,1.0,1.0,0.0,2.0,3.0,4.0,13.0,2.0,6.0
Norman Powell,2022-23,Regular,Thu 3/2,@GS,L115-91,21.0,1-9,11.1,0-7,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0
Norman Powell,2022-23,Regular,Tue 2/28,vsMIN,L108-101,25.0,4-14,28.6,2-6,33.3,3-4,75.0,1.0,2.0,1.0,0.0,1.0,1.0,13.0,2.0,6.0
Norman Powell,2022-23,Regular,Sun 2/26,@DEN,L134-124 OT,17.0,4-9,44.4,1-3,33.3,0-1,0.0,0.0,1.0,0.0,1.0,2.0,1.0,9.0,1.0,3.0
Norman Powell,2022-23,Regular,Fri 2/24,vsSAC,L176-175 2OT,38.0,6-14,42.9,5-8,62.5,7-8,87.5,0.0,3.0,0.0,0.0,3.0,4.0,24.0,5.0,8.0
Norman Powell,2022-23,Regular,Tue 2/14,vsGS,W134-124,25.0,10-17,58.8,3-5,60.0,1-1,100.0,3.0,1.0,0.0,1.0,2.0,1.0,24.0,3.0,5.0
Norman Powell,2022-23,Regular,Fri 2/10,vsMIL,L119-106,24.0,3-9,33.3,1-6,16.7,9-10,90.0,2.0,4.0,0.0,2.0,1.0,0.0,16.0,1.0,6.0
Norman Powell,2022-23,Regular,Wed 2/8,vsDAL,L110-104,28.0,8-17,47.1,2-6,33.3,6-6,100.0,7.0,1.0,0.0,3.0,3.0,3.0,24.0,2.0,6.0
Norman Powell,2022-23,Regular,Mon 2/6,@BKN,W124-116,30.0,5-10,50.0,1-4,25.0,3-3,100.0,3.0,4.0,0.0,1.0,1.0,2.0,14.0,1.0,4.0
Norman Powell,2022-23,Regular,Sat 2/4,@NY,W134-128 OT,35.0,8-17,47.1,2-6,33.3,6-9,66.7,7.0,3.0,0.0,1.0,3.0,2.0,24.0,2.0,6.0
Norman Powell,2022-23,Regular,Thu 2/2,@MIL,L106-105,31.0,9-16,56.3,4-8,50.0,4-5,80.0,2.0,0.0,0.0,0.0,2.0,0.0,26.0,4.0,8.0
Norman Powell,2022-23,Regular,Tue 1/31,@CHI,W108-103,33.0,7-11,63.6,3-7,42.9,10-10,100.0,4.0,4.0,0.0,2.0,3.0,0.0,27.0,3.0,7.0
Norman Powell,2022-23,Regular,Sun 1/29,@CLE,L122-99,16.0,4-10,40.0,0-2,0.0,3-4,75.0,2.0,0.0,0.0,1.0,3.0,1.0,11.0,0.0,2.0
Norman Powell,2022-23,Regular,Sat 1/28,@ATL,W120-113,24.0,4-11,36.4,2-6,33.3,0-1,0.0,4.0,2.0,0.0,0.0,1.0,4.0,10.0,2.0,6.0
