Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
OG Anunoby,2022-23,Regular,Fri 4/7,@BOS,L121-102,31.0,3-10,30.0,1-4,25.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,4.0
OG Anunoby,2022-23,Regular,Wed 4/5,@BOS,L97-93,40.0,5-16,31.3,2-8,25.0,0-0,0.0,4.0,2.0,3.0,4.0,2.0,0.0,12.0,2.0,8.0
OG Anunoby,2022-23,Regular,Tue 4/4,@CHA,W120-100,29.0,8-15,53.3,1-6,16.7,0-0,0.0,2.0,5.0,1.0,2.0,4.0,1.0,17.0,1.0,6.0
OG Anunoby,2022-23,Regular,Sun 4/2,@CHA,W128-108,34.0,9-13,69.2,5-6,83.3,0-0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,23.0,5.0,6.0
OG Anunoby,2022-23,Regular,Fri 3/31,@PHI,L117-110,41.0,6-12,50.0,3-8,37.5,2-2,100.0,3.0,3.0,1.0,1.0,5.0,1.0,17.0,3.0,8.0
OG Anunoby,2022-23,Regular,Tue 3/28,vsMIA,W106-92,39.0,9-14,64.3,4-9,44.4,0-0,0.0,3.0,5.0,0.0,1.0,2.0,2.0,22.0,4.0,9.0
OG Anunoby,2022-23,Regular,Sun 3/26,vsWSH,W114-104,37.0,11-21,52.4,4-10,40.0,3-4,75.0,8.0,1.0,3.0,1.0,4.0,1.0,29.0,4.0,10.0
OG Anunoby,2022-23,Regular,Fri 3/24,vsDET,W118-97,25.0,7-11,63.6,3-4,75.0,0-0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,17.0,3.0,4.0
OG Anunoby,2022-23,Regular,Wed 3/22,vsIND,L118-114,37.0,2-13,15.4,1-7,14.3,2-2,100.0,6.0,1.0,0.0,4.0,3.0,1.0,7.0,1.0,7.0
OG Anunoby,2022-23,Regular,Sun 3/19,@MIL,L118-111,37.0,8-12,66.7,4-5,80.0,2-2,100.0,4.0,1.0,1.0,1.0,3.0,0.0,22.0,4.0,5.0
OG Anunoby,2022-23,Regular,Sat 3/18,vsMIN,W122-107,35.0,6-9,66.7,2-3,66.7,1-1,100.0,2.0,1.0,0.0,1.0,3.0,3.0,15.0,2.0,3.0
OG Anunoby,2022-23,Regular,Thu 3/16,vsOKC,W128-111,29.0,6-9,66.7,3-4,75.0,2-2,100.0,4.0,1.0,2.0,2.0,5.0,2.0,17.0,3.0,4.0
OG Anunoby,2022-23,Regular,Tue 3/14,vsDEN,W125-110,35.0,10-14,71.4,4-8,50.0,0-0,0.0,3.0,3.0,0.0,1.0,4.0,1.0,24.0,4.0,8.0
OG Anunoby,2022-23,Regular,Fri 3/10,@LAL,L122-112,38.0,12-14,85.7,4-6,66.7,3-3,100.0,2.0,1.0,0.0,5.0,1.0,5.0,31.0,4.0,6.0
OG Anunoby,2022-23,Regular,Wed 3/8,@LAC,L108-100,37.0,7-11,63.6,4-7,57.1,0-0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,18.0,4.0,7.0
OG Anunoby,2022-23,Regular,Mon 3/6,@DEN,L118-113,35.0,3-7,42.9,3-6,50.0,3-4,75.0,4.0,1.0,0.0,0.0,3.0,1.0,12.0,3.0,6.0
OG Anunoby,2022-23,Regular,Sat 3/4,@WSH,W116-109 OT,39.0,2-11,18.2,0-6,0.0,2-2,100.0,3.0,2.0,1.0,1.0,3.0,2.0,6.0,0.0,6.0
OG Anunoby,2022-23,Regular,Thu 3/2,@WSH,L119-108,38.0,9-16,56.3,4-9,44.4,4-4,100.0,3.0,2.0,1.0,2.0,3.0,3.0,26.0,4.0,9.0
OG Anunoby,2022-23,Regular,Tue 2/28,vsCHI,W104-98,34.0,6-13,46.2,2-4,50.0,3-4,75.0,8.0,2.0,0.0,1.0,5.0,3.0,17.0,2.0,4.0
OG Anunoby,2022-23,Regular,Sun 2/26,@CLE,L118-93,34.0,3-7,42.9,1-2,50.0,0-0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,7.0,1.0,2.0
OG Anunoby,2022-23,Regular,Sat 2/25,@DET,W95-91,39.0,2-7,28.6,0-2,0.0,2-2,100.0,3.0,2.0,1.0,1.0,3.0,1.0,6.0,0.0,2.0
OG Anunoby,2022-23,Regular,Thu 2/23,vsNO,W115-110,32.0,5-13,38.5,1-8,12.5,1-1,100.0,6.0,2.0,1.0,2.0,5.0,3.0,12.0,1.0,8.0
