Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Obi Toppin,2022-23,Postseason,Fri 5/12,@MIA,L96-92,12.0,2-5,40.0,2-5,40.0,1-2,50.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0
Obi Toppin,2022-23,Postseason,Wed 5/10,vsMIA,W112-103,12.0,1-3,33.3,0-2,0.0,0-0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Obi Toppin,2022-23,Postseason,Mon 5/8,@MIA,L109-101,6.0,2-4,50.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0
Obi Toppin,2022-23,Postseason,Sat 5/6,@MIA,L105-86,17.0,2-6,33.3,1-4,25.0,0-0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,4.0
Obi Toppin,2022-23,Postseason,Tue 5/2,vsMIA,W111-105,10.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Obi Toppin,2022-23,Postseason,Sun 4/30,vsMIA,L108-101,31.0,7-15,46.7,4-11,36.4,0-0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,18.0,4.0,11.0
Obi Toppin,2022-23,Postseason,Wed 4/26,@CLE,W106-95,22.0,5-10,50.0,2-4,50.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,12.0,2.0,4.0
Obi Toppin,2022-23,Postseason,Sun 4/23,vsCLE,W102-93,20.0,2-5,40.0,1-3,33.3,0-0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0
Obi Toppin,2022-23,Postseason,Fri 4/21,vsCLE,W99-79,15.0,3-8,37.5,1-4,25.0,1-1,100.0,3.0,1.0,1.0,4.0,2.0,1.0,8.0,1.0,4.0
Obi Toppin,2022-23,Postseason,Tue 4/18,@CLE,L107-90,15.0,3-8,37.5,1-4,25.0,0-0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0
Obi Toppin,2022-23,Postseason,Sat 4/15,@CLE,W101-97,14.0,3-4,75.0,1-2,50.0,2-2,100.0,4.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0
Obi Toppin,2022-23,Regular,Sun 4/9,vsIND,L141-136,37.0,13-23,56.5,5-10,50.0,3-3,100.0,7.0,5.0,0.0,2.0,2.0,1.0,34.0,5.0,10.0
Obi Toppin,2022-23,Regular,Fri 4/7,@NO,L113-105,27.0,4-9,44.4,1-4,25.0,1-2,50.0,4.0,1.0,0.0,1.0,2.0,0.0,10.0,1.0,4.0
Obi Toppin,2022-23,Regular,Wed 4/5,@IND,W138-129,43.0,11-18,61.1,5-12,41.7,5-5,100.0,3.0,6.0,0.0,1.0,3.0,4.0,32.0,5.0,12.0
Obi Toppin,2022-23,Regular,Sun 4/2,vsWSH,W118-109,33.0,9-15,60.0,3-8,37.5,0-0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,21.0,3.0,8.0
