Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ochai Agbaji,2022-23,Regular,Sun 4/9,@LAL,L128-117,27.0,4-13,30.8,0-3,0.0,0-0,0.0,1.0,8.0,0.0,1.0,2.0,2.0,8.0,0.0,3.0
Ochai Agbaji,2022-23,Regular,Sat 4/8,vsDEN,W118-114,35.0,10-25,40.0,3-11,27.3,5-5,100.0,3.0,3.0,0.0,1.0,1.0,4.0,28.0,3.0,11.0
Ochai Agbaji,2022-23,Regular,Thu 4/6,vsOKC,L114-98,31.0,6-18,33.3,0-8,0.0,1-2,50.0,1.0,0.0,0.0,0.0,5.0,1.0,13.0,0.0,8.0
Ochai Agbaji,2022-23,Regular,Tue 4/4,vsLAL,L135-133 OT,38.0,7-15,46.7,4-8,50.0,4-4,100.0,4.0,3.0,2.0,0.0,0.0,1.0,22.0,4.0,8.0
Ochai Agbaji,2022-23,Regular,Sun 4/2,@BKN,L111-110,29.0,6-13,46.2,2-7,28.6,5-5,100.0,2.0,1.0,0.0,0.0,1.0,0.0,19.0,2.0,7.0
Ochai Agbaji,2022-23,Regular,Fri 3/31,@BOS,L122-114,30.0,4-12,33.3,2-6,33.3,2-2,100.0,7.0,2.0,0.0,0.0,3.0,2.0,12.0,2.0,6.0
Ochai Agbaji,2022-23,Regular,Wed 3/29,@SA,W128-117,25.0,2-7,28.6,2-6,33.3,4-4,100.0,1.0,3.0,2.0,0.0,1.0,1.0,10.0,2.0,6.0
Ochai Agbaji,2022-23,Regular,Mon 3/27,vsPHX,L117-103,24.0,3-8,37.5,3-7,42.9,0-0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,9.0,3.0,7.0
Ochai Agbaji,2022-23,Regular,Sat 3/25,@SAC,L121-113,36.0,8-15,53.3,3-7,42.9,1-2,50.0,3.0,4.0,3.0,0.0,0.0,1.0,20.0,3.0,7.0
Ochai Agbaji,2022-23,Regular,Fri 3/24,vsMIL,L144-116,25.0,1-8,12.5,0-4,0.0,4-5,80.0,2.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,4.0
