Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Olivier Sarr,2022-23,Regular,Sun 4/9,vsMEM,W115-100,42.0,10-15,66.7,0-2,0.0,2-4,50.0,15.0,1.0,0.0,1.0,6.0,1.0,22.0,0.0,2.0
Olivier Sarr,2022-23,Regular,Thu 4/6,@UTAH,W114-98,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier Sarr,2022-23,Regular,Tue 4/4,@GS,L136-125,3.0,0-2,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier Sarr,2022-23,Regular,Wed 3/29,vsDET,W107-106,8.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Olivier Sarr,2022-23,Regular,Thu 3/23,@LAC,L127-105,8.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
Olivier Sarr,2022-23,Regular,Tue 3/21,@LAC,W101-100,19.0,1-4,25.0,0-1,0.0,2-2,100.0,6.0,2.0,2.0,0.0,3.0,2.0,4.0,0.0,1.0
Olivier Sarr,2022-23,Regular,Thu 3/16,@TOR,L128-111,10.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
Olivier Sarr,2022-23,Regular,Wed 3/8,@PHX,L132-101,11.0,2-3,66.7,0-1,0.0,1-1,100.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0
Olivier Sarr,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,11.0,1-4,25.0,0-2,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
Olivier Sarr,2022-23,Preseason,Tue 10/11,@GS,L131-98,8.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Olivier Sarr,2022-23,Preseason,Sun 10/9,@SAC,L126-94,17.0,1-4,25.0,1-3,33.3,2-2,100.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,3.0
Olivier Sarr,2022-23,Preseason,Thu 10/6,vsMRC,W138-85,14.0,3-4,75.0,0-0,0.0,3-4,75.0,6.0,2.0,4.0,1.0,3.0,1.0,9.0,0.0,0.0
Olivier Sarr,2022-23,Preseason,Mon 10/3,vsLAC,L102-97,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
