Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Onyeka Okongwu,2022-23,Postseason,Thu 4/27,vsBOS,L128-120,20.0,3-4,75.0,0-0,0.0,0-3,0.0,11.0,2.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0
Onyeka Okongwu,2022-23,Postseason,Tue 4/25,@BOS,W119-117,27.0,4-6,66.7,1-1,100.0,0-0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0
Onyeka Okongwu,2022-23,Postseason,Sun 4/23,vsBOS,L129-121,18.0,2-4,50.0,0-0,0.0,2-3,66.7,4.0,0.0,0.0,1.0,5.0,3.0,6.0,0.0,0.0
Onyeka Okongwu,2022-23,Postseason,Fri 4/21,vsBOS,W130-122,23.0,2-2,100.0,0-0,0.0,0-0,0.0,5.0,1.0,3.0,0.0,5.0,2.0,4.0,0.0,0.0
Onyeka Okongwu,2022-23,Postseason,Tue 4/18,@BOS,L119-106,24.0,4-5,80.0,0-0,0.0,0-0,0.0,9.0,1.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0
Onyeka Okongwu,2022-23,Postseason,Sat 4/15,@BOS,L112-99,19.0,0-4,0.0,0-0,0.0,3-4,75.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sun 4/9,@BOS,L120-114,26.0,4-7,57.1,1-2,50.0,1-2,50.0,9.0,2.0,0.0,1.0,0.0,1.0,10.0,1.0,2.0
Onyeka Okongwu,2022-23,Regular,Fri 4/7,vsPHI,L136-131 OT,21.0,5-8,62.5,0-1,0.0,0-0,0.0,8.0,0.0,2.0,0.0,3.0,2.0,10.0,0.0,1.0
Onyeka Okongwu,2022-23,Regular,Wed 4/5,vsWSH,W134-116,24.0,2-8,25.0,0-1,0.0,2-2,100.0,6.0,3.0,1.0,2.0,5.0,1.0,6.0,0.0,1.0
Onyeka Okongwu,2022-23,Regular,Tue 4/4,@CHI,W123-105,20.0,4-7,57.1,1-1,100.0,2-2,100.0,6.0,1.0,3.0,0.0,2.0,1.0,11.0,1.0,1.0
Onyeka Okongwu,2022-23,Regular,Sun 4/2,vsDAL,W132-130 OT,21.0,6-9,66.7,0-0,0.0,2-2,100.0,5.0,0.0,2.0,0.0,3.0,1.0,14.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 3/31,@BKN,L124-107,19.0,3-4,75.0,0-0,0.0,6-6,100.0,6.0,0.0,2.0,0.0,3.0,1.0,12.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Tue 3/28,vsCLE,W120-118,20.0,5-5,100.0,0-0,0.0,11-12,91.7,9.0,0.0,3.0,0.0,4.0,2.0,21.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sun 3/26,vsMEM,L123-119,19.0,6-6,100.0,0-0,0.0,1-1,100.0,7.0,0.0,1.0,0.0,2.0,0.0,13.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 3/25,vsIND,W143-130,18.0,3-5,60.0,0-0,0.0,6-6,100.0,6.0,3.0,1.0,3.0,2.0,1.0,12.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 3/22,@MIN,L125-124,19.0,6-10,60.0,0-1,0.0,2-3,66.7,7.0,1.0,3.0,0.0,5.0,2.0,14.0,0.0,1.0
Onyeka Okongwu,2022-23,Regular,Tue 3/21,vsDET,W129-107,20.0,3-5,60.0,0-0,0.0,1-2,50.0,8.0,1.0,3.0,1.0,2.0,0.0,7.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sun 3/19,@SA,L126-118,20.0,6-8,75.0,0-0,0.0,5-5,100.0,7.0,0.0,1.0,1.0,2.0,1.0,17.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 3/17,vsGS,W127-119,24.0,8-9,88.9,0-0,0.0,3-4,75.0,7.0,1.0,2.0,1.0,2.0,0.0,19.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Mon 3/13,vsMIN,L136-115,25.0,6-7,85.7,0-0,0.0,4-4,100.0,14.0,0.0,1.0,1.0,1.0,3.0,16.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 3/11,vsBOS,L134-125,23.0,4-5,80.0,0-0,0.0,3-3,100.0,8.0,2.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 3/10,@WSH,W114-107,19.0,1-4,25.0,0-0,0.0,2-4,50.0,8.0,1.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 3/8,@WSH,W122-120,21.0,4-7,57.1,0-1,0.0,1-5,20.0,4.0,3.0,2.0,0.0,4.0,1.0,9.0,0.0,1.0
Onyeka Okongwu,2022-23,Regular,Mon 3/6,@MIA,L130-128,14.0,2-5,40.0,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 3/4,@MIA,L117-109,23.0,4-5,80.0,0-0,0.0,7-8,87.5,4.0,1.0,0.0,0.0,5.0,1.0,15.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 3/3,vsPOR,W129-111,23.0,3-5,60.0,1-1,100.0,0-0,0.0,4.0,0.0,1.0,3.0,2.0,4.0,7.0,1.0,1.0
Onyeka Okongwu,2022-23,Regular,Tue 2/28,vsWSH,L119-116,13.0,1-4,25.0,0-0,0.0,1-1,100.0,6.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sun 2/26,vsBKN,W129-127,28.0,3-5,60.0,0-0,0.0,4-4,100.0,7.0,1.0,0.0,0.0,5.0,1.0,10.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 2/24,vsCLE,W136-119,25.0,6-7,85.7,0-0,0.0,1-2,50.0,11.0,2.0,3.0,2.0,2.0,1.0,13.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 2/15,vsNY,L122-101,19.0,3-9,33.3,0-0,0.0,1-2,50.0,4.0,1.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Mon 2/13,@CHA,L144-138,19.0,5-8,62.5,0-0,0.0,2-2,100.0,7.0,1.0,2.0,3.0,4.0,0.0,12.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 2/11,vsSA,W125-106,19.0,3-6,50.0,0-0,0.0,0-0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Thu 2/9,vsPHX,W116-107,23.0,4-6,66.7,0-0,0.0,3-4,75.0,11.0,0.0,1.0,1.0,3.0,0.0,11.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Tue 2/7,@NO,L116-107,20.0,3-4,75.0,0-0,0.0,2-3,66.7,5.0,2.0,3.0,0.0,3.0,1.0,8.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 2/4,@DEN,L128-108,19.0,3-7,42.9,0-0,0.0,0-0,0.0,6.0,1.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 2/3,@UTAH,W115-108,22.0,6-9,66.7,0-1,0.0,3-3,100.0,11.0,2.0,0.0,0.0,4.0,1.0,15.0,0.0,1.0
Onyeka Okongwu,2022-23,Regular,Wed 2/1,@PHX,W132-100,20.0,7-7,100.0,1-1,100.0,2-2,100.0,4.0,0.0,2.0,1.0,4.0,2.0,17.0,1.0,1.0
Onyeka Okongwu,2022-23,Regular,Mon 1/30,@POR,L129-125,19.0,4-4,100.0,0-0,0.0,0-0,0.0,7.0,1.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 1/28,vsLAC,L120-113,20.0,3-5,60.0,0-0,0.0,0-0,0.0,9.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 1/25,@OKC,W137-132,20.0,4-5,80.0,0-0,0.0,0-0,0.0,5.0,2.0,2.0,1.0,4.0,3.0,8.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 1/21,vsCHA,L122-118,24.0,1-1,100.0,0-0,0.0,1-2,50.0,7.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 1/20,vsNY,W139-124,27.0,6-7,85.7,0-0,0.0,2-3,66.7,7.0,1.0,3.0,0.0,3.0,0.0,14.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 1/18,@DAL,W130-122,25.0,4-6,66.7,0-0,0.0,3-4,75.0,5.0,1.0,1.0,0.0,4.0,3.0,11.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Mon 1/16,vsMIA,W121-113,27.0,3-3,100.0,0-0,0.0,2-2,100.0,3.0,0.0,1.0,1.0,5.0,2.0,8.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sat 1/14,@TOR,W114-103,37.0,5-10,50.0,0-0,0.0,0-0,0.0,13.0,0.0,2.0,1.0,3.0,0.0,10.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 1/13,@IND,W113-111,39.0,9-12,75.0,0-0,0.0,0-1,0.0,20.0,4.0,4.0,2.0,5.0,1.0,18.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 1/11,vsMIL,L114-105,33.0,3-7,42.9,0-0,0.0,1-1,100.0,9.0,5.0,2.0,0.0,3.0,0.0,7.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Sun 1/8,@LAC,W112-108,35.0,2-6,33.3,0-0,0.0,1-2,50.0,9.0,2.0,3.0,0.0,4.0,1.0,5.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Fri 1/6,@LAL,L130-114,28.0,5-6,83.3,0-0,0.0,0-0,0.0,7.0,1.0,1.0,3.0,0.0,1.0,10.0,0.0,0.0
Onyeka Okongwu,2022-23,Regular,Wed 1/4,@SAC,W120-117,32.0,3-5,60.0,0-0,0.0,2-2,100.0,7.0,1.0,1.0,0.0,5.0,3.0,8.0,0.0,0.0
