Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Orlando Robinson,2022-23,Regular,Sun 4/9,vsORL,W123-110,12.0,0-1,0.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Orlando Robinson,2022-23,Regular,Fri 4/7,@WSH,L114-108,16.0,1-2,50.0,0-0,0.0,1-2,50.0,5.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Wed 2/15,@BKN,L116-105,4.0,0-2,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Mon 2/13,vsDEN,L112-108,14.0,3-3,100.0,0-0,0.0,0-0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Sat 2/11,@ORL,W107-103 OT,10.0,1-1,100.0,0-0,0.0,1-2,50.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Fri 2/10,vsHOU,W97-95,14.0,0-0,0.0,0-0,0.0,0-0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Wed 2/8,vsIND,W116-111,11.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Tue 1/31,@CLE,W100-97,11.0,1-4,25.0,0-0,0.0,1-1,100.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Sun 1/29,@CHA,L122-117,12.0,0-1,0.0,0-0,0.0,2-2,100.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Fri 1/27,vsORL,W110-105,11.0,0-1,0.0,0-0,0.0,0-0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Tue 1/24,vsBOS,W98-95,11.0,1-1,100.0,0-0,0.0,3-4,75.0,5.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Sun 1/22,vsNO,W100-96,13.0,0-1,0.0,0-0,0.0,1-2,50.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Fri 1/20,@DAL,L115-90,11.0,0-0,0.0,0-0,0.0,0-2,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Wed 1/18,@NO,W124-98,17.0,4-7,57.1,0-0,0.0,2-2,100.0,4.0,1.0,0.0,2.0,5.0,0.0,10.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Mon 1/16,@ATL,L121-113,12.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Sat 1/14,vsMIL,W111-95,17.0,2-4,50.0,0-0,0.0,0-0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0
Orlando Robinson,2022-23,Regular,Thu 1/12,vsMIL,W108-102,14.0,2-4,50.0,0-0,0.0,0-0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
