Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Oshae Brissett,2022-23,Regular,Sun 4/9,@NY,W141-136,28.0,4-15,26.7,0-3,0.0,4-7,57.1,9.0,3.0,2.0,0.0,4.0,2.0,12.0,0.0,3.0
Oshae Brissett,2022-23,Regular,Fri 4/7,vsDET,L122-115,12.0,0-1,0.0,0-0,0.0,4-6,66.7,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
Oshae Brissett,2022-23,Regular,Wed 4/5,vsNY,L138-129,18.0,3-4,75.0,0-1,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
Oshae Brissett,2022-23,Regular,Sun 4/2,@CLE,L115-105,18.0,1-4,25.0,0-2,0.0,1-1,100.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0
Oshae Brissett,2022-23,Regular,Fri 3/31,vsOKC,W121-117,18.0,0-8,0.0,0-4,0.0,7-8,87.5,6.0,2.0,0.0,0.0,1.0,2.0,7.0,0.0,4.0
Oshae Brissett,2022-23,Regular,Wed 3/29,vsMIL,L149-136,24.0,4-9,44.4,3-5,60.0,1-2,50.0,3.0,2.0,0.0,1.0,0.0,1.0,12.0,3.0,5.0
Oshae Brissett,2022-23,Regular,Mon 3/27,vsDAL,L127-104,19.0,1-5,20.0,0-3,0.0,8-8,100.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0
Oshae Brissett,2022-23,Regular,Fri 3/24,@BOS,L120-95,7.0,2-3,66.7,1-1,100.0,1-3,33.3,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0
Oshae Brissett,2022-23,Regular,Wed 3/22,@TOR,W118-114,23.0,4-8,50.0,1-1,100.0,0-0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,9.0,1.0,1.0
Oshae Brissett,2022-23,Regular,Mon 3/20,@CHA,L115-109,21.0,2-6,33.3,1-3,33.3,3-4,75.0,4.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,3.0
