Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ousmane Dieng,2022-23,Regular,Sun 4/9,vsMEM,W115-100,45.0,8-15,53.3,2-8,25.0,4-5,80.0,8.0,9.0,1.0,1.0,2.0,4.0,22.0,2.0,8.0
Ousmane Dieng,2022-23,Regular,Thu 4/6,@UTAH,W114-98,2.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Tue 4/4,@GS,L136-125,8.0,1-2,50.0,0-1,0.0,1-1,100.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Sun 4/2,vsPHX,L128-118,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Fri 3/31,@IND,L121-117,7.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Wed 3/29,vsDET,W107-106,8.0,0-2,0.0,0-2,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ousmane Dieng,2022-23,Regular,Tue 3/28,vsCHA,L137-134,13.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Sun 3/26,@POR,W118-112,13.0,2-5,40.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0
Ousmane Dieng,2022-23,Regular,Fri 3/24,@LAL,L116-111,2.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Thu 3/23,@LAC,L127-105,16.0,4-6,66.7,1-1,100.0,0-0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,1.0
Ousmane Dieng,2022-23,Regular,Tue 3/21,@LAC,W101-100,8.0,1-4,25.0,1-3,33.3,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
Ousmane Dieng,2022-23,Regular,Sun 3/19,vsPHX,W124-120,8.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Thu 3/16,@TOR,L128-111,13.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
Ousmane Dieng,2022-23,Regular,Tue 3/14,vsBKN,W121-107,12.0,2-8,25.0,0-4,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0
Ousmane Dieng,2022-23,Regular,Sun 3/12,@SA,W102-90,28.0,7-15,46.7,2-6,33.3,1-2,50.0,8.0,0.0,0.0,0.0,3.0,0.0,17.0,2.0,6.0
Ousmane Dieng,2022-23,Regular,Sat 3/11,@NO,W110-96,9.0,0-2,0.0,0-2,0.0,3-4,75.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0
Ousmane Dieng,2022-23,Regular,Wed 3/8,@PHX,L132-101,28.0,5-13,38.5,2-6,33.3,0-0,0.0,7.0,2.0,0.0,1.0,2.0,2.0,12.0,2.0,6.0
Ousmane Dieng,2022-23,Regular,Tue 3/7,vsGS,W137-128,19.0,4-7,57.1,2-4,50.0,1-2,50.0,5.0,0.0,0.0,2.0,0.0,0.0,11.0,2.0,4.0
Ousmane Dieng,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,20.0,4-6,66.7,2-3,66.7,2-2,100.0,4.0,0.0,0.0,2.0,1.0,0.0,12.0,2.0,3.0
Ousmane Dieng,2022-23,Regular,Fri 3/3,vsUTAH,W130-103,21.0,4-8,50.0,0-3,0.0,1-2,50.0,4.0,2.0,0.0,0.0,2.0,1.0,9.0,0.0,3.0
Ousmane Dieng,2022-23,Regular,Sat 2/4,vsHOU,W153-121,22.0,3-7,42.9,2-5,40.0,1-1,100.0,4.0,3.0,0.0,0.0,5.0,3.0,9.0,2.0,5.0
Ousmane Dieng,2022-23,Regular,Wed 2/1,@HOU,L112-106,15.0,1-6,16.7,0-3,0.0,0-0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0
Ousmane Dieng,2022-23,Regular,Mon 1/30,vsGS,L128-120,7.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Fri 1/27,vsCLE,W112-100,10.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
Ousmane Dieng,2022-23,Regular,Wed 1/25,vsATL,L137-132,11.0,2-3,66.7,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0
Ousmane Dieng,2022-23,Regular,Mon 12/5,@ATL,W121-114,19.0,6-8,75.0,3-4,75.0,0-0,0.0,5.0,1.0,0.0,1.0,3.0,2.0,15.0,3.0,4.0
Ousmane Dieng,2022-23,Regular,Sat 12/3,@MIN,W135-128,11.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Ousmane Dieng,2022-23,Regular,Wed 11/30,vsSA,W119-111,23.0,5-6,83.3,0-1,0.0,0-2,0.0,7.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0
Ousmane Dieng,2022-23,Regular,Mon 11/28,@NO,L105-101,11.0,2-4,50.0,2-3,66.7,0-0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,6.0,2.0,3.0
Ousmane Dieng,2022-23,Regular,Sat 11/26,@HOU,L118-105,21.0,0-4,0.0,0-4,0.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Ousmane Dieng,2022-23,Regular,Mon 11/7,@DET,L112-103,20.0,1-7,14.3,0-4,0.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
Ousmane Dieng,2022-23,Regular,Sat 11/5,@MIL,L108-94,22.0,3-4,75.0,2-3,66.7,0-0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0
Ousmane Dieng,2022-23,Regular,Thu 11/3,vsDEN,L122-110,12.0,1-3,33.3,0-2,0.0,1-2,50.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
Ousmane Dieng,2022-23,Regular,Tue 11/1,vsORL,W116-108,17.0,3-4,75.0,2-3,66.7,0-0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,8.0,2.0,3.0
Ousmane Dieng,2022-23,Regular,Thu 10/27,vsLAC,W118-110,13.0,1-3,33.3,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
Ousmane Dieng,2022-23,Regular,Tue 10/25,vsLAC,W108-94,10.0,1-4,25.0,0-3,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Ousmane Dieng,2022-23,Regular,Sun 10/23,vsMIN,L116-106,23.0,2-6,33.3,1-3,33.3,0-0,0.0,6.0,3.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0
Ousmane Dieng,2022-23,Regular,Sat 10/22,@DEN,L122-117,7.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ousmane Dieng,2022-23,Regular,Wed 10/19,@MIN,L115-108,9.0,0-3,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ousmane Dieng,2022-23,Postseason,Fri 4/14,@MIN,L120-95,7.0,2-5,40.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Ousmane Dieng,2022-23,Preseason,Thu 10/13,@SA,W118-112,28.0,5-8,62.5,1-3,33.3,0-0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,11.0,1.0,3.0
Ousmane Dieng,2022-23,Preseason,Tue 10/11,@DET,W115-99,21.0,5-6,83.3,3-3,100.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,13.0,3.0,3.0
Ousmane Dieng,2022-23,Preseason,Sun 10/9,vsMRC,W144-97,32.0,8-12,66.7,2-4,50.0,0-0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,18.0,2.0,4.0
Ousmane Dieng,2022-23,Preseason,Wed 10/5,vsDAL,L98-96,20.0,3-6,50.0,1-2,50.0,1-2,50.0,3.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,2.0
Ousmane Dieng,2022-23,Preseason,Mon 10/3,@DEN,W112-101,22.0,1-6,16.7,1-5,20.0,2-2,100.0,5.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,5.0
