Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
PJ Tucker,2022-23,Postseason,Sun 5/14,@BOS,L112-88,20.0,4-7,57.1,3-6,50.0,0-0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,3.0,6.0
PJ Tucker,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,20.0,3-8,37.5,2-7,28.6,0-0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,8.0,2.0,7.0
PJ Tucker,2022-23,Postseason,Tue 5/9,@BOS,W115-103,34.0,1-4,25.0,1-3,33.3,0-0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,3.0
PJ Tucker,2022-23,Postseason,Sun 5/7,vsBOS,W116-115 OT,31.0,2-5,40.0,1-4,25.0,1-1,100.0,3.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,4.0
PJ Tucker,2022-23,Postseason,Fri 5/5,vsBOS,L114-102,25.0,3-4,75.0,3-4,75.0,0-0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,9.0,3.0,4.0
PJ Tucker,2022-23,Postseason,Wed 5/3,@BOS,L121-87,21.0,2-3,66.7,1-1,100.0,0-0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,1.0
PJ Tucker,2022-23,Postseason,Mon 5/1,@BOS,W119-115,37.0,0-0,0.0,0-0,0.0,0-0,0.0,5.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0
PJ Tucker,2022-23,Postseason,Sat 4/22,@BKN,W96-88,29.0,1-6,16.7,1-4,25.0,0-0,0.0,4.0,1.0,0.0,2.0,4.0,0.0,3.0,1.0,4.0
PJ Tucker,2022-23,Postseason,Thu 4/20,@BKN,W102-97,29.0,1-3,33.3,0-2,0.0,1-2,50.0,8.0,4.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0
PJ Tucker,2022-23,Postseason,Mon 4/17,vsBKN,W96-84,22.0,0-5,0.0,0-4,0.0,0-0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
PJ Tucker,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,25.0,2-6,33.3,2-5,40.0,0-0,0.0,7.0,2.0,0.0,5.0,0.0,0.0,6.0,2.0,5.0
PJ Tucker,2022-23,Regular,Thu 4/6,vsMIA,L129-101,22.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
