Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Paolo Banchero,2022-23,Regular,Tue 4/4,vsCLE,L117-113,38.0,7-16,43.8,2-4,50.0,4-6,66.7,10.0,4.0,0.0,1.0,2.0,5.0,20.0,2.0,4.0
Paolo Banchero,2022-23,Regular,Sun 4/2,vsDET,W128-102,29.0,4-9,44.4,2-4,50.0,4-11,36.4,9.0,3.0,0.0,0.0,1.0,4.0,14.0,2.0,4.0
Paolo Banchero,2022-23,Regular,Fri 3/31,@WSH,W116-109,34.0,8-17,47.1,1-3,33.3,13-14,92.9,12.0,6.0,3.0,0.0,3.0,2.0,30.0,1.0,3.0
Paolo Banchero,2022-23,Regular,Tue 3/28,@MEM,L113-108,29.0,9-18,50.0,3-7,42.9,3-6,50.0,11.0,5.0,1.0,0.0,2.0,4.0,24.0,3.0,7.0
Paolo Banchero,2022-23,Regular,Sun 3/26,vsBKN,W119-106,29.0,4-13,30.8,1-1,100.0,2-4,50.0,9.0,4.0,0.0,0.0,1.0,2.0,11.0,1.0,1.0
Paolo Banchero,2022-23,Regular,Thu 3/23,vsNY,W111-106,34.0,7-17,41.2,2-4,50.0,5-6,83.3,6.0,4.0,2.0,2.0,3.0,3.0,21.0,2.0,4.0
Paolo Banchero,2022-23,Regular,Tue 3/21,vsWSH,W122-112,37.0,6-9,66.7,0-0,0.0,6-6,100.0,9.0,8.0,0.0,1.0,2.0,2.0,18.0,0.0,0.0
Paolo Banchero,2022-23,Regular,Sun 3/19,@LAL,L111-105,36.0,8-20,40.0,1-4,25.0,4-4,100.0,6.0,3.0,0.0,0.0,5.0,1.0,21.0,1.0,4.0
Paolo Banchero,2022-23,Regular,Sat 3/18,@LAC,W113-108,36.0,4-11,36.4,0-3,0.0,4-9,44.4,6.0,6.0,1.0,1.0,1.0,4.0,12.0,0.0,3.0
Paolo Banchero,2022-23,Regular,Thu 3/16,@PHX,L116-113,34.0,7-15,46.7,1-4,25.0,3-4,75.0,8.0,3.0,0.0,2.0,1.0,5.0,18.0,1.0,4.0
Paolo Banchero,2022-23,Regular,Tue 3/14,@SA,L132-114,32.0,11-21,52.4,2-4,50.0,3-5,60.0,6.0,0.0,1.0,0.0,1.0,3.0,27.0,2.0,4.0
Paolo Banchero,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,43.0,5-14,35.7,1-3,33.3,6-6,100.0,10.0,9.0,0.0,0.0,1.0,3.0,17.0,1.0,3.0
Paolo Banchero,2022-23,Regular,Thu 3/9,vsUTAH,L131-124,34.0,8-17,47.1,3-4,75.0,7-11,63.6,8.0,2.0,1.0,0.0,2.0,2.0,26.0,3.0,4.0
Paolo Banchero,2022-23,Regular,Tue 3/7,vsMIL,L134-123,33.0,7-18,38.9,2-5,40.0,4-8,50.0,4.0,3.0,0.0,0.0,4.0,3.0,20.0,2.0,5.0
Paolo Banchero,2022-23,Regular,Sun 3/5,vsPOR,L122-119,33.0,9-18,50.0,1-4,25.0,7-10,70.0,5.0,2.0,1.0,1.0,4.0,3.0,26.0,1.0,4.0
Paolo Banchero,2022-23,Regular,Fri 3/3,@CHA,W117-106,36.0,13-26,50.0,2-6,33.3,3-4,75.0,6.0,5.0,1.0,1.0,2.0,3.0,31.0,2.0,6.0
Paolo Banchero,2022-23,Regular,Wed 3/1,@MIL,L139-117,31.0,4-13,30.8,0-2,0.0,1-2,50.0,7.0,5.0,2.0,0.0,3.0,4.0,9.0,0.0,2.0
Paolo Banchero,2022-23,Regular,Mon 2/27,@NO,W101-93,34.0,10-18,55.6,0-3,0.0,9-11,81.8,8.0,4.0,0.0,1.0,1.0,2.0,29.0,0.0,3.0
Paolo Banchero,2022-23,Regular,Sat 2/25,vsIND,L121-108,33.0,6-12,50.0,0-2,0.0,7-9,77.8,6.0,0.0,1.0,1.0,2.0,2.0,19.0,0.0,2.0
