Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Pascal Siakam,2022-23,Regular,Fri 4/7,@BOS,L121-102,30.0,8-15,53.3,1-3,33.3,2-2,100.0,3.0,2.0,0.0,4.0,3.0,1.0,19.0,1.0,3.0
Pascal Siakam,2022-23,Regular,Wed 4/5,@BOS,L97-93,35.0,10-17,58.8,0-1,0.0,8-8,100.0,11.0,4.0,0.0,2.0,3.0,1.0,28.0,0.0,1.0
Pascal Siakam,2022-23,Regular,Tue 4/4,@CHA,W120-100,35.0,8-16,50.0,0-2,0.0,6-7,85.7,14.0,4.0,2.0,2.0,4.0,2.0,22.0,0.0,2.0
Pascal Siakam,2022-23,Regular,Sun 4/2,@CHA,W128-108,38.0,16-24,66.7,2-7,28.6,2-2,100.0,7.0,7.0,0.0,2.0,1.0,0.0,36.0,2.0,7.0
Pascal Siakam,2022-23,Regular,Fri 3/31,@PHI,L117-110,42.0,5-15,33.3,1-3,33.3,3-4,75.0,4.0,7.0,0.0,0.0,2.0,2.0,14.0,1.0,3.0
Pascal Siakam,2022-23,Regular,Tue 3/28,vsMIA,W106-92,37.0,10-20,50.0,0-5,0.0,6-6,100.0,9.0,5.0,1.0,0.0,2.0,3.0,26.0,0.0,5.0
Pascal Siakam,2022-23,Regular,Sun 3/26,vsWSH,W114-104,34.0,7-17,41.2,1-3,33.3,4-4,100.0,11.0,2.0,0.0,1.0,3.0,3.0,19.0,1.0,3.0
Pascal Siakam,2022-23,Regular,Fri 3/24,vsDET,W118-97,38.0,12-19,63.2,2-6,33.3,6-10,60.0,5.0,9.0,0.0,1.0,3.0,2.0,32.0,2.0,6.0
Pascal Siakam,2022-23,Regular,Wed 3/22,vsIND,L118-114,40.0,11-17,64.7,0-2,0.0,9-11,81.8,10.0,7.0,1.0,0.0,5.0,1.0,31.0,0.0,2.0
Pascal Siakam,2022-23,Regular,Sun 3/19,@MIL,L118-111,38.0,5-14,35.7,1-5,20.0,2-2,100.0,12.0,7.0,0.0,2.0,1.0,1.0,13.0,1.0,5.0
