Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Pat Connaughton,2022-23,Postseason,Wed 4/26,vsMIA,L128-126 OT,17.0,3-3,100.0,1-1,100.0,0-0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,7.0,1.0,1.0
Pat Connaughton,2022-23,Postseason,Mon 4/24,@MIA,L119-114,21.0,2-8,25.0,1-6,16.7,3-4,75.0,6.0,1.0,0.0,1.0,2.0,0.0,8.0,1.0,6.0
Pat Connaughton,2022-23,Postseason,Sat 4/22,@MIA,L121-99,26.0,4-7,57.1,3-6,50.0,0-0,0.0,7.0,3.0,0.0,1.0,2.0,1.0,11.0,3.0,6.0
Pat Connaughton,2022-23,Postseason,Wed 4/19,vsMIA,W138-122,25.0,8-12,66.7,6-10,60.0,0-0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,22.0,6.0,10.0
Pat Connaughton,2022-23,Regular,Tue 4/4,@WSH,W140-128,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pat Connaughton,2022-23,Regular,Sun 4/2,vsPHI,W117-104,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Connaughton,2022-23,Regular,Thu 3/30,vsBOS,L140-99,16.0,3-4,75.0,2-2,100.0,0-0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,8.0,2.0,2.0
Pat Connaughton,2022-23,Regular,Wed 3/29,@IND,W149-136,20.0,0-3,0.0,0-2,0.0,0-0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
Pat Connaughton,2022-23,Regular,Mon 3/27,@DET,W126-117,18.0,3-8,37.5,1-6,16.7,0-0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,6.0
Pat Connaughton,2022-23,Regular,Sat 3/25,@DEN,L129-106,24.0,2-5,40.0,1-4,25.0,0-0,0.0,4.0,2.0,0.0,0.0,3.0,2.0,5.0,1.0,4.0
Pat Connaughton,2022-23,Regular,Fri 3/24,@UTAH,W144-116,29.0,8-12,66.7,6-10,60.0,0-0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,22.0,6.0,10.0
Pat Connaughton,2022-23,Regular,Wed 3/22,vsSA,W130-94,27.0,2-7,28.6,1-5,20.0,0-0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,5.0,1.0,5.0
Pat Connaughton,2022-23,Regular,Sun 3/19,vsTOR,W118-111,18.0,3-4,75.0,1-2,50.0,1-1,100.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0
Pat Connaughton,2022-23,Regular,Thu 3/16,vsIND,L139-123,31.0,4-10,40.0,1-6,16.7,1-2,50.0,6.0,1.0,0.0,3.0,0.0,0.0,10.0,1.0,6.0
Pat Connaughton,2022-23,Regular,Tue 3/14,@PHX,W116-104,26.0,2-6,33.3,2-6,33.3,2-3,66.7,2.0,1.0,3.0,1.0,2.0,0.0,8.0,2.0,6.0
Pat Connaughton,2022-23,Regular,Mon 3/13,@SAC,W133-124,21.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0
Pat Connaughton,2022-23,Regular,Sat 3/11,@GS,L125-116 OT,23.0,1-7,14.3,1-5,20.0,0-0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0
Pat Connaughton,2022-23,Regular,Thu 3/9,vsBKN,W118-113,17.0,3-5,60.0,2-4,50.0,0-0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,8.0,2.0,4.0
Pat Connaughton,2022-23,Regular,Tue 3/7,@ORL,W134-123,21.0,1-4,25.0,0-3,0.0,4-4,100.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0
Pat Connaughton,2022-23,Regular,Sun 3/5,@WSH,W117-111,25.0,3-8,37.5,2-7,28.6,0-0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,8.0,2.0,7.0
Pat Connaughton,2022-23,Regular,Sat 3/4,vsPHI,L133-130,17.0,0-2,0.0,0-1,0.0,1-1,100.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Pat Connaughton,2022-23,Regular,Wed 3/1,vsORL,W139-117,24.0,3-8,37.5,3-8,37.5,1-2,50.0,6.0,2.0,0.0,0.0,2.0,1.0,10.0,3.0,8.0
Pat Connaughton,2022-23,Regular,Tue 2/28,@BKN,W118-104,22.0,2-6,33.3,1-4,25.0,0-0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,4.0
Pat Connaughton,2022-23,Regular,Sun 2/26,vsPHX,W104-101,13.0,0-4,0.0,0-4,0.0,0-0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
Pat Connaughton,2022-23,Regular,Tue 2/14,vsBOS,W131-125 OT,35.0,2-5,40.0,1-4,25.0,0-0,0.0,8.0,3.0,1.0,0.0,1.0,1.0,5.0,1.0,4.0
Pat Connaughton,2022-23,Regular,Fri 2/10,@LAC,W119-106,24.0,3-5,60.0,2-4,50.0,0-0,0.0,8.0,3.0,0.0,1.0,0.0,2.0,8.0,2.0,4.0
Pat Connaughton,2022-23,Regular,Thu 2/9,@LAL,W115-106,28.0,2-8,25.0,1-5,20.0,0-0,0.0,5.0,2.0,0.0,2.0,0.0,1.0,5.0,1.0,5.0
Pat Connaughton,2022-23,Regular,Mon 2/6,@POR,W127-108,22.0,4-7,57.1,3-6,50.0,0-0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,11.0,3.0,6.0
Pat Connaughton,2022-23,Regular,Sat 2/4,vsMIA,W123-115,31.0,5-10,50.0,4-9,44.4,0-0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,14.0,4.0,9.0
Pat Connaughton,2022-23,Regular,Thu 2/2,vsLAC,W106-105,32.0,3-5,60.0,1-3,33.3,1-1,100.0,10.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0
Pat Connaughton,2022-23,Regular,Tue 1/31,vsCHA,W124-115,29.0,3-12,25.0,1-8,12.5,1-2,50.0,7.0,3.0,1.0,1.0,0.0,0.0,8.0,1.0,8.0
Pat Connaughton,2022-23,Regular,Sun 1/29,vsNO,W135-110,26.0,2-6,33.3,2-5,40.0,0-0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,6.0,2.0,5.0
Pat Connaughton,2022-23,Regular,Fri 1/27,@IND,W141-131,33.0,5-9,55.6,4-6,66.7,0-0,0.0,8.0,1.0,0.0,3.0,1.0,1.0,14.0,4.0,6.0
Pat Connaughton,2022-23,Regular,Wed 1/25,vsDEN,W107-99,38.0,7-8,87.5,5-6,83.3,0-0,0.0,12.0,2.0,0.0,2.0,2.0,1.0,19.0,5.0,6.0
Pat Connaughton,2022-23,Regular,Mon 1/23,@DET,W150-130,26.0,2-3,66.7,2-3,66.7,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,2.0,3.0
