Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Patrick Baldwin,2022-23,Postseason,Fri 5/12,@LAL,L122-101,4.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Patrick Baldwin,2022-23,Postseason,Sat 5/6,@LAL,L127-97,5.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin,2022-23,Postseason,Thu 4/20,vsSAC,W114-97,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Sun 4/9,@POR,W157-101,10.0,3-7,42.9,2-5,40.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,5.0
Patrick Baldwin,2022-23,Regular,Fri 4/7,@SAC,W119-97,2.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Patrick Baldwin,2022-23,Regular,Tue 4/4,vsOKC,W136-125,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Fri 3/31,vsSA,W130-115,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Tue 3/28,vsNO,W120-109,1.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Patrick Baldwin,2022-23,Regular,Sat 3/18,@MEM,L133-119,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Patrick Baldwin,2022-23,Regular,Wed 3/15,@LAC,L134-126,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Mon 3/13,vsPHX,W123-112,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Thu 3/9,@MEM,L131-110,14.0,2-8,25.0,1-6,16.7,0-0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,5.0,1.0,6.0
Patrick Baldwin,2022-23,Regular,Tue 3/7,@OKC,L137-128,4.0,0-3,0.0,0-3,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Patrick Baldwin,2022-23,Regular,Thu 3/2,vsLAC,W115-91,9.0,2-6,33.3,0-3,0.0,0-0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0
Patrick Baldwin,2022-23,Regular,Tue 2/28,vsPOR,W123-105,7.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Patrick Baldwin,2022-23,Regular,Sun 2/26,vsMIN,W109-104,13.0,1-4,25.0,1-3,33.3,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
Patrick Baldwin,2022-23,Regular,Fri 2/24,vsHOU,W116-101,16.0,4-8,50.0,3-5,60.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,11.0,3.0,5.0
Patrick Baldwin,2022-23,Regular,Thu 2/23,@LAL,L124-111,10.0,4-6,66.7,3-5,60.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0
Patrick Baldwin,2022-23,Regular,Tue 2/14,@LAC,L134-124,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Fri 1/20,@CLE,W120-114,9.0,2-4,50.0,2-3,66.7,1-2,50.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,3.0
Patrick Baldwin,2022-23,Regular,Sun 1/15,@CHI,L132-118,2.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Patrick Baldwin,2022-23,Regular,Sat 1/7,vsORL,L115-101,15.0,3-9,33.3,3-6,50.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,9.0,3.0,6.0
Patrick Baldwin,2022-23,Regular,Wed 1/4,vsDET,L122-119,11.0,1-3,33.3,1-3,33.3,2-2,100.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0
Patrick Baldwin,2022-23,Regular,Mon 1/2,vsATL,W143-141 2OT,11.0,3-7,42.9,2-6,33.3,0-0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,8.0,2.0,6.0
Patrick Baldwin,2022-23,Regular,Wed 12/28,vsUTAH,W112-107,13.0,4-7,57.1,3-5,60.0,0-0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,11.0,3.0,5.0
Patrick Baldwin,2022-23,Regular,Wed 12/21,@BKN,L143-113,23.0,6-10,60.0,5-8,62.5,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,8.0
Patrick Baldwin,2022-23,Regular,Tue 12/20,@NY,L132-94,8.0,1-6,16.7,1-4,25.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
Patrick Baldwin,2022-23,Regular,Sun 12/18,@TOR,W126-110,2.0,0-1,0.0,0-1,0.0,1-2,50.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Patrick Baldwin,2022-23,Regular,Fri 12/16,@PHI,L118-106,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Baldwin,2022-23,Regular,Tue 12/13,@MIL,L128-111,8.0,2-3,66.7,2-3,66.7,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0
Patrick Baldwin,2022-23,Regular,Wed 11/23,vsLAC,W124-107,4.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
Patrick Baldwin,2022-23,Regular,Mon 11/21,@NO,L128-83,16.0,3-6,50.0,1-4,25.0,0-0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,7.0,1.0,4.0
