Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Patrick Beverley,2022-23,Regular,Sun 4/9,vsDET,W103-81,24.0,1-3,33.3,0-2,0.0,0-0,0.0,2.0,4.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0
Patrick Beverley,2022-23,Regular,Wed 4/5,@MIL,L105-92,28.0,3-5,60.0,2-4,50.0,0-0,0.0,5.0,7.0,1.0,4.0,1.0,1.0,8.0,2.0,4.0
Patrick Beverley,2022-23,Regular,Tue 4/4,vsATL,L123-105,32.0,4-9,44.4,3-7,42.9,0-0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,11.0,3.0,7.0
Patrick Beverley,2022-23,Regular,Sun 4/2,vsMEM,W128-107,23.0,1-5,20.0,0-3,0.0,0-0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0
Patrick Beverley,2022-23,Regular,Fri 3/31,@CHA,W121-91,24.0,2-3,66.7,0-1,0.0,0-0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0
Patrick Beverley,2022-23,Regular,Wed 3/29,vsLAL,L121-110,25.0,0-5,0.0,0-5,0.0,0-0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Patrick Beverley,2022-23,Regular,Mon 3/27,@LAC,L124-112,30.0,3-6,50.0,3-5,60.0,0-0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,9.0,3.0,5.0
Patrick Beverley,2022-23,Regular,Sun 3/26,@LAL,W118-108,23.0,4-7,57.1,1-3,33.3,1-2,50.0,4.0,5.0,0.0,1.0,4.0,0.0,10.0,1.0,3.0
Patrick Beverley,2022-23,Regular,Fri 3/24,@POR,W124-96,24.0,1-5,20.0,0-2,0.0,2-2,100.0,6.0,4.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0
Patrick Beverley,2022-23,Regular,Wed 3/22,vsPHI,L116-91,19.0,0-5,0.0,0-2,0.0,0-0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Patrick Beverley,2022-23,Regular,Mon 3/20,@PHI,W109-105 2OT,40.0,2-10,20.0,2-8,25.0,0-0,0.0,4.0,2.0,1.0,1.0,6.0,1.0,6.0,2.0,8.0
Patrick Beverley,2022-23,Regular,Sat 3/18,vsMIA,W113-99,24.0,6-12,50.0,5-10,50.0,0-0,0.0,3.0,4.0,0.0,0.0,5.0,2.0,17.0,5.0,10.0
Patrick Beverley,2022-23,Regular,Fri 3/17,vsMIN,W139-131 2OT,31.0,2-3,66.7,0-1,0.0,0-0,0.0,5.0,4.0,1.0,2.0,6.0,2.0,4.0,0.0,1.0
Patrick Beverley,2022-23,Regular,Wed 3/15,vsSAC,L117-114,29.0,1-7,14.3,1-6,16.7,0-0,0.0,11.0,3.0,2.0,1.0,6.0,1.0,3.0,1.0,6.0
Patrick Beverley,2022-23,Regular,Sat 3/11,@HOU,W119-111,34.0,6-7,85.7,4-5,80.0,0-0,0.0,10.0,5.0,1.0,0.0,4.0,1.0,16.0,4.0,5.0
Patrick Beverley,2022-23,Regular,Wed 3/8,@DEN,W117-96,24.0,1-4,25.0,1-3,33.3,0-0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0
Patrick Beverley,2022-23,Regular,Sun 3/5,vsIND,L125-122,32.0,2-3,66.7,1-1,100.0,0-0,0.0,6.0,3.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0
Patrick Beverley,2022-23,Regular,Fri 3/3,vsPHX,L125-104,29.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
Patrick Beverley,2022-23,Regular,Wed 3/1,@DET,W117-115,33.0,2-4,50.0,0-2,0.0,1-4,25.0,10.0,10.0,1.0,4.0,3.0,1.0,5.0,0.0,2.0
Patrick Beverley,2022-23,Regular,Tue 2/28,@TOR,L104-98,29.0,3-6,50.0,1-4,25.0,1-2,50.0,7.0,4.0,1.0,0.0,3.0,1.0,8.0,1.0,4.0
Patrick Beverley,2022-23,Regular,Sun 2/26,vsWSH,W102-82,26.0,0-4,0.0,0-3,0.0,0-0,0.0,5.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0
Patrick Beverley,2022-23,Regular,Fri 2/24,vsBKN,W131-87,22.0,2-4,50.0,1-3,33.3,3-5,60.0,5.0,4.0,0.0,0.0,1.0,1.0,8.0,1.0,3.0
Patrick Beverley,2022-23,Regular,Tue 2/7,vsOKC,L133-130,24.0,2-3,66.7,2-3,66.7,1-2,50.0,1.0,5.0,0.0,0.0,3.0,3.0,7.0,2.0,3.0
