Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Patrick Williams,2022-23,Regular,Sun 4/9,vsDET,W103-81,22.0,1-5,20.0,0-1,0.0,0-0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
Patrick Williams,2022-23,Regular,Fri 4/7,@DAL,W115-112,37.0,9-18,50.0,3-5,60.0,2-3,66.7,8.0,2.0,2.0,2.0,2.0,2.0,23.0,3.0,5.0
Patrick Williams,2022-23,Regular,Wed 4/5,@MIL,L105-92,29.0,2-8,25.0,2-5,40.0,0-0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,5.0
Patrick Williams,2022-23,Regular,Tue 4/4,vsATL,L123-105,27.0,6-9,66.7,2-5,40.0,1-2,50.0,2.0,1.0,2.0,2.0,3.0,0.0,15.0,2.0,5.0
Patrick Williams,2022-23,Regular,Sun 4/2,vsMEM,W128-107,26.0,5-10,50.0,2-5,40.0,0-0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,12.0,2.0,5.0
Patrick Williams,2022-23,Regular,Fri 3/31,@CHA,W121-91,24.0,5-10,50.0,3-6,50.0,2-2,100.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,6.0
Patrick Williams,2022-23,Regular,Wed 3/29,vsLAL,L121-110,24.0,1-7,14.3,0-5,0.0,0-0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,5.0
Patrick Williams,2022-23,Regular,Mon 3/27,@LAC,L124-112,30.0,7-8,87.5,2-2,100.0,0-0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,16.0,2.0,2.0
Patrick Williams,2022-23,Regular,Sun 3/26,@LAL,W118-108,25.0,3-6,50.0,1-3,33.3,0-0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,7.0,1.0,3.0
Patrick Williams,2022-23,Regular,Fri 3/24,@POR,W124-96,27.0,3-12,25.0,2-4,50.0,2-2,100.0,3.0,0.0,3.0,1.0,1.0,2.0,10.0,2.0,4.0
Patrick Williams,2022-23,Regular,Wed 3/22,vsPHI,L116-91,21.0,2-6,33.3,1-2,50.0,2-3,66.7,5.0,1.0,0.0,2.0,2.0,4.0,7.0,1.0,2.0
Patrick Williams,2022-23,Regular,Mon 3/20,@PHI,W109-105 2OT,32.0,1-6,16.7,0-2,0.0,4-4,100.0,4.0,2.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0
Patrick Williams,2022-23,Regular,Sat 3/18,vsMIA,W113-99,33.0,4-11,36.4,2-4,50.0,0-0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,10.0,2.0,4.0
Patrick Williams,2022-23,Regular,Fri 3/17,vsMIN,W139-131 2OT,25.0,2-3,66.7,0-0,0.0,2-2,100.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
Patrick Williams,2022-23,Regular,Wed 3/15,vsSAC,L117-114,25.0,5-12,41.7,3-5,60.0,0-0,0.0,4.0,2.0,1.0,4.0,2.0,1.0,13.0,3.0,5.0
Patrick Williams,2022-23,Regular,Sat 3/11,@HOU,W119-111,23.0,1-3,33.3,1-3,33.3,0-0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0
Patrick Williams,2022-23,Regular,Wed 3/8,@DEN,W117-96,30.0,8-9,88.9,1-2,50.0,1-1,100.0,4.0,0.0,0.0,1.0,1.0,0.0,18.0,1.0,2.0
Patrick Williams,2022-23,Regular,Sun 3/5,vsIND,L125-122,21.0,5-6,83.3,2-3,66.7,2-2,100.0,1.0,0.0,0.0,0.0,1.0,3.0,14.0,2.0,3.0
Patrick Williams,2022-23,Regular,Fri 3/3,vsPHX,L125-104,29.0,4-8,50.0,0-2,0.0,1-2,50.0,3.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,2.0
Patrick Williams,2022-23,Regular,Wed 3/1,@DET,W117-115,28.0,4-9,44.4,1-1,100.0,2-2,100.0,2.0,0.0,2.0,0.0,3.0,0.0,11.0,1.0,1.0
Patrick Williams,2022-23,Regular,Tue 2/28,@TOR,L104-98,22.0,3-5,60.0,2-2,100.0,0-0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,8.0,2.0,2.0
Patrick Williams,2022-23,Regular,Sun 2/26,vsWSH,W102-82,22.0,2-4,50.0,1-2,50.0,0-0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0
Patrick Williams,2022-23,Regular,Fri 2/24,vsBKN,W131-87,28.0,5-8,62.5,2-2,100.0,5-8,62.5,6.0,3.0,0.0,2.0,1.0,2.0,17.0,2.0,2.0
Patrick Williams,2022-23,Regular,Thu 2/16,vsMIL,L112-100,30.0,6-10,60.0,3-5,60.0,1-2,50.0,5.0,2.0,0.0,2.0,1.0,0.0,16.0,3.0,5.0
Patrick Williams,2022-23,Regular,Wed 2/15,@IND,L117-113,28.0,5-10,50.0,1-3,33.3,0-0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,11.0,1.0,3.0
Patrick Williams,2022-23,Regular,Mon 2/13,vsORL,L100-91,30.0,2-11,18.2,0-4,0.0,2-2,100.0,4.0,0.0,1.0,0.0,3.0,3.0,6.0,0.0,4.0
Patrick Williams,2022-23,Regular,Sat 2/11,@CLE,L97-89,33.0,6-10,60.0,1-3,33.3,0-0,0.0,6.0,3.0,0.0,4.0,2.0,1.0,13.0,1.0,3.0
Patrick Williams,2022-23,Regular,Thu 2/9,@BKN,L116-105,14.0,1-4,25.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
Patrick Williams,2022-23,Regular,Tue 2/7,@MEM,L104-89,32.0,4-10,40.0,0-3,0.0,1-1,100.0,5.0,2.0,0.0,1.0,2.0,2.0,9.0,0.0,3.0
Patrick Williams,2022-23,Regular,Mon 2/6,vsSA,W128-104,18.0,4-7,57.1,1-2,50.0,2-2,100.0,6.0,3.0,0.0,1.0,0.0,1.0,11.0,1.0,2.0
Patrick Williams,2022-23,Regular,Sat 2/4,vsPOR,W129-121,31.0,3-9,33.3,0-2,0.0,0-0,0.0,7.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,2.0
Patrick Williams,2022-23,Regular,Thu 2/2,vsCHA,W114-98,27.0,2-8,25.0,2-4,50.0,0-0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,6.0,2.0,4.0
Patrick Williams,2022-23,Regular,Tue 1/31,vsLAC,L108-103,33.0,4-8,50.0,1-3,33.3,2-2,100.0,6.0,1.0,1.0,0.0,2.0,1.0,11.0,1.0,3.0
Patrick Williams,2022-23,Regular,Sat 1/28,@ORL,W128-109,37.0,7-11,63.6,2-4,50.0,0-0,0.0,6.0,2.0,1.0,1.0,2.0,1.0,16.0,2.0,4.0
Patrick Williams,2022-23,Regular,Thu 1/26,@CHA,L111-96,32.0,6-15,40.0,1-7,14.3,2-2,100.0,5.0,1.0,1.0,1.0,2.0,2.0,15.0,1.0,7.0
