Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Paul George,2022-23,Regular,Tue 3/21,vsOKC,L101-100,35.0,9-17,52.9,0-5,0.0,0-2,0.0,7.0,5.0,1.0,3.0,2.0,2.0,18.0,0.0,5.0
Paul George,2022-23,Regular,Sun 3/19,@POR,W117-102,35.0,8-22,36.4,3-6,50.0,10-12,83.3,9.0,4.0,1.0,4.0,4.0,2.0,29.0,3.0,6.0
Paul George,2022-23,Regular,Sat 3/18,vsORL,L113-108,37.0,12-25,48.0,2-7,28.6,4-4,100.0,3.0,1.0,0.0,2.0,4.0,6.0,30.0,2.0,7.0
Paul George,2022-23,Regular,Wed 3/15,vsGS,W134-126,40.0,8-21,38.1,4-9,44.4,4-6,66.7,2.0,7.0,0.0,1.0,5.0,1.0,24.0,4.0,9.0
Paul George,2022-23,Regular,Sat 3/11,vsNY,W106-95,40.0,10-21,47.6,2-8,25.0,0-0,0.0,8.0,8.0,1.0,1.0,1.0,1.0,22.0,2.0,8.0
Paul George,2022-23,Regular,Wed 3/8,vsTOR,W108-100,39.0,8-19,42.1,2-6,33.3,5-5,100.0,2.0,4.0,0.0,1.0,4.0,4.0,23.0,2.0,6.0
Paul George,2022-23,Regular,Sun 3/5,vsMEM,W135-129,35.0,12-23,52.2,4-9,44.4,14-15,93.3,11.0,3.0,0.0,1.0,4.0,3.0,42.0,4.0,9.0
Paul George,2022-23,Regular,Fri 3/3,@SAC,L128-127,34.0,8-16,50.0,2-8,25.0,10-10,100.0,7.0,8.0,0.0,1.0,4.0,1.0,28.0,2.0,8.0
Paul George,2022-23,Regular,Thu 3/2,@GS,L115-91,27.0,3-15,20.0,1-8,12.5,4-4,100.0,5.0,5.0,0.0,0.0,5.0,1.0,11.0,1.0,8.0
Paul George,2022-23,Regular,Tue 2/28,vsMIN,L108-101,35.0,10-21,47.6,3-8,37.5,2-4,50.0,6.0,3.0,0.0,3.0,1.0,3.0,25.0,3.0,8.0
Paul George,2022-23,Regular,Sun 2/26,@DEN,L134-124 OT,36.0,6-13,46.2,0-4,0.0,11-11,100.0,4.0,4.0,1.0,1.0,3.0,3.0,23.0,0.0,4.0
Paul George,2022-23,Regular,Fri 2/24,vsSAC,L176-175 2OT,41.0,9-18,50.0,5-8,62.5,11-14,78.6,10.0,5.0,1.0,1.0,2.0,4.0,34.0,5.0,8.0
Paul George,2022-23,Regular,Sun 2/19,vsGIA*,L184-175,18.0,4-13,30.8,0-9,0.0,0-0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,8.0,0.0,9.0
Paul George,2022-23,Regular,Thu 2/16,@PHX,W116-107,36.0,9-19,47.4,4-11,36.4,4-4,100.0,6.0,5.0,0.0,1.0,4.0,4.0,26.0,4.0,11.0
Paul George,2022-23,Regular,Tue 2/14,vsGS,W134-124,32.0,6-12,50.0,1-5,20.0,7-7,100.0,2.0,8.0,0.0,0.0,4.0,2.0,20.0,1.0,5.0
Paul George,2022-23,Regular,Fri 2/10,vsMIL,L119-106,32.0,8-23,34.8,3-11,27.3,0-0,0.0,11.0,6.0,0.0,1.0,1.0,1.0,19.0,3.0,11.0
Paul George,2022-23,Regular,Wed 2/8,vsDAL,L110-104,34.0,8-20,40.0,3-9,33.3,1-2,50.0,5.0,4.0,0.0,1.0,3.0,4.0,20.0,3.0,9.0
Paul George,2022-23,Regular,Mon 2/6,@BKN,W124-116,34.0,10-20,50.0,3-7,42.9,6-7,85.7,4.0,3.0,0.0,2.0,4.0,2.0,29.0,3.0,7.0
Paul George,2022-23,Regular,Sat 2/4,@NY,W134-128 OT,42.0,9-16,56.3,5-9,55.6,7-7,100.0,8.0,5.0,0.0,1.0,3.0,4.0,30.0,5.0,9.0
Paul George,2022-23,Regular,Thu 2/2,@MIL,L106-105,36.0,6-16,37.5,2-5,40.0,2-6,33.3,6.0,2.0,0.0,3.0,2.0,3.0,16.0,2.0,5.0
Paul George,2022-23,Regular,Tue 1/31,@CHI,W108-103,40.0,7-16,43.8,2-8,25.0,0-0,0.0,10.0,7.0,0.0,2.0,4.0,5.0,16.0,2.0,8.0
Paul George,2022-23,Regular,Sat 1/28,@ATL,W120-113,37.0,7-18,38.9,3-9,33.3,6-7,85.7,7.0,6.0,0.0,1.0,3.0,2.0,23.0,3.0,9.0
Paul George,2022-23,Regular,Thu 1/26,vsSA,W138-100,35.0,14-19,73.7,5-8,62.5,2-3,66.7,4.0,7.0,1.0,3.0,1.0,0.0,35.0,5.0,8.0
Paul George,2022-23,Regular,Tue 1/24,@LAL,W133-115,36.0,11-20,55.0,3-9,33.3,2-2,100.0,9.0,4.0,1.0,0.0,3.0,4.0,27.0,3.0,9.0
Paul George,2022-23,Regular,Sun 1/22,@DAL,W112-98,34.0,6-11,54.5,1-3,33.3,8-8,100.0,6.0,4.0,0.0,1.0,3.0,5.0,21.0,1.0,3.0
Paul George,2022-23,Regular,Fri 1/20,@SA,W131-126,32.0,7-13,53.8,2-3,66.7,0-0,0.0,3.0,12.0,0.0,1.0,3.0,0.0,16.0,2.0,3.0
Paul George,2022-23,Regular,Tue 1/17,vsPHI,L120-110,29.0,5-11,45.5,1-4,25.0,2-3,66.7,8.0,4.0,0.0,1.0,4.0,5.0,13.0,1.0,4.0
Paul George,2022-23,Regular,Thu 1/5,@DEN,L122-91,14.0,1-9,11.1,1-5,20.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0
Paul George,2022-23,Regular,Mon 1/2,vsMIA,L110-100,34.0,7-16,43.8,4-10,40.0,7-8,87.5,3.0,7.0,0.0,3.0,2.0,5.0,25.0,4.0,10.0
Paul George,2022-23,Regular,Sat 12/31,@IND,L131-130,40.0,15-25,60.0,7-13,53.8,8-8,100.0,9.0,4.0,0.0,3.0,4.0,4.0,45.0,7.0,13.0
Paul George,2022-23,Regular,Thu 12/29,@BOS,L116-110,40.0,10-22,45.5,3-9,33.3,1-1,100.0,4.0,6.0,0.0,2.0,4.0,4.0,24.0,3.0,9.0
Paul George,2022-23,Regular,Tue 12/27,@TOR,W124-113,34.0,9-18,50.0,5-9,55.6,0-0,0.0,7.0,5.0,0.0,1.0,2.0,3.0,23.0,5.0,9.0
Paul George,2022-23,Regular,Mon 12/26,@DET,W142-131 OT,38.0,9-19,47.4,2-7,28.6,12-14,85.7,4.0,11.0,1.0,3.0,3.0,3.0,32.0,2.0,7.0
Paul George,2022-23,Regular,Fri 12/23,@PHI,L119-114,36.0,7-18,38.9,3-10,30.0,5-5,100.0,3.0,4.0,0.0,2.0,3.0,2.0,22.0,3.0,10.0
Paul George,2022-23,Regular,Wed 12/21,vsCHA,W126-105,31.0,7-15,46.7,4-10,40.0,4-4,100.0,8.0,8.0,2.0,1.0,2.0,7.0,22.0,4.0,10.0
Paul George,2022-23,Regular,Wed 12/14,vsMIN,W99-88,33.0,4-13,30.8,2-7,28.6,7-8,87.5,11.0,11.0,0.0,0.0,2.0,4.0,17.0,2.0,7.0
Paul George,2022-23,Regular,Mon 12/12,vsBOS,W113-93,35.0,8-22,36.4,2-5,40.0,8-9,88.9,6.0,3.0,0.0,1.0,4.0,2.0,26.0,2.0,5.0
Paul George,2022-23,Regular,Sat 12/10,@WSH,W114-107,41.0,13-27,48.1,5-12,41.7,5-5,100.0,7.0,6.0,2.0,3.0,4.0,2.0,36.0,5.0,12.0
Paul George,2022-23,Regular,Thu 12/8,@MIA,L115-110,32.0,10-20,50.0,5-11,45.5,4-4,100.0,8.0,7.0,0.0,1.0,2.0,4.0,29.0,5.0,11.0
Paul George,2022-23,Regular,Wed 12/7,@ORL,L116-111 OT,33.0,3-12,25.0,2-6,33.3,3-3,100.0,7.0,5.0,1.0,1.0,2.0,4.0,11.0,2.0,6.0
Paul George,2022-23,Regular,Mon 12/5,@CHA,W119-117,28.0,8-15,53.3,2-4,50.0,1-1,100.0,3.0,7.0,0.0,0.0,1.0,2.0,19.0,2.0,4.0
Paul George,2022-23,Regular,Sat 11/19,vsSA,W119-97,15.0,8-12,66.7,5-8,62.5,0-0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,21.0,5.0,8.0
Paul George,2022-23,Regular,Thu 11/17,vsDET,W96-91,36.0,5-18,27.8,3-6,50.0,3-3,100.0,9.0,3.0,0.0,1.0,5.0,4.0,16.0,3.0,6.0
Paul George,2022-23,Regular,Tue 11/15,@DAL,L103-101,41.0,7-13,53.8,1-3,33.3,8-8,100.0,7.0,6.0,0.0,2.0,4.0,10.0,23.0,1.0,3.0
Paul George,2022-23,Regular,Mon 11/14,@HOU,W122-106,29.0,7-18,38.9,2-7,28.6,6-8,75.0,8.0,5.0,0.0,2.0,2.0,1.0,22.0,2.0,7.0
Paul George,2022-23,Regular,Sat 11/12,vsBKN,L110-95,34.0,5-21,23.8,1-6,16.7,6-7,85.7,4.0,4.0,2.0,0.0,3.0,2.0,17.0,1.0,6.0
Paul George,2022-23,Regular,Wed 11/9,vsLAL,W114-101,36.0,10-17,58.8,2-7,28.6,7-9,77.8,6.0,4.0,2.0,1.0,3.0,4.0,29.0,2.0,7.0
Paul George,2022-23,Regular,Mon 11/7,vsCLE,W119-117,40.0,10-20,50.0,5-11,45.5,1-3,33.3,5.0,3.0,0.0,1.0,2.0,1.0,26.0,5.0,11.0
Paul George,2022-23,Regular,Sun 11/6,vsUTAH,L110-102,38.0,11-22,50.0,5-14,35.7,7-8,87.5,8.0,4.0,0.0,1.0,5.0,5.0,34.0,5.0,14.0
Paul George,2022-23,Regular,Fri 11/4,@SA,W113-106,38.0,11-16,68.8,4-6,66.7,6-7,85.7,2.0,6.0,0.0,1.0,2.0,5.0,32.0,4.0,6.0
Paul George,2022-23,Regular,Wed 11/2,@HOU,W109-101,37.0,10-20,50.0,3-8,37.5,5-6,83.3,4.0,5.0,0.0,1.0,1.0,5.0,28.0,3.0,8.0
Paul George,2022-23,Regular,Mon 10/31,vsHOU,W95-93,38.0,15-26,57.7,5-10,50.0,0-1,0.0,9.0,8.0,2.0,6.0,3.0,3.0,35.0,5.0,10.0
Paul George,2022-23,Regular,Sun 10/30,vsNO,L112-91,28.0,5-19,26.3,2-8,25.0,2-2,100.0,3.0,3.0,0.0,1.0,3.0,4.0,14.0,2.0,8.0
Paul George,2022-23,Regular,Thu 10/27,@OKC,L118-110,31.0,4-12,33.3,0-4,0.0,2-2,100.0,7.0,3.0,0.0,0.0,1.0,3.0,10.0,0.0,4.0
Paul George,2022-23,Regular,Sun 10/23,vsPHX,L112-95,34.0,4-11,36.4,2-6,33.3,6-6,100.0,7.0,4.0,0.0,2.0,2.0,2.0,16.0,2.0,6.0
Paul George,2022-23,Regular,Sat 10/22,@SAC,W111-109,39.0,16-31,51.6,3-10,30.0,5-5,100.0,6.0,6.0,1.0,2.0,2.0,4.0,40.0,3.0,10.0
