Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Payton Pritchard,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Payton Pritchard,2022-23,Postseason,Thu 5/25,vsMIA,W110-97,5.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Payton Pritchard,2022-23,Postseason,Tue 5/23,@MIA,W116-99,1.0,1-1,100.0,0-0,0.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Payton Pritchard,2022-23,Postseason,Sun 5/21,@MIA,L128-102,12.0,5-8,62.5,1-2,50.0,1-2,50.0,2.0,5.0,0.0,0.0,2.0,1.0,12.0,1.0,2.0
Payton Pritchard,2022-23,Postseason,Wed 5/17,vsMIA,L123-116,12.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Payton Pritchard,2022-23,Postseason,Sun 5/14,vsPHI,W112-88,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Payton Pritchard,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,9.0,3-5,60.0,2-2,100.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0
Payton Pritchard,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,12.0,3-3,100.0,1-1,100.0,1-1,100.0,2.0,3.0,0.0,1.0,1.0,2.0,8.0,1.0,1.0
Payton Pritchard,2022-23,Regular,Sun 4/9,vsATL,W120-114,46.0,10-21,47.6,9-16,56.3,1-1,100.0,14.0,11.0,0.0,0.0,1.0,7.0,30.0,9.0,16.0
Payton Pritchard,2022-23,Regular,Fri 4/7,vsTOR,W121-102,24.0,9-14,64.3,4-8,50.0,0-0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,22.0,4.0,8.0
Payton Pritchard,2022-23,Regular,Tue 3/28,@WSH,L130-111,9.0,2-5,40.0,1-3,33.3,0-0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Mon 3/6,@CLE,L118-114 OT,16.0,2-8,25.0,1-6,16.7,2-2,100.0,4.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0
Payton Pritchard,2022-23,Regular,Fri 3/3,vsBKN,L115-105,9.0,0-3,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Payton Pritchard,2022-23,Regular,Mon 2/27,@NY,L109-94,2.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Tue 2/14,@MIL,L131-125 OT,14.0,2-6,33.3,1-4,25.0,1-1,100.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,4.0
Payton Pritchard,2022-23,Regular,Sun 2/12,vsMEM,W119-109,18.0,4-7,57.1,4-7,57.1,0-0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,4.0,7.0
Payton Pritchard,2022-23,Regular,Fri 2/10,vsCHA,W127-116,21.0,3-8,37.5,1-3,33.3,0-0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,7.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Wed 2/8,vsPHI,W106-99,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Mon 2/6,@DET,W111-99,11.0,1-3,33.3,1-3,33.3,0-0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Fri 2/3,vsPHX,L106-94,12.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Payton Pritchard,2022-23,Regular,Wed 2/1,vsBKN,W139-96,16.0,2-5,40.0,1-4,25.0,0-0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0
Payton Pritchard,2022-23,Regular,Sat 1/28,vsLAL,W125-121 OT,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Payton Pritchard,2022-23,Regular,Thu 1/26,vsNY,L120-117 OT,13.0,3-6,50.0,1-3,33.3,0-0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Tue 1/24,@MIA,L98-95,42.0,4-14,28.6,2-9,22.2,0-0,0.0,7.0,4.0,0.0,1.0,3.0,2.0,10.0,2.0,9.0
Payton Pritchard,2022-23,Regular,Mon 1/23,@ORL,L113-98,31.0,2-6,33.3,1-4,25.0,0-0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,5.0,1.0,4.0
Payton Pritchard,2022-23,Regular,Sat 1/21,@TOR,W106-104,26.0,4-7,57.1,4-7,57.1,0-0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,12.0,4.0,7.0
Payton Pritchard,2022-23,Regular,Mon 1/16,@CHA,W130-118,13.0,1-4,25.0,1-3,33.3,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Sat 1/14,@CHA,W122-106,27.0,4-11,36.4,1-6,16.7,0-0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,9.0,1.0,6.0
Payton Pritchard,2022-23,Regular,Thu 1/12,@BKN,W109-98,15.0,4-7,57.1,1-3,33.3,0-0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,9.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Wed 1/11,vsNO,W125-114,18.0,1-6,16.7,1-6,16.7,0-0,0.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,6.0
Payton Pritchard,2022-23,Regular,Mon 1/9,vsCHI,W107-99,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Thu 1/5,@DAL,W124-95,3.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Tue 1/3,@OKC,L150-117,15.0,7-13,53.8,3-4,75.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,4.0
Payton Pritchard,2022-23,Regular,Sun 1/1,@DEN,L123-111,2.0,0-0,0.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Thu 12/29,vsLAC,W116-110,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Payton Pritchard,2022-23,Regular,Sun 12/25,vsMIL,W139-118,3.0,2-2,100.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Fri 12/23,vsMIN,W121-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Wed 12/21,vsIND,L117-112,17.0,1-4,25.0,1-3,33.3,0-0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Sun 12/18,vsORL,L95-92,4.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Payton Pritchard,2022-23,Regular,Mon 12/12,@LAC,L113-93,7.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Payton Pritchard,2022-23,Regular,Sat 12/10,@GS,L123-107,7.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Wed 12/7,@PHX,W125-98,10.0,2-5,40.0,1-3,33.3,2-2,100.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,3.0
Payton Pritchard,2022-23,Regular,Sun 12/4,@BKN,W103-92,16.0,3-8,37.5,0-3,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,3.0
Payton Pritchard,2022-23,Regular,Mon 11/28,vsCHA,W140-105,17.0,2-9,22.2,2-8,25.0,0-0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,2.0,8.0
Payton Pritchard,2022-23,Regular,Sun 11/27,vsWSH,W130-121,17.0,1-4,25.0,1-2,50.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Payton Pritchard,2022-23,Regular,Fri 11/25,vsSAC,W122-104,15.0,2-4,50.0,2-3,66.7,3-4,75.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0
Payton Pritchard,2022-23,Regular,Wed 11/23,vsDAL,W125-112,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payton Pritchard,2022-23,Regular,Fri 11/18,@NO,W117-109,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Payton Pritchard,2022-23,Regular,Wed 11/16,@ATL,W126-101,24.0,5-8,62.5,4-6,66.7,0-0,0.0,3.0,4.0,0.0,1.0,2.0,1.0,14.0,4.0,6.0
Payton Pritchard,2022-23,Regular,Mon 11/14,vsOKC,W126-122,14.0,4-8,50.0,2-4,50.0,0-0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,10.0,2.0,4.0
