Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Peyton Watson,2022-23,Postseason,Thu 5/11,@PHX,W125-100,2.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Peyton Watson,2022-23,Postseason,Tue 5/9,vsPHX,W118-102,4.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Peyton Watson,2022-23,Postseason,Sat 4/29,vsPHX,W125-107,3.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0
Peyton Watson,2022-23,Postseason,Sun 4/16,vsMIN,W109-80,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peyton Watson,2022-23,Regular,Sun 4/9,vsSAC,W109-95,26.0,4-10,40.0,0-2,0.0,5-7,71.4,4.0,0.0,1.0,1.0,1.0,2.0,13.0,0.0,2.0
Peyton Watson,2022-23,Regular,Sat 4/8,@UTAH,L118-114,17.0,1-1,100.0,0-0,0.0,4-7,57.1,3.0,4.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0
Peyton Watson,2022-23,Regular,Thu 4/6,@PHX,L119-115,26.0,1-6,16.7,0-1,0.0,1-2,50.0,5.0,2.0,0.0,0.0,4.0,2.0,3.0,0.0,1.0
Peyton Watson,2022-23,Regular,Tue 4/4,@HOU,L124-103,18.0,4-7,57.1,1-3,33.3,1-2,50.0,3.0,2.0,1.0,1.0,1.0,0.0,10.0,1.0,3.0
Peyton Watson,2022-23,Regular,Sun 4/2,vsGS,W112-110,20.0,4-6,66.7,0-0,0.0,0-0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,8.0,0.0,0.0
Peyton Watson,2022-23,Regular,Fri 3/31,@PHX,L100-93,27.0,2-6,33.3,1-2,50.0,0-0,0.0,8.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,2.0
Peyton Watson,2022-23,Regular,Thu 3/30,vsNO,L107-88,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Peyton Watson,2022-23,Regular,Sat 3/25,vsMIL,W129-106,3.0,3-4,75.0,2-2,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0
Peyton Watson,2022-23,Regular,Wed 3/22,@WSH,W118-104,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Peyton Watson,2022-23,Regular,Tue 2/28,@HOU,W133-112,2.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Peyton Watson,2022-23,Regular,Sat 2/25,@MEM,L112-94,4.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Peyton Watson,2022-23,Regular,Wed 2/15,vsDAL,W118-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peyton Watson,2022-23,Regular,Sat 2/11,@CHA,W119-105,1.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Peyton Watson,2022-23,Regular,Tue 2/7,vsMIN,W146-112,8.0,3-4,75.0,1-1,100.0,0-2,0.0,2.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0
Peyton Watson,2022-23,Regular,Sun 2/5,@MIN,L128-98,9.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Peyton Watson,2022-23,Regular,Sat 2/4,vsATL,W128-108,2.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Peyton Watson,2022-23,Regular,Thu 2/2,vsGS,W134-117,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
