Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Precious Achiuwa,2022-23,Regular,Sun 4/9,vsMIL,W121-105,28.0,6-11,54.5,2-5,40.0,0-0,0.0,13.0,1.0,0.0,2.0,2.0,2.0,14.0,2.0,5.0
Precious Achiuwa,2022-23,Regular,Fri 4/7,@BOS,L121-102,24.0,6-10,60.0,1-3,33.3,3-3,100.0,7.0,0.0,0.0,1.0,3.0,0.0,16.0,1.0,3.0
Precious Achiuwa,2022-23,Regular,Wed 4/5,@BOS,L97-93,20.0,7-11,63.6,1-2,50.0,1-1,100.0,9.0,0.0,1.0,0.0,2.0,1.0,16.0,1.0,2.0
Precious Achiuwa,2022-23,Regular,Tue 4/4,@CHA,W120-100,15.0,4-8,50.0,2-4,50.0,2-2,100.0,4.0,1.0,0.0,1.0,1.0,0.0,12.0,2.0,4.0
Precious Achiuwa,2022-23,Regular,Sun 4/2,@CHA,W128-108,13.0,4-7,57.1,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Fri 3/31,@PHI,L117-110,7.0,2-5,40.0,0-2,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Tue 3/28,vsMIA,W106-92,25.0,5-10,50.0,2-5,40.0,0-0,0.0,9.0,2.0,1.0,1.0,1.0,2.0,12.0,2.0,5.0
Precious Achiuwa,2022-23,Regular,Sun 3/26,vsWSH,W114-104,6.0,1-2,50.0,0-1,0.0,0-2,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Sun 3/19,@MIL,L118-111,20.0,2-3,66.7,0-1,0.0,1-2,50.0,5.0,3.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Sat 3/18,vsMIN,W122-107,3.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Tue 3/14,vsDEN,W125-110,14.0,0-3,0.0,0-1,0.0,4-4,100.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Fri 3/10,@LAL,L122-112,8.0,2-5,40.0,0-1,0.0,1-2,50.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Wed 3/8,@LAC,L108-100,12.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Mon 3/6,@DEN,L118-113,19.0,3-4,75.0,1-1,100.0,2-2,100.0,6.0,3.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0
Precious Achiuwa,2022-23,Regular,Sat 3/4,@WSH,W116-109 OT,19.0,2-6,33.3,0-1,0.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Thu 3/2,@WSH,L119-108,13.0,1-2,50.0,0-0,0.0,0-0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Precious Achiuwa,2022-23,Regular,Tue 2/28,vsCHI,W104-98,12.0,2-6,33.3,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Sun 2/26,@CLE,L118-93,16.0,3-6,50.0,1-1,100.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,1.0
Precious Achiuwa,2022-23,Regular,Sat 2/25,@DET,W95-91,22.0,3-8,37.5,0-0,0.0,4-7,57.1,6.0,3.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0
Precious Achiuwa,2022-23,Regular,Thu 2/23,vsNO,W115-110,20.0,2-6,33.3,0-1,0.0,2-2,100.0,6.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Tue 2/14,vsORL,W123-113,34.0,4-7,57.1,1-2,50.0,2-2,100.0,13.0,0.0,1.0,0.0,2.0,3.0,11.0,1.0,2.0
Precious Achiuwa,2022-23,Regular,Sun 2/12,vsDET,W119-118,33.0,4-10,40.0,0-2,0.0,3-6,50.0,11.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Fri 2/10,vsUTAH,L122-116,31.0,7-11,63.6,2-4,50.0,0-0,0.0,4.0,4.0,0.0,0.0,4.0,1.0,16.0,2.0,4.0
Precious Achiuwa,2022-23,Regular,Wed 2/8,vsSA,W112-98,28.0,4-6,66.7,1-2,50.0,1-2,50.0,7.0,0.0,2.0,1.0,4.0,1.0,10.0,1.0,2.0
Precious Achiuwa,2022-23,Regular,Sun 2/5,@MEM,W106-103,31.0,5-12,41.7,0-3,0.0,0-0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,10.0,0.0,3.0
Precious Achiuwa,2022-23,Regular,Fri 2/3,@HOU,W117-111,29.0,2-7,28.6,0-2,0.0,5-9,55.6,8.0,2.0,1.0,1.0,6.0,2.0,9.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Wed 2/1,@UTAH,L131-128,25.0,6-8,75.0,0-0,0.0,1-4,25.0,6.0,1.0,1.0,1.0,4.0,0.0,13.0,0.0,0.0
Precious Achiuwa,2022-23,Regular,Mon 1/30,@PHX,L114-106,34.0,5-9,55.6,0-1,0.0,1-2,50.0,12.0,1.0,1.0,1.0,3.0,1.0,11.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Sat 1/28,@POR,W123-105,33.0,11-16,68.8,1-2,50.0,4-4,100.0,13.0,0.0,1.0,2.0,3.0,2.0,27.0,1.0,2.0
Precious Achiuwa,2022-23,Regular,Fri 1/27,@GS,L129-117,36.0,8-12,66.7,0-2,0.0,1-3,33.3,11.0,2.0,0.0,1.0,2.0,2.0,17.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Wed 1/25,@SAC,W113-95,28.0,9-12,75.0,1-3,33.3,0-0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,19.0,1.0,3.0
Precious Achiuwa,2022-23,Regular,Sun 1/22,vsNY,W125-116,36.0,2-4,50.0,0-0,0.0,8-10,80.0,11.0,1.0,0.0,2.0,5.0,2.0,12.0,0.0,0.0
Precious Achiuwa,2022-23,Regular,Sat 1/21,vsBOS,L106-104,37.0,7-15,46.7,1-3,33.3,2-2,100.0,11.0,3.0,2.0,2.0,2.0,2.0,17.0,1.0,3.0
Precious Achiuwa,2022-23,Regular,Thu 1/19,@MIN,L128-126,21.0,5-8,62.5,1-1,100.0,0-4,0.0,4.0,1.0,2.0,0.0,2.0,0.0,11.0,1.0,1.0
Precious Achiuwa,2022-23,Regular,Tue 1/17,@MIL,L130-122,26.0,4-10,40.0,2-3,66.7,1-2,50.0,7.0,0.0,1.0,0.0,2.0,1.0,11.0,2.0,3.0
Precious Achiuwa,2022-23,Regular,Mon 1/16,@NY,W123-121 OT,20.0,2-6,33.3,0-2,0.0,4-4,100.0,8.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Sat 1/14,vsATL,L114-103,28.0,5-9,55.6,0-1,0.0,4-5,80.0,4.0,1.0,0.0,1.0,4.0,2.0,14.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Thu 1/12,vsCHA,W124-114,18.0,4-7,57.1,1-3,33.3,1-3,33.3,2.0,0.0,0.0,5.0,1.0,2.0,10.0,1.0,3.0
Precious Achiuwa,2022-23,Regular,Tue 1/10,vsCHA,W132-120,14.0,5-9,55.6,3-5,60.0,0-0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,13.0,3.0,5.0
Precious Achiuwa,2022-23,Regular,Sun 1/8,vsPOR,W117-105,11.0,2-6,33.3,0-2,0.0,0-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Fri 1/6,vsNY,L112-108,5.0,1-3,33.3,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Wed 1/4,vsMIL,L104-101 OT,12.0,1-5,20.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Mon 1/2,@IND,L122-114,12.0,1-3,33.3,0-1,0.0,1-2,50.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Wed 11/9,vsHOU,W116-109,12.0,2-8,25.0,0-2,0.0,0-0,0.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Mon 11/7,@CHI,L111-97,14.0,4-6,66.7,0-0,0.0,2-2,100.0,4.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0
Precious Achiuwa,2022-23,Regular,Sun 11/6,vsCHI,W113-104,14.0,2-6,33.3,0-2,0.0,1-2,50.0,4.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,2.0
Precious Achiuwa,2022-23,Regular,Fri 11/4,@DAL,L111-110,27.0,4-9,44.4,1-3,33.3,6-6,100.0,8.0,2.0,1.0,0.0,1.0,2.0,15.0,1.0,3.0
Precious Achiuwa,2022-23,Regular,Wed 11/2,@SA,W143-100,21.0,4-9,44.4,0-3,0.0,4-4,100.0,6.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,3.0
Precious Achiuwa,2022-23,Regular,Mon 10/31,vsATL,W139-109,18.0,2-3,66.7,0-1,0.0,6-6,100.0,3.0,1.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Fri 10/28,vsPHI,L112-90,15.0,0-6,0.0,0-3,0.0,0-0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0
Precious Achiuwa,2022-23,Regular,Wed 10/26,vsPHI,W119-109,21.0,3-7,42.9,1-3,33.3,0-0,0.0,6.0,4.0,0.0,0.0,3.0,2.0,7.0,1.0,3.0
Precious Achiuwa,2022-23,Regular,Mon 10/24,@MIA,W98-90,34.0,5-12,41.7,0-1,0.0,0-1,0.0,22.0,2.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Sat 10/22,@MIA,L112-109,34.0,5-9,55.6,2-5,40.0,6-7,85.7,11.0,1.0,0.0,0.0,1.0,1.0,18.0,2.0,5.0
Precious Achiuwa,2022-23,Regular,Fri 10/21,@BKN,L109-105,17.0,1-6,16.7,0-1,0.0,2-3,66.7,6.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0
Precious Achiuwa,2022-23,Regular,Wed 10/19,vsCLE,W108-105,18.0,4-11,36.4,1-4,25.0,1-2,50.0,5.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,4.0
Precious Achiuwa,2022-23,Postseason,Wed 4/12,vsCHI,L109-105,9.0,2-4,50.0,0-0,0.0,2-2,100.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Precious Achiuwa,2022-23,Preseason,Fri 10/14,vsBOS,W137-134 OT,37.0,4-16,25.0,0-7,0.0,10-13,76.9,9.0,4.0,0.0,0.0,2.0,0.0,18.0,0.0,7.0
Precious Achiuwa,2022-23,Preseason,Sun 10/9,vsCHI,L115-98,20.0,2-10,20.0,1-4,25.0,1-4,25.0,5.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,4.0
Precious Achiuwa,2022-23,Preseason,Fri 10/7,@HOU,L116-100,20.0,4-8,50.0,0-2,0.0,2-2,100.0,6.0,2.0,0.0,0.0,3.0,1.0,10.0,0.0,2.0
Precious Achiuwa,2022-23,Preseason,Wed 10/5,@BOS,W125-119 OT,19.0,4-12,33.3,1-5,20.0,4-4,100.0,7.0,0.0,0.0,0.0,2.0,1.0,13.0,1.0,5.0
Precious Achiuwa,2022-23,Preseason,Sun 10/2,vsUTAH,W114-82,15.0,4-8,50.0,1-2,50.0,1-2,50.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,2.0
