Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
RJ Barrett,2022-23,Postseason,Fri 5/12,@MIA,L96-92,32.0,1-10,10.0,0-3,0.0,9-10,90.0,2.0,1.0,0.0,0.0,5.0,3.0,11.0,0.0,3.0
RJ Barrett,2022-23,Postseason,Wed 5/10,vsMIA,W112-103,38.0,8-17,47.1,3-8,37.5,7-8,87.5,7.0,2.0,1.0,0.0,2.0,4.0,26.0,3.0,8.0
RJ Barrett,2022-23,Postseason,Mon 5/8,@MIA,L109-101,35.0,9-16,56.3,3-5,60.0,3-3,100.0,4.0,3.0,0.0,1.0,0.0,3.0,24.0,3.0,5.0
RJ Barrett,2022-23,Postseason,Sat 5/6,@MIA,L105-86,25.0,5-16,31.3,2-7,28.6,2-3,66.7,3.0,1.0,0.0,0.0,3.0,1.0,14.0,2.0,7.0
RJ Barrett,2022-23,Postseason,Tue 5/2,vsMIA,W111-105,38.0,8-17,47.1,5-9,55.6,3-5,60.0,3.0,3.0,0.0,0.0,1.0,3.0,24.0,5.0,9.0
RJ Barrett,2022-23,Postseason,Sun 4/30,vsMIA,L108-101,40.0,10-20,50.0,1-5,20.0,5-8,62.5,9.0,7.0,0.0,1.0,3.0,4.0,26.0,1.0,5.0
RJ Barrett,2022-23,Postseason,Wed 4/26,@CLE,W106-95,36.0,7-13,53.8,2-4,50.0,5-6,83.3,4.0,4.0,0.0,1.0,3.0,4.0,21.0,2.0,4.0
RJ Barrett,2022-23,Postseason,Sun 4/23,vsCLE,W102-93,38.0,9-18,50.0,0-6,0.0,8-13,61.5,2.0,1.0,1.0,0.0,2.0,0.0,26.0,0.0,6.0
RJ Barrett,2022-23,Postseason,Fri 4/21,vsCLE,W99-79,31.0,8-12,66.7,3-6,50.0,0-0,0.0,8.0,3.0,0.0,1.0,4.0,2.0,19.0,3.0,6.0
RJ Barrett,2022-23,Postseason,Tue 4/18,@CLE,L107-90,33.0,4-13,30.8,0-3,0.0,6-7,85.7,3.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,3.0
RJ Barrett,2022-23,Postseason,Sat 4/15,@CLE,W101-97,31.0,2-12,16.7,1-5,20.0,2-2,100.0,4.0,6.0,0.0,4.0,1.0,1.0,7.0,1.0,5.0
RJ Barrett,2022-23,Regular,Sun 4/9,vsIND,L141-136,37.0,7-16,43.8,1-3,33.3,3-5,60.0,2.0,3.0,0.0,1.0,6.0,3.0,18.0,1.0,3.0
RJ Barrett,2022-23,Regular,Fri 4/7,@NO,L113-105,36.0,11-25,44.0,0-9,0.0,6-9,66.7,7.0,6.0,1.0,0.0,1.0,0.0,28.0,0.0,9.0
RJ Barrett,2022-23,Regular,Fri 3/31,@CLE,W130-116,30.0,6-17,35.3,2-7,28.6,0-0,0.0,7.0,1.0,0.0,0.0,3.0,2.0,14.0,2.0,7.0
RJ Barrett,2022-23,Regular,Wed 3/29,vsMIA,W101-92,34.0,4-13,30.8,2-6,33.3,2-4,50.0,5.0,0.0,1.0,0.0,1.0,2.0,12.0,2.0,6.0
RJ Barrett,2022-23,Regular,Mon 3/27,vsHOU,W137-115,29.0,6-12,50.0,1-3,33.3,6-9,66.7,3.0,5.0,0.0,1.0,0.0,3.0,19.0,1.0,3.0
RJ Barrett,2022-23,Regular,Thu 3/23,@ORL,L111-106,30.0,3-12,25.0,0-3,0.0,4-6,66.7,2.0,3.0,0.0,0.0,1.0,5.0,10.0,0.0,3.0
RJ Barrett,2022-23,Regular,Wed 3/22,@MIA,L127-120,36.0,8-13,61.5,3-6,50.0,7-7,100.0,6.0,5.0,0.0,0.0,3.0,3.0,26.0,3.0,6.0
RJ Barrett,2022-23,Regular,Mon 3/20,vsMIN,L140-134,27.0,4-8,50.0,2-3,66.7,3-5,60.0,2.0,3.0,0.0,0.0,4.0,4.0,13.0,2.0,3.0
RJ Barrett,2022-23,Regular,Sat 3/18,vsDEN,W116-110,34.0,8-13,61.5,0-3,0.0,5-6,83.3,4.0,2.0,0.0,0.0,2.0,0.0,21.0,0.0,3.0
RJ Barrett,2022-23,Regular,Tue 3/14,@POR,W123-107,28.0,8-13,61.5,1-3,33.3,5-7,71.4,5.0,0.0,3.0,0.0,0.0,2.0,22.0,1.0,3.0
RJ Barrett,2022-23,Regular,Sun 3/12,@LAL,W112-108,39.0,12-27,44.4,1-8,12.5,5-6,83.3,5.0,2.0,0.0,0.0,2.0,1.0,30.0,1.0,8.0
RJ Barrett,2022-23,Regular,Sat 3/11,@LAC,L106-95,30.0,5-12,41.7,1-3,33.3,0-0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,11.0,1.0,3.0
RJ Barrett,2022-23,Regular,Thu 3/9,@SAC,L122-117,33.0,9-23,39.1,1-8,12.5,6-10,60.0,7.0,2.0,0.0,0.0,1.0,1.0,25.0,1.0,8.0
RJ Barrett,2022-23,Regular,Tue 3/7,vsCHA,L112-105,35.0,10-24,41.7,1-7,14.3,6-8,75.0,6.0,4.0,0.0,0.0,2.0,1.0,27.0,1.0,7.0
RJ Barrett,2022-23,Regular,Sun 3/5,@BOS,W131-129 2OT,50.0,10-22,45.5,3-9,33.3,6-9,66.7,11.0,3.0,1.0,1.0,3.0,2.0,29.0,3.0,9.0
RJ Barrett,2022-23,Regular,Fri 3/3,@MIA,W122-120,29.0,8-15,53.3,0-4,0.0,1-1,100.0,2.0,2.0,0.0,1.0,2.0,1.0,17.0,0.0,4.0
RJ Barrett,2022-23,Regular,Wed 3/1,vsBKN,W142-118,28.0,5-11,45.5,2-2,100.0,3-5,60.0,2.0,1.0,0.0,0.0,3.0,2.0,15.0,2.0,2.0
