Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
RJ Hampton,2022-23,Regular,Sun 4/9,@CHI,L103-81,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Hampton,2022-23,Regular,Fri 4/7,@IND,W122-115,32.0,5-11,45.5,0-3,0.0,0-0,0.0,6.0,2.0,1.0,1.0,2.0,1.0,10.0,0.0,3.0
RJ Hampton,2022-23,Regular,Wed 4/5,vsBKN,L123-108,34.0,9-15,60.0,5-8,62.5,4-4,100.0,5.0,2.0,1.0,0.0,4.0,1.0,27.0,5.0,8.0
RJ Hampton,2022-23,Regular,Tue 4/4,vsMIA,L118-105,15.0,1-5,20.0,0-3,0.0,0-0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0
RJ Hampton,2022-23,Regular,Sun 4/2,@ORL,L128-102,21.0,2-4,50.0,0-2,0.0,0-2,0.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0
RJ Hampton,2022-23,Regular,Fri 3/31,@HOU,L121-115,8.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
RJ Hampton,2022-23,Regular,Wed 3/29,@OKC,L107-106,24.0,3-9,33.3,3-6,50.0,3-4,75.0,3.0,2.0,0.0,0.0,3.0,2.0,12.0,3.0,6.0
RJ Hampton,2022-23,Regular,Mon 3/27,vsMIL,L126-117,15.0,1-7,14.3,0-5,0.0,1-2,50.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0
RJ Hampton,2022-23,Regular,Fri 3/24,@TOR,L118-97,21.0,4-8,50.0,2-6,33.3,3-5,60.0,0.0,0.0,1.0,0.0,3.0,1.0,13.0,2.0,6.0
RJ Hampton,2022-23,Regular,Tue 3/21,@ATL,L129-107,21.0,3-6,50.0,2-3,66.7,1-3,33.3,0.0,1.0,0.0,1.0,2.0,2.0,9.0,2.0,3.0
