Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Reggie Bullock Jr,2022-23,Regular,Fri 4/7,vsCHI,L115-112,34.0,2-5,40.0,2-5,40.0,0-0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0
Reggie Bullock Jr,2022-23,Regular,Wed 4/5,vsSAC,W123-119,17.0,1-3,33.3,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Reggie Bullock Jr,2022-23,Regular,Sun 4/2,@ATL,L132-130 OT,20.0,3-6,50.0,2-5,40.0,0-0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,8.0,2.0,5.0
Reggie Bullock Jr,2022-23,Regular,Sat 4/1,@MIA,L129-122,23.0,1-5,20.0,0-4,0.0,0-0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
Reggie Bullock Jr,2022-23,Regular,Wed 3/29,@PHI,L116-108,33.0,3-10,30.0,1-8,12.5,0-0,0.0,6.0,1.0,0.0,0.0,4.0,3.0,7.0,1.0,8.0
Reggie Bullock Jr,2022-23,Regular,Mon 3/27,@IND,W127-104,22.0,4-7,57.1,3-6,50.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,3.0,6.0
Reggie Bullock Jr,2022-23,Regular,Sun 3/26,@CHA,L110-104,34.0,1-5,20.0,1-5,20.0,0-0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0
Reggie Bullock Jr,2022-23,Regular,Fri 3/24,vsCHA,L117-109,34.0,2-4,50.0,2-4,50.0,0-0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0
Reggie Bullock Jr,2022-23,Regular,Wed 3/22,vsGS,L127-125,39.0,5-8,62.5,5-7,71.4,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,15.0,5.0,7.0
Reggie Bullock Jr,2022-23,Regular,Mon 3/20,@MEM,L112-108,31.0,3-6,50.0,1-4,25.0,0-0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,1.0,4.0
