Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ricky Rubio,2022-23,Postseason,Sun 4/23,@NY,L102-93,6.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Ricky Rubio,2022-23,Postseason,Fri 4/21,@NY,L99-79,5.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Ricky Rubio,2022-23,Postseason,Sat 4/15,vsNY,L101-97,6.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
Ricky Rubio,2022-23,Regular,Sun 4/9,vsCHA,L106-95,26.0,2-11,18.2,0-4,0.0,2-2,100.0,5.0,7.0,0.0,0.0,1.0,3.0,6.0,0.0,4.0
Ricky Rubio,2022-23,Regular,Thu 4/6,@ORL,W118-94,20.0,2-7,28.6,1-2,50.0,0-0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0
Ricky Rubio,2022-23,Regular,Tue 4/4,@ORL,W117-113,11.0,1-6,16.7,1-3,33.3,0-0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0
Ricky Rubio,2022-23,Regular,Sun 4/2,vsIND,W115-105,14.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
Ricky Rubio,2022-23,Regular,Fri 3/31,vsNY,L130-116,9.0,1-3,33.3,0-2,0.0,0-0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Tue 3/28,@ATL,L120-118,19.0,4-7,57.1,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,9.0,1.0,2.0
Ricky Rubio,2022-23,Regular,Sun 3/26,vsHOU,W108-91,16.0,0-4,0.0,0-2,0.0,2-2,100.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Thu 3/23,@BKN,W116-114,20.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Ricky Rubio,2022-23,Regular,Tue 3/21,@BKN,W115-109,19.0,3-6,50.0,0-2,0.0,2-2,100.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Fri 3/17,vsWSH,W117-94,21.0,3-4,75.0,0-0,0.0,2-3,66.7,3.0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0
Ricky Rubio,2022-23,Regular,Tue 3/14,@CHA,W120-104,21.0,5-11,45.5,0-2,0.0,1-1,100.0,5.0,4.0,1.0,0.0,3.0,3.0,11.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Sun 3/12,@CHA,W114-108,20.0,4-7,57.1,0-1,0.0,3-3,100.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0
Ricky Rubio,2022-23,Regular,Fri 3/10,@MIA,L119-115,25.0,3-8,37.5,2-7,28.6,0-0,0.0,3.0,8.0,0.0,0.0,3.0,3.0,8.0,2.0,7.0
Ricky Rubio,2022-23,Regular,Wed 3/8,@MIA,W104-100,23.0,2-7,28.6,1-2,50.0,0-0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,5.0,1.0,2.0
Ricky Rubio,2022-23,Regular,Mon 3/6,vsBOS,W118-114 OT,7.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
Ricky Rubio,2022-23,Regular,Sat 3/4,vsDET,W114-90,20.0,2-5,40.0,1-2,50.0,0-0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,5.0,1.0,2.0
Ricky Rubio,2022-23,Regular,Wed 3/1,@BOS,L117-113,7.0,1-1,100.0,1-1,100.0,1-2,50.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
Ricky Rubio,2022-23,Regular,Sun 2/26,vsTOR,W118-93,20.0,0-5,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Fri 2/24,@ATL,L136-119,12.0,1-4,25.0,0-1,0.0,0-0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0
Ricky Rubio,2022-23,Regular,Mon 2/13,vsSA,W117-109,23.0,1-3,33.3,0-1,0.0,7-8,87.5,3.0,2.0,0.0,2.0,1.0,0.0,9.0,0.0,1.0
Ricky Rubio,2022-23,Regular,Sat 2/11,vsCHI,W97-89,17.0,0-6,0.0,0-5,0.0,0-0,0.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0
Ricky Rubio,2022-23,Regular,Wed 2/8,vsDET,W113-85,16.0,3-6,50.0,0-3,0.0,2-2,100.0,2.0,4.0,0.0,2.0,1.0,1.0,8.0,0.0,3.0
Ricky Rubio,2022-23,Regular,Sun 2/5,@IND,W122-103,20.0,3-7,42.9,1-3,33.3,0-0,0.0,3.0,9.0,0.0,0.0,3.0,1.0,7.0,1.0,3.0
Ricky Rubio,2022-23,Regular,Thu 2/2,vsMEM,W128-113,21.0,4-9,44.4,3-6,50.0,2-2,100.0,2.0,4.0,1.0,2.0,1.0,2.0,13.0,3.0,6.0
Ricky Rubio,2022-23,Regular,Tue 1/31,vsMIA,L100-97,17.0,3-6,50.0,2-4,50.0,0-2,0.0,5.0,5.0,0.0,1.0,1.0,1.0,8.0,2.0,4.0
Ricky Rubio,2022-23,Regular,Sun 1/29,vsLAC,W122-99,19.0,1-5,20.0,1-3,33.3,0-0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0
Ricky Rubio,2022-23,Regular,Thu 1/26,@HOU,W113-95,17.0,2-7,28.6,1-2,50.0,0-0,0.0,3.0,7.0,0.0,1.0,2.0,1.0,5.0,1.0,2.0
Ricky Rubio,2022-23,Regular,Tue 1/24,@NY,L105-103,13.0,1-4,25.0,1-3,33.3,0-0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,3.0
Ricky Rubio,2022-23,Regular,Sat 1/21,vsMIL,W114-102,19.0,1-6,16.7,0-2,0.0,1-2,50.0,3.0,5.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Wed 1/18,@MEM,L115-114,12.0,2-7,28.6,1-5,20.0,2-2,100.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0
Ricky Rubio,2022-23,Regular,Mon 1/16,vsNO,W113-103,17.0,1-4,25.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0
Ricky Rubio,2022-23,Regular,Sat 1/14,@MIN,L110-102,13.0,1-4,25.0,1-3,33.3,0-0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
Ricky Rubio,2022-23,Regular,Thu 1/12,@POR,W119-113,10.0,3-5,60.0,2-4,50.0,1-2,50.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0
