Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Robert Covington,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,8.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Robert Covington,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Robert Covington,2022-23,Regular,Sun 4/9,@PHX,W119-114,5.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Covington,2022-23,Regular,Sat 4/8,vsPOR,W136-125,21.0,3-4,75.0,2-2,100.0,0-0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0
Robert Covington,2022-23,Regular,Sat 4/1,@NO,L122-114,16.0,1-4,25.0,1-3,33.3,1-2,50.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,3.0
Robert Covington,2022-23,Regular,Fri 3/31,@MEM,L108-94,20.0,1-3,33.3,0-1,0.0,0-0,0.0,6.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0
Robert Covington,2022-23,Regular,Wed 3/29,@MEM,W141-132,32.0,9-10,90.0,7-7,100.0,2-2,100.0,4.0,2.0,0.0,3.0,4.0,2.0,27.0,7.0,7.0
Robert Covington,2022-23,Regular,Mon 3/27,vsCHI,W124-112,11.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Robert Covington,2022-23,Regular,Sat 3/25,vsNO,L131-110,16.0,4-5,80.0,3-3,100.0,0-0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,11.0,3.0,3.0
Robert Covington,2022-23,Regular,Thu 3/23,vsOKC,W127-105,5.0,3-3,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0
Robert Covington,2022-23,Regular,Tue 3/21,vsOKC,L101-100,7.0,1-8,12.5,0-2,0.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
Robert Covington,2022-23,Regular,Sat 3/18,vsORL,L113-108,23.0,4-7,57.1,1-2,50.0,2-2,100.0,1.0,1.0,0.0,3.0,2.0,0.0,11.0,1.0,2.0
Robert Covington,2022-23,Regular,Fri 3/3,@SAC,L128-127,31.0,6-11,54.5,3-8,37.5,0-0,0.0,4.0,1.0,0.0,2.0,4.0,0.0,15.0,3.0,8.0
Robert Covington,2022-23,Regular,Thu 3/2,@GS,L115-91,7.0,1-2,50.0,1-1,100.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0
Robert Covington,2022-23,Regular,Fri 2/10,vsMIL,L119-106,26.0,2-5,40.0,2-5,40.0,0-0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,6.0,2.0,5.0
Robert Covington,2022-23,Regular,Wed 2/8,vsDAL,L110-104,12.0,1-5,20.0,1-4,25.0,0-0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,4.0
Robert Covington,2022-23,Regular,Thu 2/2,@MIL,L106-105,6.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Robert Covington,2022-23,Regular,Tue 1/31,@CHI,W108-103,8.0,2-4,50.0,1-3,33.3,0-0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,3.0
Robert Covington,2022-23,Regular,Thu 1/26,vsSA,W138-100,21.0,5-7,71.4,3-5,60.0,0-0,0.0,7.0,1.0,3.0,2.0,3.0,1.0,13.0,3.0,5.0
Robert Covington,2022-23,Regular,Tue 1/24,@LAL,W133-115,19.0,3-3,100.0,2-2,100.0,0-0,0.0,4.0,1.0,4.0,0.0,3.0,0.0,8.0,2.0,2.0
Robert Covington,2022-23,Regular,Sun 1/22,@DAL,W112-98,21.0,1-4,25.0,1-3,33.3,0-0,0.0,5.0,6.0,1.0,2.0,3.0,0.0,3.0,1.0,3.0
Robert Covington,2022-23,Regular,Fri 1/20,@SA,W131-126,7.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Covington,2022-23,Regular,Wed 1/18,@UTAH,L126-103,19.0,1-5,20.0,0-3,0.0,2-2,100.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0
Robert Covington,2022-23,Regular,Tue 1/17,vsPHI,L120-110,7.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0
Robert Covington,2022-23,Regular,Sun 1/15,vsHOU,W121-100,23.0,3-6,50.0,2-3,66.7,0-0,0.0,5.0,1.0,0.0,3.0,2.0,1.0,8.0,2.0,3.0
Robert Covington,2022-23,Regular,Fri 1/13,vsDEN,L115-103,16.0,3-5,60.0,2-3,66.7,0-2,0.0,5.0,1.0,1.0,0.0,3.0,1.0,8.0,2.0,3.0
Robert Covington,2022-23,Regular,Tue 1/10,vsDAL,W113-101,31.0,4-8,50.0,1-2,50.0,0-3,0.0,8.0,3.0,1.0,0.0,2.0,1.0,9.0,1.0,2.0
Robert Covington,2022-23,Regular,Fri 1/6,@MIN,L128-115,25.0,3-7,42.9,1-4,25.0,5-6,83.3,6.0,1.0,0.0,3.0,1.0,0.0,12.0,1.0,4.0
Robert Covington,2022-23,Regular,Thu 1/5,@DEN,L122-91,23.0,3-9,33.3,0-4,0.0,2-2,100.0,5.0,2.0,1.0,2.0,1.0,1.0,8.0,0.0,4.0
