Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Robert Williams III,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,14.0,4-5,80.0,0-0,0.0,0-0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Sat 5/27,@MIA,W104-103,17.0,4-5,80.0,0-0,0.0,2-3,66.7,7.0,0.0,1.0,0.0,3.0,0.0,10.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Thu 5/25,vsMIA,W110-97,18.0,3-3,100.0,0-0,0.0,0-0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Tue 5/23,@MIA,W116-99,22.0,3-5,60.0,0-1,0.0,1-2,50.0,1.0,0.0,2.0,0.0,4.0,1.0,7.0,0.0,1.0
Robert Williams III,2022-23,Postseason,Sun 5/21,@MIA,L128-102,13.0,4-8,50.0,0-0,0.0,0-1,0.0,8.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Fri 5/19,vsMIA,L111-105,23.0,5-5,100.0,0-0,0.0,3-4,75.0,3.0,1.0,2.0,1.0,2.0,2.0,13.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Wed 5/17,vsMIA,L123-116,26.0,6-6,100.0,0-0,0.0,2-3,66.7,7.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Sun 5/14,vsPHI,W112-88,30.0,3-6,50.0,0-0,0.0,0-0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Thu 5/11,@PHI,W95-86,28.0,4-7,57.1,0-0,0.0,2-2,100.0,9.0,1.0,2.0,0.0,2.0,1.0,10.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,19.0,2-3,66.7,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Sun 5/7,@PHI,L116-115 OT,14.0,1-1,100.0,0-0,0.0,2-4,50.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Fri 5/5,@PHI,W114-102,16.0,1-1,100.0,0-0,0.0,2-2,100.0,5.0,0.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,22.0,1-1,100.0,0-0,0.0,0-0,0.0,7.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Mon 5/1,vsPHI,L119-115,20.0,3-3,100.0,0-0,0.0,0-0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Thu 4/27,@ATL,W128-120,17.0,2-2,100.0,0-0,0.0,0-0,0.0,6.0,0.0,3.0,2.0,2.0,1.0,4.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Tue 4/25,vsATL,L119-117,27.0,5-6,83.3,0-0,0.0,0-1,0.0,7.0,2.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0
Robert Williams III,2022-23,Postseason,Sun 4/23,@ATL,W129-121,29.0,4-5,80.0,0-0,0.0,5-6,83.3,15.0,3.0,2.0,2.0,5.0,2.0,13.0,0.0,0.0
