Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Robin Lopez,2022-23,Postseason,Fri 4/21,@NY,L99-79,4.0,1-1,100.0,0-0,0.0,2-2,100.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0
Robin Lopez,2022-23,Postseason,Tue 4/18,vsNY,W107-90,2.0,2-2,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Robin Lopez,2022-23,Regular,Sun 4/9,vsCHA,L106-95,19.0,4-10,40.0,0-1,0.0,2-2,100.0,3.0,2.0,1.0,0.0,3.0,2.0,10.0,0.0,1.0
Robin Lopez,2022-23,Regular,Thu 4/6,@ORL,W118-94,19.0,4-4,100.0,0-0,0.0,0-0,0.0,2.0,3.0,1.0,1.0,4.0,1.0,8.0,0.0,0.0
Robin Lopez,2022-23,Regular,Fri 3/31,vsNY,L130-116,7.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Robin Lopez,2022-23,Regular,Sun 3/12,@CHA,W114-108,9.0,1-2,50.0,0-0,0.0,0-0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
Robin Lopez,2022-23,Regular,Sun 2/26,vsTOR,W118-93,5.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Robin Lopez,2022-23,Regular,Fri 2/24,@ATL,L136-119,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Robin Lopez,2022-23,Regular,Fri 2/10,@NO,W118-107,3.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Lopez,2022-23,Regular,Wed 2/8,vsDET,W113-85,3.0,2-2,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
Robin Lopez,2022-23,Regular,Mon 2/6,@WSH,W114-91,4.0,0-0,0.0,0-0,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Robin Lopez,2022-23,Regular,Sun 2/5,@IND,W122-103,2.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
