Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Royce O'Neale,2022-23,Postseason,Sat 4/22,vsPHI,L96-88,25.0,1-6,16.7,1-5,20.0,0-0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0
Royce O'Neale,2022-23,Postseason,Thu 4/20,vsPHI,L102-97,30.0,2-7,28.6,1-5,20.0,2-2,100.0,6.0,1.0,1.0,1.0,2.0,2.0,7.0,1.0,5.0
Royce O'Neale,2022-23,Postseason,Mon 4/17,@PHI,L96-84,36.0,2-11,18.2,2-9,22.2,0-0,0.0,6.0,3.0,0.0,2.0,5.0,0.0,6.0,2.0,9.0
Royce O'Neale,2022-23,Postseason,Sat 4/15,@PHI,L121-101,28.0,2-5,40.0,0-3,0.0,0-0,0.0,3.0,6.0,0.0,1.0,3.0,2.0,4.0,0.0,3.0
Royce O'Neale,2022-23,Regular,Fri 4/7,vsORL,W101-84,27.0,2-9,22.2,2-8,25.0,0-0,0.0,5.0,3.0,0.0,2.0,2.0,1.0,6.0,2.0,8.0
Royce O'Neale,2022-23,Regular,Wed 4/5,@DET,W123-108,37.0,5-10,50.0,4-9,44.4,1-2,50.0,7.0,8.0,2.0,0.0,3.0,1.0,15.0,4.0,9.0
Royce O'Neale,2022-23,Regular,Tue 4/4,vsMIN,L107-102,35.0,3-10,30.0,2-8,25.0,0-0,0.0,6.0,3.0,1.0,2.0,4.0,2.0,8.0,2.0,8.0
Royce O'Neale,2022-23,Regular,Sun 4/2,vsUTAH,W111-110,19.0,1-5,20.0,1-5,20.0,0-0,0.0,3.0,4.0,0.0,0.0,4.0,1.0,3.0,1.0,5.0
Royce O'Neale,2022-23,Regular,Fri 3/31,vsATL,W124-107,32.0,2-5,40.0,1-3,33.3,0-0,0.0,4.0,6.0,0.0,0.0,3.0,3.0,5.0,1.0,3.0
Royce O'Neale,2022-23,Regular,Wed 3/29,vsHOU,W123-114,26.0,3-7,42.9,3-5,60.0,0-0,0.0,5.0,4.0,0.0,0.0,4.0,1.0,9.0,3.0,5.0
Royce O'Neale,2022-23,Regular,Sat 3/25,@MIA,W129-100,27.0,3-8,37.5,2-4,50.0,0-0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,8.0,2.0,4.0
Royce O'Neale,2022-23,Regular,Thu 3/23,vsCLE,L116-114,30.0,4-9,44.4,2-5,40.0,2-2,100.0,8.0,2.0,0.0,1.0,5.0,3.0,12.0,2.0,5.0
Royce O'Neale,2022-23,Regular,Tue 3/21,vsCLE,L115-109,25.0,4-9,44.4,2-7,28.6,2-4,50.0,8.0,2.0,2.0,0.0,3.0,4.0,12.0,2.0,7.0
Royce O'Neale,2022-23,Regular,Sun 3/19,vsDEN,L108-102,27.0,2-4,50.0,1-3,33.3,2-2,100.0,3.0,6.0,0.0,2.0,5.0,1.0,7.0,1.0,3.0
Royce O'Neale,2022-23,Regular,Thu 3/16,vsSAC,L101-96,24.0,2-6,33.3,2-6,33.3,1-2,50.0,5.0,2.0,0.0,2.0,3.0,0.0,7.0,2.0,6.0
Royce O'Neale,2022-23,Regular,Tue 3/14,@OKC,L121-107,17.0,2-4,50.0,2-4,50.0,0-0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,6.0,2.0,4.0
Royce O'Neale,2022-23,Regular,Sun 3/12,@DEN,W122-120,29.0,4-9,44.4,3-7,42.9,0-0,0.0,6.0,4.0,0.0,0.0,5.0,2.0,11.0,3.0,7.0
Royce O'Neale,2022-23,Regular,Fri 3/10,@MIN,W124-123 OT,36.0,3-11,27.3,3-5,60.0,3-4,75.0,15.0,2.0,0.0,3.0,5.0,2.0,12.0,3.0,5.0
Royce O'Neale,2022-23,Regular,Tue 3/7,@HOU,W118-96,33.0,3-6,50.0,2-4,50.0,3-4,75.0,11.0,3.0,0.0,2.0,4.0,0.0,11.0,2.0,4.0
