Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Russell Westbrook,2022-23,Postseason,Tue 4/25,@PHX,L136-130,39.0,3-18,16.7,1-6,16.7,7-8,87.5,8.0,8.0,0.0,0.0,4.0,5.0,14.0,1.0,6.0
Russell Westbrook,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,40.0,17-29,58.6,3-6,50.0,0-0,0.0,6.0,4.0,1.0,1.0,3.0,4.0,37.0,3.0,6.0
Russell Westbrook,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,40.0,11-23,47.8,3-7,42.9,5-6,83.3,8.0,12.0,1.0,3.0,4.0,6.0,30.0,3.0,7.0
Russell Westbrook,2022-23,Postseason,Tue 4/18,@PHX,L123-109,36.0,9-16,56.3,2-3,66.7,8-8,100.0,5.0,5.0,2.0,0.0,2.0,3.0,28.0,2.0,3.0
Russell Westbrook,2022-23,Postseason,Sun 4/16,@PHX,W115-110,36.0,3-19,15.8,1-6,16.7,2-3,66.7,11.0,8.0,3.0,2.0,2.0,2.0,9.0,1.0,6.0
Russell Westbrook,2022-23,Regular,Sun 4/9,@PHX,W119-114,40.0,8-19,42.1,2-4,50.0,7-10,70.0,7.0,9.0,0.0,1.0,1.0,2.0,25.0,2.0,4.0
Russell Westbrook,2022-23,Regular,Sat 4/8,vsPOR,W136-125,25.0,9-14,64.3,2-3,66.7,0-0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,20.0,2.0,3.0
Russell Westbrook,2022-23,Regular,Wed 4/5,vsLAL,W125-118,21.0,6-12,50.0,2-4,50.0,0-1,0.0,3.0,4.0,1.0,1.0,0.0,3.0,14.0,2.0,4.0
Russell Westbrook,2022-23,Regular,Sat 4/1,@NO,L122-114,40.0,9-18,50.0,3-6,50.0,3-5,60.0,3.0,10.0,1.0,1.0,5.0,1.0,24.0,3.0,6.0
Russell Westbrook,2022-23,Regular,Fri 3/31,@MEM,L108-94,26.0,2-8,25.0,0-3,0.0,0-0,0.0,4.0,11.0,1.0,1.0,0.0,5.0,4.0,0.0,3.0
Russell Westbrook,2022-23,Regular,Wed 3/29,@MEM,W141-132,36.0,13-18,72.2,5-5,100.0,5-9,55.6,4.0,10.0,2.0,0.0,1.0,2.0,36.0,5.0,5.0
