Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ryan Rollins,2022-23,Regular,Sat 1/7,vsORL,L115-101,2.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ryan Rollins,2022-23,Regular,Wed 12/21,@BKN,L143-113,6.0,1-1,100.0,0-0,0.0,2-2,100.0,1.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0
Ryan Rollins,2022-23,Regular,Tue 12/20,@NY,L132-94,8.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Ryan Rollins,2022-23,Regular,Sun 12/18,@TOR,W126-110,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Rollins,2022-23,Regular,Fri 12/16,@PHI,L118-106,1.0,0-1,0.0,0-0,0.0,2-2,100.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
Ryan Rollins,2022-23,Regular,Wed 11/23,vsLAC,W124-107,5.0,0-3,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ryan Rollins,2022-23,Regular,Mon 11/21,@NO,L128-83,17.0,1-4,25.0,1-3,33.3,0-0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,3.0
Ryan Rollins,2022-23,Regular,Mon 11/14,vsSA,W132-95,8.0,2-3,66.7,1-1,100.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0
Ryan Rollins,2022-23,Regular,Fri 11/4,@NO,L114-105,9.0,2-4,50.0,1-2,50.0,2-2,100.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,1.0,2.0
Ryan Rollins,2022-23,Regular,Sun 10/30,@DET,L128-114,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ryan Rollins,2022-23,Regular,Sun 10/23,vsSAC,W130-125,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Rollins,2022-23,Regular,Tue 10/18,vsLAL,W123-109,2.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ryan Rollins,2022-23,Preseason,Fri 10/14,vsDEN,L119-112,15.0,3-6,50.0,1-1,100.0,2-4,50.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,1.0
Ryan Rollins,2022-23,Preseason,Tue 10/11,vsPOR,W131-98,16.0,5-7,71.4,1-2,50.0,1-2,50.0,0.0,5.0,0.0,2.0,5.0,1.0,12.0,1.0,2.0
Ryan Rollins,2022-23,Preseason,Sun 10/2,vsWSH,W104-95,6.0,0-4,0.0,0-0,0.0,2-2,100.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ryan Rollins,2022-23,Preseason,Fri 9/30,vsWSH,W96-87,11.0,1-6,16.7,0-0,0.0,6-6,100.0,4.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0
