Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Saddiq Bey,2022-23,Postseason,Thu 4/27,vsBOS,L128-120,22.0,2-7,28.6,1-2,50.0,2-2,100.0,4.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0
Saddiq Bey,2022-23,Postseason,Tue 4/25,@BOS,W119-117,24.0,4-9,44.4,2-3,66.7,2-2,100.0,4.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,3.0
Saddiq Bey,2022-23,Postseason,Sun 4/23,vsBOS,L129-121,21.0,2-7,28.6,0-3,0.0,1-1,100.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0
Saddiq Bey,2022-23,Postseason,Fri 4/21,vsBOS,W130-122,27.0,5-7,71.4,3-3,100.0,2-2,100.0,8.0,2.0,0.0,0.0,0.0,1.0,15.0,3.0,3.0
Saddiq Bey,2022-23,Postseason,Tue 4/18,@BOS,L119-106,15.0,0-4,0.0,0-3,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Saddiq Bey,2022-23,Postseason,Sat 4/15,@BOS,L112-99,24.0,2-6,33.3,1-4,25.0,1-2,50.0,4.0,3.0,0.0,2.0,0.0,1.0,6.0,1.0,4.0
Saddiq Bey,2022-23,Regular,Sun 4/9,@BOS,L120-114,15.0,4-8,50.0,1-3,33.3,0-0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,9.0,1.0,3.0
Saddiq Bey,2022-23,Regular,Fri 4/7,vsPHI,L136-131 OT,27.0,6-11,54.5,3-7,42.9,0-0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,15.0,3.0,7.0
Saddiq Bey,2022-23,Regular,Wed 4/5,vsWSH,W134-116,25.0,4-9,44.4,2-5,40.0,0-0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,10.0,2.0,5.0
Saddiq Bey,2022-23,Regular,Tue 4/4,@CHI,W123-105,34.0,8-13,61.5,2-6,33.3,0-0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,18.0,2.0,6.0
Saddiq Bey,2022-23,Regular,Sun 4/2,vsDAL,W132-130 OT,38.0,6-13,46.2,1-6,16.7,0-0,0.0,8.0,2.0,0.0,2.0,3.0,0.0,13.0,1.0,6.0
Saddiq Bey,2022-23,Regular,Fri 3/31,@BKN,L124-107,30.0,6-14,42.9,2-7,28.6,2-2,100.0,7.0,2.0,0.0,2.0,1.0,1.0,16.0,2.0,7.0
Saddiq Bey,2022-23,Regular,Tue 3/28,vsCLE,W120-118,21.0,4-8,50.0,1-5,20.0,2-2,100.0,10.0,3.0,0.0,1.0,0.0,1.0,11.0,1.0,5.0
Saddiq Bey,2022-23,Regular,Sun 3/26,vsMEM,L123-119,18.0,4-11,36.4,0-4,0.0,1-1,100.0,3.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,4.0
Saddiq Bey,2022-23,Regular,Sat 3/25,vsIND,W143-130,25.0,7-16,43.8,3-7,42.9,1-1,100.0,6.0,1.0,0.0,0.0,1.0,0.0,18.0,3.0,7.0
Saddiq Bey,2022-23,Regular,Wed 3/22,@MIN,L125-124,19.0,4-9,44.4,4-7,57.1,4-4,100.0,6.0,2.0,0.0,0.0,2.0,3.0,16.0,4.0,7.0
Saddiq Bey,2022-23,Regular,Tue 3/21,vsDET,W129-107,20.0,5-13,38.5,2-4,50.0,2-4,50.0,11.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,4.0
Saddiq Bey,2022-23,Regular,Sun 3/19,@SA,L126-118,20.0,0-2,0.0,0-1,0.0,1-2,50.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Saddiq Bey,2022-23,Regular,Fri 3/17,vsGS,W127-119,22.0,2-6,33.3,1-5,20.0,0-0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0
Saddiq Bey,2022-23,Regular,Mon 3/13,vsMIN,L136-115,25.0,3-8,37.5,0-2,0.0,0-0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,2.0
Saddiq Bey,2022-23,Regular,Sat 3/11,vsBOS,L134-125,26.0,6-9,66.7,4-7,57.1,1-1,100.0,5.0,0.0,0.0,1.0,2.0,0.0,17.0,4.0,7.0
Saddiq Bey,2022-23,Regular,Fri 3/10,@WSH,W114-107,26.0,5-8,62.5,3-4,75.0,1-1,100.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,3.0,4.0
Saddiq Bey,2022-23,Regular,Wed 3/8,@WSH,W122-120,21.0,1-5,20.0,0-4,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
Saddiq Bey,2022-23,Regular,Mon 3/6,@MIA,L130-128,32.0,6-10,60.0,3-5,60.0,2-2,100.0,6.0,3.0,0.0,0.0,4.0,0.0,17.0,3.0,5.0
Saddiq Bey,2022-23,Regular,Sat 3/4,@MIA,L117-109,35.0,7-12,58.3,4-8,50.0,4-4,100.0,3.0,2.0,0.0,2.0,1.0,2.0,22.0,4.0,8.0
Saddiq Bey,2022-23,Regular,Fri 3/3,vsPOR,W129-111,24.0,3-8,37.5,0-3,0.0,1-2,50.0,3.0,2.0,0.0,1.0,4.0,0.0,7.0,0.0,3.0
Saddiq Bey,2022-23,Regular,Tue 2/28,vsWSH,L119-116,27.0,4-9,44.4,4-8,50.0,0-0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,12.0,4.0,8.0
Saddiq Bey,2022-23,Regular,Sun 2/26,vsBKN,W129-127,32.0,2-6,33.3,2-3,66.7,0-0,0.0,4.0,0.0,0.0,1.0,4.0,1.0,6.0,2.0,3.0
Saddiq Bey,2022-23,Regular,Fri 2/24,vsCLE,W136-119,28.0,6-9,66.7,5-8,62.5,2-2,100.0,4.0,1.0,0.0,1.0,0.0,1.0,19.0,5.0,8.0
Saddiq Bey,2022-23,Regular,Wed 2/15,vsNY,L122-101,18.0,1-4,25.0,0-1,0.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Saddiq Bey,2022-23,Regular,Mon 2/13,@CHA,L144-138,21.0,4-9,44.4,3-5,60.0,1-1,100.0,5.0,0.0,1.0,0.0,0.0,2.0,12.0,3.0,5.0
Saddiq Bey,2022-23,Regular,Wed 2/8,@CLE,L113-85,23.0,1-6,16.7,1-4,25.0,4-4,100.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0
Saddiq Bey,2022-23,Regular,Mon 2/6,vsBOS,L111-99,30.0,5-15,33.3,1-5,20.0,3-3,100.0,6.0,4.0,1.0,2.0,4.0,1.0,14.0,1.0,5.0
Saddiq Bey,2022-23,Regular,Sat 2/4,vsPHX,L116-100,34.0,7-12,58.3,4-8,50.0,7-7,100.0,5.0,4.0,0.0,2.0,0.0,1.0,25.0,4.0,8.0
Saddiq Bey,2022-23,Regular,Fri 2/3,vsCHA,W118-112,30.0,8-16,50.0,3-8,37.5,3-4,75.0,8.0,2.0,0.0,0.0,4.0,1.0,22.0,3.0,8.0
Saddiq Bey,2022-23,Regular,Mon 1/30,@DAL,L111-105,32.0,5-15,33.3,5-11,45.5,3-4,75.0,5.0,2.0,0.0,3.0,3.0,1.0,18.0,5.0,11.0
Saddiq Bey,2022-23,Regular,Sat 1/28,vsHOU,L117-114,27.0,4-11,36.4,1-7,14.3,1-1,100.0,6.0,2.0,0.0,0.0,2.0,1.0,10.0,1.0,7.0
Saddiq Bey,2022-23,Regular,Thu 1/26,@BKN,W130-122,32.0,10-19,52.6,5-8,62.5,0-0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,25.0,5.0,8.0
Saddiq Bey,2022-23,Regular,Mon 1/23,vsMIL,L150-130,29.0,6-14,42.9,2-6,33.3,7-9,77.8,3.0,2.0,0.0,1.0,3.0,1.0,21.0,2.0,6.0
Saddiq Bey,2022-23,Regular,Thu 1/19,vsCHI,L126-108,28.0,6-16,37.5,2-5,40.0,2-2,100.0,9.0,1.0,1.0,3.0,0.0,1.0,16.0,2.0,5.0
Saddiq Bey,2022-23,Regular,Sun 1/15,vsNY,L117-104,36.0,6-14,42.9,5-10,50.0,4-4,100.0,6.0,1.0,0.0,1.0,3.0,1.0,21.0,5.0,10.0
Saddiq Bey,2022-23,Regular,Fri 1/13,vsNO,L116-110,31.0,5-14,35.7,1-4,25.0,9-10,90.0,10.0,3.0,1.0,1.0,2.0,2.0,20.0,1.0,4.0
