Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Scottie Barnes,2022-23,Regular,Sun 4/9,vsMIL,W121-105,22.0,4-9,44.4,0-2,0.0,0-0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0
Scottie Barnes,2022-23,Regular,Fri 4/7,@BOS,L121-102,30.0,3-10,30.0,0-2,0.0,2-3,66.7,2.0,3.0,1.0,0.0,2.0,2.0,8.0,0.0,2.0
Scottie Barnes,2022-23,Regular,Wed 4/5,@BOS,L97-93,39.0,7-13,53.8,2-5,40.0,2-4,50.0,8.0,5.0,1.0,2.0,3.0,4.0,18.0,2.0,5.0
Scottie Barnes,2022-23,Regular,Tue 4/4,@CHA,W120-100,29.0,0-7,0.0,0-3,0.0,0-0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Scottie Barnes,2022-23,Regular,Sun 4/2,@CHA,W128-108,36.0,6-12,50.0,0-1,0.0,0-0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,12.0,0.0,1.0
Scottie Barnes,2022-23,Regular,Fri 3/31,@PHI,L117-110,40.0,13-19,68.4,0-1,0.0,3-4,75.0,9.0,8.0,1.0,4.0,3.0,2.0,29.0,0.0,1.0
Scottie Barnes,2022-23,Regular,Tue 3/28,vsMIA,W106-92,41.0,10-16,62.5,0-3,0.0,2-2,100.0,7.0,12.0,0.0,3.0,2.0,0.0,22.0,0.0,3.0
Scottie Barnes,2022-23,Regular,Sun 3/26,vsWSH,W114-104,32.0,5-14,35.7,0-2,0.0,3-3,100.0,5.0,6.0,1.0,3.0,4.0,1.0,13.0,0.0,2.0
Scottie Barnes,2022-23,Regular,Sun 3/19,@MIL,L118-111,13.0,2-3,66.7,1-2,50.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0
Scottie Barnes,2022-23,Regular,Sat 3/18,vsMIN,W122-107,28.0,3-10,30.0,0-1,0.0,4-5,80.0,4.0,2.0,0.0,0.0,3.0,1.0,10.0,0.0,1.0
Scottie Barnes,2022-23,Regular,Thu 3/16,vsOKC,W128-111,35.0,8-15,53.3,0-2,0.0,3-4,75.0,8.0,6.0,0.0,1.0,0.0,2.0,19.0,0.0,2.0
Scottie Barnes,2022-23,Regular,Tue 3/14,vsDEN,W125-110,37.0,8-16,50.0,0-1,0.0,2-2,100.0,7.0,5.0,0.0,1.0,2.0,4.0,18.0,0.0,1.0
Scottie Barnes,2022-23,Regular,Fri 3/10,@LAL,L122-112,38.0,13-19,68.4,1-4,25.0,5-6,83.3,9.0,7.0,0.0,1.0,3.0,1.0,32.0,1.0,4.0
Scottie Barnes,2022-23,Regular,Wed 3/8,@LAC,L108-100,37.0,6-21,28.6,2-4,50.0,6-6,100.0,5.0,4.0,0.0,2.0,5.0,3.0,20.0,2.0,4.0
Scottie Barnes,2022-23,Regular,Mon 3/6,@DEN,L118-113,34.0,5-12,41.7,0-2,0.0,2-2,100.0,9.0,2.0,1.0,1.0,2.0,3.0,12.0,0.0,2.0
Scottie Barnes,2022-23,Regular,Sat 3/4,@WSH,W116-109 OT,35.0,6-11,54.5,0-0,0.0,0-1,0.0,3.0,6.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0
Scottie Barnes,2022-23,Regular,Thu 3/2,@WSH,L119-108,36.0,6-15,40.0,0-3,0.0,2-2,100.0,3.0,5.0,0.0,0.0,5.0,3.0,14.0,0.0,3.0
Scottie Barnes,2022-23,Regular,Tue 2/28,vsCHI,W104-98,35.0,4-12,33.3,2-3,66.7,1-3,33.3,8.0,4.0,4.0,1.0,2.0,1.0,11.0,2.0,3.0
Scottie Barnes,2022-23,Regular,Sun 2/26,@CLE,L118-93,31.0,5-13,38.5,0-1,0.0,2-3,66.7,3.0,5.0,2.0,0.0,2.0,2.0,12.0,0.0,1.0
Scottie Barnes,2022-23,Regular,Sat 2/25,@DET,W95-91,37.0,5-17,29.4,1-5,20.0,1-2,50.0,7.0,4.0,0.0,0.0,4.0,2.0,12.0,1.0,5.0
Scottie Barnes,2022-23,Regular,Thu 2/23,vsNO,W115-110,41.0,6-13,46.2,2-4,50.0,4-4,100.0,5.0,3.0,1.0,3.0,3.0,3.0,18.0,2.0,4.0
Scottie Barnes,2022-23,Regular,Tue 2/14,vsORL,W123-113,36.0,6-15,40.0,0-2,0.0,5-7,71.4,6.0,6.0,2.0,1.0,1.0,1.0,17.0,0.0,2.0
Scottie Barnes,2022-23,Regular,Sun 2/12,vsDET,W119-118,37.0,5-6,83.3,3-4,75.0,7-10,70.0,4.0,2.0,0.0,1.0,5.0,4.0,20.0,3.0,4.0
Scottie Barnes,2022-23,Regular,Fri 2/10,vsUTAH,L122-116,39.0,5-14,35.7,0-3,0.0,2-2,100.0,7.0,9.0,0.0,0.0,3.0,1.0,12.0,0.0,3.0
Scottie Barnes,2022-23,Regular,Wed 2/8,vsSA,W112-98,39.0,4-10,40.0,1-4,25.0,1-2,50.0,9.0,4.0,0.0,1.0,2.0,2.0,10.0,1.0,4.0
Scottie Barnes,2022-23,Regular,Sun 2/5,@MEM,W106-103,35.0,7-15,46.7,2-6,33.3,0-0,0.0,7.0,2.0,2.0,2.0,3.0,4.0,16.0,2.0,6.0
Scottie Barnes,2022-23,Regular,Fri 2/3,@HOU,W117-111,37.0,4-11,36.4,3-7,42.9,2-2,100.0,6.0,4.0,1.0,0.0,3.0,1.0,13.0,3.0,7.0
