Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Seth Curry,2022-23,Postseason,Sat 4/22,vsPHI,L96-88,22.0,3-6,50.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0
Seth Curry,2022-23,Postseason,Mon 4/17,@PHI,L96-84,20.0,3-8,37.5,1-3,33.3,2-3,66.7,0.0,4.0,0.0,0.0,2.0,0.0,9.0,1.0,3.0
Seth Curry,2022-23,Postseason,Sat 4/15,@PHI,L121-101,16.0,4-5,80.0,2-3,66.7,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,3.0
Seth Curry,2022-23,Regular,Fri 4/7,vsORL,W101-84,15.0,4-6,66.7,3-4,75.0,2-2,100.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0,3.0,4.0
Seth Curry,2022-23,Regular,Wed 4/5,@DET,W123-108,8.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Seth Curry,2022-23,Regular,Tue 4/4,vsMIN,L107-102,3.0,0-1,0.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Seth Curry,2022-23,Regular,Sun 4/2,vsUTAH,W111-110,17.0,3-7,42.9,1-3,33.3,0-2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,3.0
Seth Curry,2022-23,Regular,Fri 3/31,vsATL,W124-107,10.0,4-7,57.1,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0
Seth Curry,2022-23,Regular,Wed 3/29,vsHOU,W123-114,13.0,1-2,50.0,0-1,0.0,1-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
Seth Curry,2022-23,Regular,Thu 3/23,vsCLE,L116-114,6.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Seth Curry,2022-23,Regular,Tue 3/21,vsCLE,L115-109,10.0,0-3,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Seth Curry,2022-23,Regular,Sun 3/19,vsDEN,L108-102,18.0,4-8,50.0,4-5,80.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,5.0
Seth Curry,2022-23,Regular,Thu 3/16,vsSAC,L101-96,22.0,5-10,50.0,3-5,60.0,1-1,100.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,3.0,5.0
Seth Curry,2022-23,Regular,Tue 3/14,@OKC,L121-107,19.0,3-6,50.0,2-5,40.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,5.0
Seth Curry,2022-23,Regular,Sun 3/12,@DEN,W122-120,19.0,5-8,62.5,1-3,33.3,1-1,100.0,2.0,1.0,0.0,0.0,2.0,0.0,12.0,1.0,3.0
Seth Curry,2022-23,Regular,Fri 3/10,@MIN,W124-123 OT,17.0,4-7,57.1,2-4,50.0,1-1,100.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,2.0,4.0
Seth Curry,2022-23,Regular,Thu 3/9,@MIL,L118-113,11.0,1-4,25.0,0-0,0.0,3-3,100.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
Seth Curry,2022-23,Regular,Tue 3/7,@HOU,W118-96,22.0,4-6,66.7,0-1,0.0,4-4,100.0,3.0,2.0,0.0,1.0,1.0,2.0,12.0,0.0,1.0
Seth Curry,2022-23,Regular,Sun 3/5,vsCHA,W102-86,16.0,0-8,0.0,0-5,0.0,2-2,100.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0
Seth Curry,2022-23,Regular,Fri 3/3,@BOS,W115-105,14.0,4-8,50.0,0-3,0.0,0-0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,8.0,0.0,3.0
Seth Curry,2022-23,Regular,Wed 3/1,@NY,L142-118,23.0,4-10,40.0,1-7,14.3,1-1,100.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,7.0
Seth Curry,2022-23,Regular,Tue 2/28,vsMIL,L118-104,5.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Seth Curry,2022-23,Regular,Sun 2/26,@ATL,L129-127,7.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Seth Curry,2022-23,Regular,Fri 2/24,@CHI,L131-87,21.0,8-11,72.7,3-6,50.0,0-0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,19.0,3.0,6.0
Seth Curry,2022-23,Regular,Wed 2/15,vsMIA,W116-105,10.0,0-3,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Seth Curry,2022-23,Regular,Sat 2/4,vsWSH,W125-123,20.0,3-6,50.0,3-4,75.0,0-0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,9.0,3.0,4.0
Seth Curry,2022-23,Regular,Wed 2/1,@BOS,L139-96,25.0,3-9,33.3,1-5,20.0,0-0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,7.0,1.0,5.0
Seth Curry,2022-23,Regular,Mon 1/30,vsLAL,W121-104,22.0,3-11,27.3,0-5,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0
Seth Curry,2022-23,Regular,Sat 1/28,vsNY,W122-115,33.0,5-9,55.6,2-3,66.7,2-2,100.0,1.0,3.0,0.0,0.0,2.0,0.0,14.0,2.0,3.0
Seth Curry,2022-23,Regular,Wed 1/25,@PHI,L137-133,35.0,11-20,55.0,7-10,70.0,3-3,100.0,0.0,4.0,0.0,1.0,2.0,2.0,32.0,7.0,10.0
Seth Curry,2022-23,Regular,Sun 1/22,@GS,W120-116,31.0,5-7,71.4,1-3,33.3,1-1,100.0,1.0,4.0,1.0,1.0,4.0,5.0,12.0,1.0,3.0
Seth Curry,2022-23,Regular,Fri 1/20,@UTAH,W117-106,25.0,3-8,37.5,2-6,33.3,2-2,100.0,4.0,3.0,0.0,0.0,1.0,1.0,10.0,2.0,6.0
Seth Curry,2022-23,Regular,Thu 1/19,@PHX,L117-112,36.0,6-10,60.0,4-5,80.0,0-0,0.0,2.0,2.0,0.0,1.0,4.0,1.0,16.0,4.0,5.0
Seth Curry,2022-23,Regular,Tue 1/17,@SA,L106-98,31.0,6-16,37.5,1-7,14.3,3-3,100.0,7.0,2.0,0.0,1.0,4.0,3.0,16.0,1.0,7.0
Seth Curry,2022-23,Regular,Sun 1/15,vsOKC,L112-102,27.0,9-15,60.0,3-8,37.5,2-2,100.0,2.0,1.0,0.0,1.0,1.0,1.0,23.0,3.0,8.0
Seth Curry,2022-23,Regular,Thu 1/12,vsBOS,L109-98,25.0,4-9,44.4,1-3,33.3,2-2,100.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,3.0
Seth Curry,2022-23,Regular,Sun 1/8,@MIA,W102-101,24.0,6-9,66.7,1-3,33.3,1-1,100.0,3.0,0.0,1.0,1.0,2.0,1.0,14.0,1.0,3.0
Seth Curry,2022-23,Regular,Fri 1/6,@NO,W108-102,16.0,3-9,33.3,2-5,40.0,0-0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,8.0,2.0,5.0
Seth Curry,2022-23,Regular,Wed 1/4,@CHI,L121-112,27.0,8-11,72.7,6-7,85.7,0-0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,22.0,6.0,7.0
Seth Curry,2022-23,Regular,Mon 1/2,vsSA,W139-103,22.0,6-12,50.0,4-7,57.1,0-0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,16.0,4.0,7.0
Seth Curry,2022-23,Regular,Sat 12/31,@CHA,W123-106,20.0,3-8,37.5,1-3,33.3,1-1,100.0,4.0,3.0,0.0,0.0,2.0,2.0,8.0,1.0,3.0
Seth Curry,2022-23,Regular,Wed 12/28,@ATL,W108-107,7.0,1-4,25.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Seth Curry,2022-23,Regular,Fri 12/23,vsMIL,W118-100,25.0,2-9,22.2,1-4,25.0,0-0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,1.0,4.0
Seth Curry,2022-23,Regular,Wed 12/21,vsGS,W143-113,19.0,4-6,66.7,1-3,33.3,3-3,100.0,2.0,6.0,0.0,1.0,3.0,0.0,12.0,1.0,3.0
Seth Curry,2022-23,Regular,Sun 12/18,@DET,W124-121,9.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Seth Curry,2022-23,Regular,Fri 12/16,@TOR,W119-116,7.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Seth Curry,2022-23,Regular,Mon 12/12,@WSH,W112-100,22.0,1-7,14.3,1-6,16.7,0-0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,6.0
Seth Curry,2022-23,Regular,Fri 12/9,vsATL,W120-116,33.0,3-8,37.5,2-5,40.0,3-3,100.0,1.0,2.0,0.0,1.0,2.0,1.0,11.0,2.0,5.0
Seth Curry,2022-23,Regular,Wed 12/7,vsCHA,W122-116,28.0,8-11,72.7,3-6,50.0,1-1,100.0,5.0,6.0,0.0,0.0,2.0,0.0,20.0,3.0,6.0
Seth Curry,2022-23,Regular,Sun 12/4,vsBOS,L103-92,14.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Seth Curry,2022-23,Regular,Fri 12/2,vsTOR,W114-105,20.0,1-5,20.0,0-2,0.0,2-2,100.0,1.0,5.0,0.0,0.0,1.0,4.0,4.0,0.0,2.0
Seth Curry,2022-23,Regular,Wed 11/30,vsWSH,W113-107,23.0,1-4,25.0,0-1,0.0,0-0,0.0,6.0,1.0,0.0,1.0,5.0,3.0,2.0,0.0,1.0
Seth Curry,2022-23,Regular,Mon 11/28,vsORL,W109-102,25.0,1-4,25.0,1-3,33.3,0-0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,3.0
Seth Curry,2022-23,Regular,Sun 11/27,vsPOR,W111-97,29.0,11-15,73.3,7-10,70.0,0-0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,29.0,7.0,10.0
Seth Curry,2022-23,Regular,Fri 11/25,@IND,L128-117,28.0,5-9,55.6,4-6,66.7,0-0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,14.0,4.0,6.0
Seth Curry,2022-23,Regular,Tue 11/22,@PHI,L115-106,24.0,5-12,41.7,2-6,33.3,2-2,100.0,2.0,2.0,1.0,1.0,1.0,1.0,14.0,2.0,6.0
Seth Curry,2022-23,Regular,Sun 11/20,vsMEM,W127-115,25.0,5-10,50.0,0-4,0.0,0-0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,10.0,0.0,4.0
Seth Curry,2022-23,Regular,Thu 11/17,@POR,W109-107,28.0,0-5,0.0,0-2,0.0,0-0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0
Seth Curry,2022-23,Regular,Tue 11/15,@SAC,L153-121,24.0,3-6,50.0,1-2,50.0,2-2,100.0,3.0,3.0,0.0,0.0,3.0,1.0,9.0,1.0,2.0
Seth Curry,2022-23,Regular,Sat 11/12,@LAC,W110-95,28.0,9-15,60.0,4-8,50.0,0-1,0.0,3.0,3.0,0.0,0.0,2.0,1.0,22.0,4.0,8.0
Seth Curry,2022-23,Regular,Wed 11/9,vsNY,W112-85,23.0,7-13,53.8,6-11,54.5,3-3,100.0,3.0,2.0,0.0,1.0,1.0,0.0,23.0,6.0,11.0
Seth Curry,2022-23,Regular,Mon 11/7,@DAL,L96-94,13.0,0-3,0.0,0-1,0.0,1-1,100.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
Seth Curry,2022-23,Regular,Sat 11/5,@CHA,W98-94,15.0,1-4,25.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Seth Curry,2022-23,Regular,Sat 10/29,vsIND,L125-116,18.0,0-5,0.0,0-5,0.0,0-0,0.0,2.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0
